rank,player,age,teamName,position,gamesPlayed,goals,assists,points,plusMinus,penaltyMinutes,evenStrengthGoals,powerPlayGoals,shortHandedGoals,gameWinningPoints,evenStrengthAssists,powerPlayAssits,shortHandedAssists,shots,shootingPercentage,timeOnIce,averageTimeOnIce
"1","Keith Acton","35","TOT","C","77","2","7","9","-5","71","2","0","0","0","5","0","2","35","5.7","",""
"2","Greg Adams","30","VAN","LW","68","13","24","37","-1","20","7","5","1","2","16","5","3","139","9.4","",""
"3","Peter Ahola","25","CGY","D","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","",""
"4","Micah Aivazoff","24","DET","LW","59","4","4","8","-1","38","4","0","0","0","3","1","0","52","7.7","",""
"5","Tommy Albelin","29","NJD","D","62","2","17","19","20","36","1","1","0","1","9","8","0","62","3.2","",""
"6","Jason Allison","18","WSH","C","2","0","1","1","1","0","0","0","0","0","1","0","0","5","0.0","",""
"7","Tony Amonte","23","TOT","RW","79","17","25","42","0","37","13","4","0","4","16","9","0","195","8.7","",""
"8","Glenn Anderson","33","TOT","RW","85","21","20","41","-5","62","14","7","0","3","13","7","0","149","14.1","",""
"9","Shawn Anderson","25","WSH","D","50","0","9","9","-1","12","0","0","0","0","8","1","0","31","0.0","",""
"10","Mikael Andersson","27","TBL","RW","76","13","12","25","8","23","11","1","1","2","11","0","1","136","9.6","",""
"11","Peter Andersson","28","TOT","D","16","2","2","4","-8","2","1","0","1","1","2","0","0","21","9.5","",""
"12","Dave Andreychuk","30","TOR","RW","83","53","46","99","22","98","27","21","5","8","24","22","0","333","15.9","",""
"13","Greg Andrusak","24","PIT","D","3","0","0","0","-1","2","0","0","0","0","0","0","0","4","0.0","",""
"14","Shawn Antoski","23","VAN","LW","55","1","2","3","-11","190","1","0","0","1","2","0","0","25","4.0","",""
"15","Dave Archibald","24","OTT","RW","33","10","8","18","-7","14","8","2","0","1","6","2","0","65","15.4","",""
"16","Derek Armstrong","20","NYI","C","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","",""
"17","Jason Arnott","19","EDM","C","78","33","35","68","1","104","23","10","0","4","22","13","0","194","17.0","",""
"18","Mark Astley","24","BUF","D","1","0","0","0","-1","0","0","0","0","0","0","0","0","2","0.0","",""
"19","Donald Audette","24","BUF","RW","77","29","30","59","2","41","12","16","1","4","18","12","0","207","14.0","",""
"20","Patrik Augusta","24","TOR","RW","2","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","",""
"21","Dave Babych","32","VAN","D","73","4","28","32","0","52","4","0","0","2","20","8","0","96","4.2","",""
"22","Jamie Baker","27","SJS","C","65","12","5","17","2","38","12","0","0","2","5","0","0","68","17.6","",""
"23","Darren Banks","27","BOS","LW","4","0","1","1","0","9","0","0","0","0","1","0","0","3","0.0","",""
"24","Matthew Barnaby","20","BUF","LW","35","2","4","6","-7","106","1","1","0","0","3","1","0","13","15.4","",""
"25","Stu Barnes","23","TOT","C","77","23","24","47","4","38","14","8","1","3","16","8","0","172","13.4","",""
"26","Murray Baron","26","STL","D","77","5","9","14","-14","123","5","0","0","0","8","0","1","73","6.8","",""
"27","Dave Barr","33","DAL","C","20","2","5","7","-6","21","2","0","0","0","5","0","0","20","10.0","",""
"28","Doug Barrault","23","FLA","RW","2","0","0","0","-2","0","0","0","0","0","0","0","0","2","0.0","",""
"29","Len Barrie","24","FLA","C","2","0","0","0","-2","0","0","0","0","0","0","0","0","0","","",""
"30","Bob Bassen","28","TOT","RW","83","13","15","28","-17","99","11","1","1","0","15","0","0","129","10.1","",""
"31","Jeff Batters","23","STL","D","6","0","0","0","1","7","0","0","0","0","0","0","0","1","0.0","",""
