rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Craig Anderson","27","FLA","31","27","15","7","5","74","977","903",".924","2.71","3","1636","16",".593","6","83","15.40","0","1","1","2"
"2","Alex Auld","28","OTT","43","38","16","18","7","101","1141","1040",".911","2.47","1","2449","22",".579","4","97","3.41","0","0","0","2"
"3","Niklas Backstrom","30","MIN","71","71","37","24","8","159","2059","1900",".923","2.33","8","4088","47",".662","9","84","29.42","0","0","0","6"
"4","Martin Biron","31","PHI","55","53","29","19","5","146","1718","1572",".915","2.76","2","3177","29",".547","7","93","11.21","0","4","4","0"
"5","Ben Bishop","22","STL","6","3","1","1","1","12","112","100",".893","2.94","0","245","1",".333","0","","","0","0","0","0"
"6","Brian Boucher","32","SJS","22","20","12","6","3","47","563","516",".917","2.18","2","1291","10",".500","1","91","4.52","0","0","0","2"
"7","Martin Brodeur","36","NJD","31","30","19","9","3","73","870","797",".916","2.41","5","1814","20",".667","5","92","6.61","0","0","0","4"
"8","Ilya Bryzgalov","28","PHX","65","62","26","31","6","187","1994","1807",".906","2.98","3","3760","33",".532","13","102","-4.53","0","2","2","4"
"9","Peter Budaj","26","COL","56","55","20","29","5","154","1531","1377",".899","2.86","2","3232","27",".491","14","110","-13.90","0","1","1","0"
"10","Scott Clemmensen","31","NJD","40","39","25","13","1","94","1138","1044",".917","2.39","2","2356","22",".564","5","90","10.14","0","0","0","2"
"11","Matt Climie","25","DAL","3","3","2","1","0","9","85","76",".894","2.92","0","185","1",".333","1","","","0","0","0","0"
"12","Ty Conklin","32","DET","40","36","25","11","2","94","1033","939",".909","2.51","6","2246","18",".500","6","99","0.53","0","0","0","4"
"13","John Curry","24","PIT","3","2","2","1","0","6","69","63",".913","2.40","0","150","1",".500","0","","","0","0","0","0"
"14","Yann Danis","27","NYI","31","29","10","17","3","84","933","849",".910","2.86","2","1760","18",".621","7","98","1.38","0","0","0","0"
"15","Marc Denis","31","MTL","1","0","0","0","0","1","7","6",".857","3.00","0","20","0","","0","","","0","0","0","0"
"16","Jeff Deslauriers","24","EDM","10","7","4","3","0","30","302","272",".901","3.33","0","540","4",".571","2","","","0","1","1","0"
"17","Rick DiPietro","27","NYI","5","5","1","3","0","15","139","124",".892","3.52","0","256","2",".400","3","","","0","2","2","2"
"18","Wade Dubielewicz","30","CBJ","3","2","1","2","0","10","77","67",".870","3.55","0","169","0",".000","0","","","0","0","0","0"
"19","Brian Elliott","23","OTT","31","30","16","8","3","77","786","709",".902","2.77","1","1667","15",".500","7","107","-5.07","0","0","0","0"
"20","Dan Ellis","28","NSH","35","33","11","19","4","96","963","867",".900","2.93","3","1965","16",".485","8","109","-7.88","0","0","0","2"
"21","Erik Ersberg","26","LAK","28","25","8","11","5","65","651","586",".900","2.64","0","1477","11",".440","4","109","-5.43","0","0","0","2"
"22","Manny Fernandez","34","BOS","28","27","16","8","3","71","791","720",".910","2.59","1","1644","15",".556","4","98","1.38","0","0","0","2"
"23","Marc-Andre Fleury","24","PIT","62","61","35","18","7","162","1850","1688",".912","2.67","4","3641","31",".508","7","96","7.29","0","1","1","8"
"24","Mathieu Garon","31","TOT","19","16","8","9","0","53","502","449",".894","3.11","0","1021","7",".438","6","115","-7.06","0","0","0","0"
"25","Martin Gerber","34","TOT","26","26","10","14","1","78","799","721",".902","3.03","1","1545","13",".500","5","107","-4.88","0","1","1","16"
"26","Jean-Sebastien Giguere","31","ANA","46","44","19","18","6","127","1274","1147",".900","3.10","2","2458","20",".455","10","109","-10.42","0","0","0","4"
"27","Jaroslav Halak","23","MTL","34","33","18","14","1","92","1077","985",".915","2.86","1","1931","18",".545","2","93","6.56","0","0","0","0"
"28","Josh Harding","24","MIN","19","11","3","9","1","32","453","421",".929","2.21","0","870","5",".455","0","77","9.45","0","0","0","2"
"29","Johan Hedberg","35","ATL","33","26","13","12","3","100","875","775",".886","3.49","0","1717","9",".346","6","125","-19.93","0","0","0","2"
"30","Riku Helenius","20","TBL","1","0","0","0","0","0","2","2","1.000","0.00","0","7","0","","0","","","0","0","0","0"
"31","Jonas Hiller","26","ANA","46","38","23","15","1","99","1217","1118",".919","2.39","4","2486","23",".605","6","89","12.37","0","0","0","0"
"32","Chris Holt","23","STL","1","0","0","0","0","0","3","3","1.000","0.00","0","19","0","","0","","","0","0","0","0"
"33","Jimmy Howard","24","DET","1","1","0","1","0","4","28","24",".857","4.07","0","59","0",".000","0","","","0","0","0","0"
"34","Cristobal Huet","33","CHI","41","40","20","15","4","99","1087","988",".909","2.53","3","2351","25",".625","8","100","0.47","0","0","0","2"
"35","Brent Johnson","31","WSH","21","19","12","6","2","53","579","526",".908","2.81","0","1131","11",".579","2","100","-0.02","0","1","1","4"
"36","Curtis Joseph","41","TOR","21","11","5","9","1","50","383","333",".869","3.57","0","841","2",".182","5","143","-14.95","0","0","0","0"
"37","Nikolai Khabibulin","36","CHI","42","39","25","8","7","96","1192","1096",".919","2.33","3","2467","24",".615","3","88","13.08","0","2","2","8"
"38","Miikka Kiprusoff","32","CGY","76","76","45","24","5","209","2155","1946",".903","2.84","4","4418","38",".500","11","106","-11.80","0","3","3","2"
"39","Olaf Kolzig","38","TBL","8","8","2","4","1","25","245","220",".898","3.66","0","410","3",".375","2","","","0","0","0","0"
"40","Brent Krahn","26","DAL","1","0","0","0","0","3","9","6",".667","9.00","0","20","0","","0","","","0","0","0","0"
"41","Jason LaBarbera","29","TOT","28","24","8","10","6","67","674","607",".901","2.78","2","1446","13",".542","7","109","-5.32","0","0","0","2"
"42","Dan LaCosta","22","CBJ","3","2","2","0","0","4","80","76",".950","1.54","1","156","2","1.000","0","","","0","0","0","0"
"43","Patrick Lalime","34","BUF","24","21","5","13","3","67","669","602",".900","3.10","0","1297","11",".524","6","109","-5.78","0","0","0","0"
"44","Pascal Leclaire","26","CBJ","12","12","4","6","1","43","324","281",".867","3.83","0","674","3",".250","3","","","0","1","1","0"
"45","Manny Legace","35","STL","29","28","13","9","2","77","669","592",".885","3.18","0","1452","11",".393","8","126","-15.78","0","0","0","0"
