rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1"0,"San Jose Sharks"1,"SJS","82"2,"53"3,"18"4,"11"5,"117"6,".713"7,"257"8,"204"9,"0.61"10,"-0.04"11,"5.62"12,"87"13,"360"14,"24.17"15,"51"16,"304"17,"83.22"18,"12"19,"11"20,"2720"21,"9.2"22,"2226"23,".912"24,"100.5"
"2"0,"Boston Bruins"1,"BOS","82"2,"53"3,"19"4,"10"5,"116"6,".707"7,"274"8,"196"9,"0.89"10,"-0.06"11,"5.73"12,"74"13,"313"14,"23.64"15,"54"16,"306"17,"82.35"18,"8"19,"7"20,"2482"21,"10.9"22,"2520"23,".927"24,"103.4"
"3"0,"Detroit Red Wings"1,"DET","82"2,"51"3,"21"4,"10"5,"112"6,".683"7,"295"8,"244"9,"0.62"10,"0.00"11,"6.57"12,"90"13,"353"14,"25.50"15,"71"16,"327"17,"78.29"18,"6"19,"4"20,"2965"21,"9.7"22,"2269"23,".896"24,"99.5"
"4"0,"Washington Capitals"1,"WSH","82"2,"50"3,"24"4,"8"5,"108"6,".659"7,"272"8,"245"9,"0.27"10,"-0.06"11,"6.30"12,"85"13,"337"14,"25.22"15,"75"16,"387"17,"80.62"18,"7"19,"11"20,"2748"21,"9.8"22,"2412"23,".903"24,"100.1"
"5"0,"New Jersey Devils"1,"NJD","82"2,"51"3,"27"4,"4"5,"106"6,".646"7,"244"8,"209"9,"0.38"10,"-0.05"11,"5.52"12,"58"13,"307"14,"18.89"15,"65"16,"324"17,"79.94"18,"12"19,"4"20,"2698"21,"8.8"22,"2407"23,".917"24,"100.5"
"6"0,"Chicago Blackhawks"1,"CHI","82"2,"46"3,"24"4,"12"5,"104"6,".634"7,"264"8,"216"9,"0.60"10,"0.01"11,"5.85"12,"70"13,"363"14,"19.28"15,"64"16,"330"17,"80.61"18,"10"19,"6"20,"2683"21,"9.7"22,"2338"23,".913"24,"100.9"
"7"0,"Vancouver Canucks"1,"VAN","82"2,"45"3,"27"4,"10"5,"100"6,".610"7,"246"8,"220"9,"0.30"10,"-0.02"11,"5.68"12,"67"13,"357"14,"18.77"15,"69"16,"371"17,"81.40"18,"7"19,"5"20,"2335"21,"10.4"22,"2387"23,".914"24,"101.9"
"8"0,"Philadelphia Flyers"1,"PHI","82"2,"44"3,"27"4,"11"5,"99"6,".604"7,"264"8,"238"9,"0.28"10,"-0.04"11,"6.12"12,"71"13,"316"14,"22.47"15,"67"16,"393"17,"82.95"18,"16"19,"1"20,"2441"21,"10.7"22,"2665"23,".914"24,"102.0"
"9"0,"Pittsburgh Penguins"1,"PIT","82"2,"45"3,"28"4,"9"5,"99"6,".604"7,"264"8,"239"9,"0.28"10,"-0.02"11,"6.13"12,"62"13,"360"14,"17.22"15,"60"16,"347"17,"82.71"18,"7"19,"13"20,"2381"21,"10.8"22,"2476"23,".909"24,"101.6"
"10"0,"Calgary Flames"1,"CGY","82"2,"46"3,"30"4,"6"5,"98"6,".598"7,"254"8,"248"9,"0.07"10,"0.00"11,"6.12"12,"61"13,"358"14,"17.04"15,"58"16,"349"17,"83.38"18,"6"19,"15"20,"2643"21,"9.5"22,"2435"23,".901"24,"99.5"
"11"0,"Carolina Hurricanes"1,"CAR","82"2,"45"3,"30"4,"7"5,"97"6,".591"7,"239"8,"226"9,"0.11"10,"-0.05"11,"5.67"12,"70"13,"374"14,"18.72"15,"59"16,"301"17,"80.40"18,"8"19,"9"20,"2675"21,"8.8"22,"2408"23,".913"24,"99.8"
"12"0,"New York Rangers"1,"NYR","82"2,"43"3,"30"4,"9"5,"95"6,".579"7,"210"8,"218"9,"-0.10"10,"-0.01"11,"5.22"12,"48"13,"346"14,"13.87"15,"40"16,"329"17,"87.84"18,"9"19,"14"20,"2658"21,"7.5"22,"2428"23,".915"24,"98.8"
"13"0,"Montreal Canadiens"1,"MTL","82"2,"41"3,"30"4,"11"5,"93"6,".567"7,"249"8,"247"9,"0.02"10,"-0.01"11,"6.05"12,"72"13,"374"14,"19.25"15,"65"16,"370"17,"82.43"18,"10"19,"11"20,"2461"21,"9.8"22,"2597"23,".909"24,"100.7"
"14"0,"Florida Panthers"1,"FLA","82"2,"41"3,"30"4,"11"5,"93"6,".567"7,"234"8,"231"9,"0.00"10,"-0.04"11,"5.67"12,"51"13,"308"14,"16.56"15,"54"16,"311"17,"82.64"18,"7"19,"9"20,"2412"21,"9.6"22,"2832"23,".925"24,"101.7"
"15"0,"St. Louis Blues"1,"STL","82"2,"41"3,"31"4,"10"5,"92"6,".561"7,"233"8,"233"9,"0.05"10,"0.05"11,"5.68"12,"72"13,"351"14,"20.51"15,"58"16,"357"17,"83.75"18,"10"19,"8"20,"2271"21,"10.0"22,"2333"23,".907"24,"100.4"
