rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Mike Bales","23","OTT","1","","0","0","0","0","1","1","1.000","0.00","0","3","","","","","","0","0","0","0"
"2","Tom Barrasso","29","PIT","2","","0","1","1","8","75","67",".893","3.84","0","125","","","","","","0","0","0","0"
"3","Don Beaupre","33","OTT","38","","8","25","3","121","1167","1046",".896","3.36","1","2161","","","","104","-4.98","0","0","0","10"
"4","Ed Belfour","29","CHI","42","","22","15","3","93","990","897",".906","2.28","5","2450","","","","94","5.43","0","3","3","11"
"5","Jean-Claude Bergeron","26","TBL","17","","3","9","1","49","374","325",".869","3.33","1","883","","","","132","-11.82","0","0","0","2"
"6","Craig Billington","28","TOT","17","","5","7","2","51","380","329",".866","3.62","0","845","","","","135","-13.22","0","0","0","4"
"7","Fred Brathwaite","22","EDM","14","","2","5","1","40","292","252",".863","3.99","0","601","","","","138","-10.97","0","0","0","0"
"8","Martin Brodeur","22","NJD","40","","19","11","6","89","908","819",".902","2.45","3","2184","","","","99","1.27","0","2","2","2"
"9","Sean Burke","28","HAR","42","","17","19","4","108","1233","1125",".912","2.68","0","2418","","","","88","14.58","0","1","1","8"
"10","Jim Carey","20","WSH","28","","18","6","3","57","654","597",".913","2.13","4","1604","","","","88","8.02","0","0","0","0"
"11","Jon Casey","32","STL","19","","7","5","4","40","400","360",".900","2.75","0","872","","","","101","-0.23","0","0","0","0"
"12","Tim Cheveldae","26","WIN","30","","8","16","3","97","818","721",".881","3.70","0","1571","","","","119","-15.67","0","1","1","2"
"13","Byron Dafoe","23","WSH","4","","1","1","1","11","80","69",".863","3.53","0","187","","","","","","0","0","0","0"
"14","Philippe DeRouville","20","PIT","1","","1","0","0","3","27","24",".889","3.00","0","60","","","","","","0","0","0","0"
"15","Manny Fernandez","20","DAL","1","","0","1","0","3","27","24",".889","3.05","0","59","","","","","","0","0","0","0"
"16","Stephane Fiset","24","QUE","32","","17","10","3","87","968","881",".910","2.78","2","1879","","","","90","9.24","0","3","3","2"
"17","Mark Fitzpatrick","26","FLA","15","","6","7","2","36","361","325",".900","2.64","2","819","","","","100","-0.11","0","0","0","0"
"18","Wade Flaherty","27","SJS","18","","5","6","1","44","455","411",".903","3.10","1","852","","","","97","1.24","0","1","1","0"
"19","Grant Fuhr","32","TOT","17","","2","9","3","59","464","405",".873","4.03","0","878","","","","128","-12.87","0","0","0","2"
"20","Joaquin Gage","21","EDM","2","","0","2","0","7","40","33",".825","4.24","0","99","","","","","","0","1","1","0"
"21","Jeff Hackett","26","CHI","7","","1","3","2","13","150","137",".913","2.38","0","328","","","","","","0","0","0","0"
"22","Dominik Hasek","30","BUF","41","","19","14","7","85","1221","1136",".930","2.11","5","2416","","","","70","36.39","0","0","0","2"
"23","Glenn Healy","32","NYR","17","","8","6","1","35","377","342",".907","2.36","1","888","","","","93","2.48","0","2","2","2"
"24","Guy Hebert","28","MDA","39","","12","20","4","109","1132","1023",".904","3.13","2","2092","","","","97","3.54","0","0","0","2"
"25","Ron Hextall","30","PHI","31","","17","9","4","88","801","713",".890","2.89","1","1824","","","","111","-8.36","0","0","0","13"
"26","Kelly Hrudey","34","LAK","35","","14","13","5","99","1099","1000",".910","3.14","0","1894","","","","91","10.26","0","0","0","0"
"27","Arturs Irbe","27","SJS","38","","14","19","3","111","1056","945",".895","3.26","4","2043","","","","106","-6.01","0","0","0","4"
"28","Pauli Jaks","23","LAK","1","","0","0","0","2","25","23",".920","3.00","0","40","","","","","","0","0","0","0"
"29","Curtis Joseph","27","STL","36","","20","10","1","89","904","815",".902","2.79","1","1914","","","","99","0.88","0","1","1","0"
"30","Nikolai Khabibulin","22","WIN","26","","8","9","4","76","723","647",".895","3.41","0","1339","","","","106","-4.12","0","1","1","4"
"31","Trevor Kidd","22","CGY","43","","22","14","6","107","1170","1063",".909","2.61","3","2463","","","","92","9.32","0","1","1","2"
"32","Olaf Kolzig","24","WSH","14","","2","8","2","30","305","275",".902","2.49","0","724","","","","99","0.32","0","0","0","4"
"33","Blaine Lacher","24","BOS","35","","19","11","2","79","805","726",".902","2.41","4","1965","","","","99","1.03","0","1","1","4"
"34","Darrin Madeley","26","OTT","5","","1","3","0","15","147","132",".898","3.53","0","255","","","","","","0","0","0","0"
"35","Kirk McLean","28","VAN","40","","18","12","10","109","1140","1031",".904","2.75","1","2374","","","","96","4.34","0","1","1","4"
"36","Jamie McLennan","23","NYI","21","","6","11","2","67","539","472",".876","3.39","0","1185","","","","125","-13.41","0","0","0","2"
"37","Andy Moog","34","DAL","31","","10","12","7","72","846","774",".915","2.44","2","1770","","","","86","12.11","0","1","1","14"
"38","Jason Muzzatti","24","CGY","1","","0","0","0","0","8","8","1.000","0.00","0","10","","","","","","0","0","0","0"
"39","Chris Osgood","22","DET","19","","14","5","0","41","496","455",".917","2.26","1","1087","","","","83","8.31","0","0","0","2"
"40","Felix Potvin","23","TOR","36","","15","13","7","104","1120","1016",".907","2.91","0","2144","","","","93","7.35","0","0","0","4"
"41","Daren Puppa","29","TBL","36","","14","19","2","90","946","856",".905","2.68","1","2013","","","","96","4.05","0","1","1","2"
"42","Bill Ranford","28","EDM","40","","15","20","3","133","1134","1001",".883","3.62","2","2203","","","","118","-20.26","0","2","2","2"
"43","Jeff Reese","28","HAR","11","","2","5","1","26","234","208",".889","3.27","0","477","","","","112","-2.74","0","0","0","0"
"44","Damian Rhodes","25","TOR","13","","6","6","1","34","404","370",".916","2.68","0","760","","","","85","6.17","0","0","0","4"
"45","Mike Richter","28","NYR","35","","14","17","2","97","884","787",".890","2.92","2","1993","","","","110","-9.11","0","0","0","2"
"46","Vincent Riendeau","28","BOS","11","","3","6","1","27","221","194",".878","2.87","0","565","","","","123","-5.03","0","0","0","2"
"47","Dominic Roussel","24","PHI","19","","11","7","0","42","486","444",".914","2.34","1","1075","","","","87","6.32","0","0","0","6"
"48","Patrick Roy","29","MTL","43","","17","20","6","127","1357","1230",".906","2.97","1","2566","","","","94","7.91","0","1","1","20"
"49","Tommy Salo","23","NYI","6","","1","5","0","18","189","171",".905","3.02","0","358","","","","","","0","1","1","0"
"50","Geoff Sarjeant","25","STL","4","","1","0","0","6","52","46",".885","3.00","0","120","","","","","","0","1","1","2"
"51","Mikhail Shtalenkov","29","MDA","18","","4","7","1","49","448","399",".891","3.63","0","810","","","","110","-4.46","0","0","0","2"
"52","Garth Snow","25","QUE","2","","1","1","0","11","63","52",".825","5.55","0","119","","","","","","0","0","0","0"
"53","Tommy Soderstrom","25","NYI","26","","8","12","3","70","717","647",".902","3.11","1","1350","","","","98","1.28","0","0","0","2"
"54","Robb Stauber","27","TOT","7","","2","3","0","22","156","134",".859","3.96","0","333","","","","","","0","0","0","0"
"55","Jamie Storr","19","LAK","5","","1","3","1","17","152","135",".888","3.88","0","263","","","","","","0","0","0","0"
"56","Rick Tabaracci","26","TOT","13","","3","3","3","21","240","219",".913","2.11","0","596","","","","88","2.86","0","2","2","2"
"57","Chris Terreri","30","NJD","15","","3","7","2","31","309","278",".900","2.53","0","734","","","","101","-0.28","0","0","0","0"
"58","Jocelyn Thibault","20","QUE","18","","12","2","2","35","423","388",".917","2.34","1","898","","","","83","7.05","0","0","0","0"
"59","Mike Torchia","22","DAL","6","","3","2","1","18","172","154",".895","3.30","0","327","","","","","","0","0","0","0"
"60","Andrei Trefilov","25","CGY","6","","0","3","0","16","130","114",".877","4.07","0","236","","","","","","0","0","0","0"
"61","Ron Tugnutt","27","MTL","7","","1","3","1","18","172","154",".895","3.12","0","346","","","","","","0","0","0","0"
"62","John Vanbiesbrouck","31","FLA","37","","14","15","4","86","1000","914",".914","2.47","4","2087","","","","87","13.42","0","1","1","6"
"63","Mike Vernon","31","DET","30","","19","6","4","76","710","634",".893","2.52","1","1807","","","","108","-5.41","0","0","0","8"
"64","Jimmy Waite","25","CHI","2","","1","1","0","5","51","46",".902","2.52","0","119","","","","","","0","0","0","0"
"65","Darcy Wakaluk","28","DAL","15","","4","8","0","40","341","301",".883","3.18","2","754","","","","118","-6.10","0","0","0","4"
"66","Kay Whitmore","27","VAN","11","","0","6","2","37","279","242",".867","3.98","0","558","","","","133","-9.26","0","1","1","7"
"67","Ken Wregget","30","PIT","38","","25","9","2","118","1219","1101",".903","3.21","0","2208","","","","97","3.19","0","0","0","14"
"68","Wendell Young","31","PIT","10","","3","6","0","27","255","228",".894","3.26","0","497","","","","107","-1.65","0","0","0","2"
