rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","David Aebischer","24","COL","22","","7","12","0","50","593","543",".916","2.43","1","1235","","","","92","4.06","0","0","0","4"
"2","Craig Anderson","21","CHI","6","","0","3","2","18","125","107",".856","4.00","0","270","","","","","","0","0","0","0"
"3","Jean-Sebastien Aubin","25","PIT","21","","6","13","0","59","589","530",".900","3.13","1","1132","","","","110","-5.31","0","1","1","2"
"4","Alex Auld","22","VAN","7","","3","3","0","10","165","155",".939","1.57","1","382","","","","","","0","0","0","0"
"5","Tom Barrasso","37","STL","6","","1","4","0","16","132","116",".879","3.28","1","293","","","","","","0","0","0","0"
"6","Ed Belfour","37","TOR","62","","37","20","5","141","1816","1675",".922","2.26","7","3738","","","","85","24.55","0","2","2","24"
"7","Zac Bierk","26","PHX","16","","4","9","1","32","471","439",".932","2.17","1","884","","","","75","10.94","0","0","0","2"
"8","Craig Billington","36","WSH","5","","1","3","1","17","96","79",".823","4.70","0","217","","","","","","0","0","0","0"
"9","Martin Biron","25","BUF","54","","17","28","6","135","1468","1333",".908","2.56","4","3170","","","","101","-1.17","0","1","1","12"
"10","Dan Blackburn","19","NYR","32","","8","16","4","93","842","749",".890","3.17","1","1762","","","","121","-16.24","0","0","0","2"
"11","Brian Boucher","26","PHX","45","","15","20","8","128","1210","1082",".894","3.02","0","2544","","","","116","-17.69","0","1","1","0"
"12","Fred Brathwaite","30","STL","30","","12","9","4","74","631","557",".883","2.75","2","1615","","","","129","-16.48","0","0","0","0"
"13","Martin Brodeur","30","NJD","73","","41","23","9","147","1706","1559",".914","2.02","9","4374","","","","95","8.52","0","0","0","10"
"14","Sean Burke","36","PHX","22","","12","6","2","44","632","588",".930","2.12","2","1248","","","","76","13.61","0","0","0","4"
"15","Sebastien Caron","22","PIT","24","","7","14","2","62","741","679",".916","2.64","2","1408","","","","92","5.55","0","0","0","6"
"16","Frederic Cassivi","27","ATL","2","","1","1","0","11","58","47",".810","5.37","0","123","","","","","","0","0","0","0"
"17","Roman Cechmanek","31","PHI","58","","33","15","10","102","1368","1266",".925","1.83","6","3350","","","","82","22.71","0","0","0","8"
"18","Sebastien Charpentier","25","WSH","17","","5","7","1","40","426","386",".906","2.79","0","859","","","","103","-1.16","0","0","0","0"
"19","Dan Cloutier","26","VAN","57","","33","16","7","136","1477","1341",".908","2.42","2","3376","","","","101","-1.35","0","3","3","24"
"20","Byron Dafoe","31","ATL","17","","5","11","1","65","472","407",".862","4.36","0","895","","","","151","-21.97","0","0","0","0"
"21","Marc Denis","25","CBJ","77","","27","41","8","232","2404","2172",".903","3.09","5","4511","","","","106","-12.85","0","0","0","6"
"22","Patrick DesRochers","23","TOT","6","","1","4","0","18","159","141",".887","3.64","0","297","","","","","","0","0","0","0"
"23","Rick DiPietro","21","NYI","10","","2","5","2","29","273","244",".894","2.97","0","585","","","","","","0","0","0","2"
"24","Reinhard Divis","27","STL","2","","2","0","0","1","34","33",".971","0.72","0","83","","","","","","0","0","0","0"
"25","Mike Dunham","30","TOT","58","","21","26","7","137","1626","1489",".916","2.50","5","3286","","","","92","11.23","0","1","1","0"
"26","Ray Emery","20","OTT","3","","1","0","0","2","26","24",".923","1.41","0","85","","","","","","0","0","0","0"
"27","Robert Esche","25","PHI","30","","12","9","3","60","647","587",".907","2.20","2","1638","","","","102","-1.02","0","0","0","6"
"28","Manny Fernandez","28","MIN","35","","19","13","2","74","972","898",".924","2.24","2","1979","","","","84","14.61","0","1","1","6"
"29","Brian Finley","21","NSH","1","","0","0","0","3","13","10",".769","3.83","0","47","","","","","","0","0","0","0"
"30","Wade Flaherty","35","NSH","1","","0","1","0","4","27","23",".852","4.71","0","51","","","","","","0","1","1","0"
"31","Mathieu Garon","25","MTL","8","","3","5","0","16","267","251",".940","1.99","2","482","","","","","","0","0","0","0"
"32","Martin Gerber","28","MDA","22","","6","11","3","39","548","509",".929","1.95","1","1203","","","","78","10.96","0","1","1","0"
