rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Frank Brimsek","33","BOS","54","","26","20","8","147","","","","2.72","1","3240","","","","","","0","0","0","2"
"2","Turk Broda","34","TOR","60","","22","25","13","161","","","","2.68","5","3600","","","","","","0","0","0","0"
"3","Les Colvin","27","BOS","1","","0","1","0","4","","","","4.00","0","60","","","","","","0","0","0","0"
"4","Bill Durnan","33","MTL","60","","28","23","9","126","","","","2.10","10","3600","","","","","","0","0","0","0"
"5","Emile Francis","22","NYR","2","","2","0","0","4","","","","2.00","0","120","","","","","","0","0","0","0"
"6","Jack Gelineau","24","BOS","4","","2","2","0","12","","","","3.00","0","240","","","","","","0","0","0","0"
"7","Gord Henry","22","BOS","1","","1","0","0","0","","","","0.00","1","60","","","","","","0","0","0","0"
"8","Jim Henry","28","CBH","60","","21","31","8","211","","","","3.52","0","3600","","","","","","0","0","0","0"
"9","Harry Lumley","22","DET","60","","34","19","7","145","","","","2.42","6","3600","","","","","","0","0","0","12"
"10","Chuck Rayner","28","NYR","58","","16","31","11","168","","","","2.90","7","3480","","","","","","0","0","0","2"
