date,vistor,vistorAbrv,vistorGoals,home,homeAbrv,homeGoals,notes
"1981-10-06","Detroit Red Wings","DET","5","New York Rangers","NYR","2",
"1981-10-06","Hartford Whalers","HAR","5","Quebec Nordiques","QUE","6",
"1981-10-06","Pittsburgh Penguins","PIT","2","St. Louis Blues","STL","6",
"1981-10-06","Colorado Rockies","CLR","2","Vancouver Canucks","VAN","4",
"1981-10-06","Toronto Maple Leafs","TOR","6","Winnipeg Jets","WIN","1",
"1981-10-07","Washington Capitals","WSH","3","Buffalo Sabres","BUF","5",
"1981-10-07","Pittsburgh Penguins","PIT","5","Chicago Black Hawks","CBH","5",
"1981-10-07","Colorado Rockies","CLR","4","Edmonton Oilers","EDM","7",
"1981-10-07","New York Islanders","NYI","4","Los Angeles Kings","LAK","1",
"1981-10-08","Quebec Nordiques","QUE","7","Boston Bruins","BOS","5",
"1981-10-08","Vancouver Canucks","VAN","1","Calgary Flames","CGY","1",
"1981-10-08","Toronto Maple Leafs","TOR","3","Minnesota North Stars","MNS","3",
"1981-10-08","Hartford Whalers","HAR","5","Montreal Canadiens","MTL","5",
"1981-10-09","Detroit Red Wings","DET","2","Philadelphia Flyers","PHI","2",
"1981-10-09","Edmonton Oilers","EDM","2","Vancouver Canucks","VAN","6",
"1981-10-09","New York Rangers","NYR","3","Winnipeg Jets","WIN","8",
"1981-10-10","New York Islanders","NYI","2","Colorado Rockies","CLR","2",
"1981-10-10","Boston Bruins","BOS","1","Hartford Whalers","HAR","1",
"1981-10-10","Edmonton Oilers","EDM","7","Los Angeles Kings","LAK","4",
"1981-10-10","New York Rangers","NYR","0","Minnesota North Stars","MNS","7",
"1981-10-10","Buffalo Sabres","BUF","0","Montreal Canadiens","MTL","9",
"1981-10-10","Quebec Nordiques","QUE","1","Pittsburgh Penguins","PIT","2",
"1981-10-10","Calgary Flames","CGY","6","St. Louis Blues","STL","4",
"1981-10-10","Chicago Black Hawks","CBH","8","Toronto Maple Leafs","TOR","9",
"1981-10-10","Detroit Red Wings","DET","3","Washington Capitals","WSH","6",
"1981-10-11","Washington Capitals","WSH","3","Boston Bruins","BOS","6",
"1981-10-11","Vancouver Canucks","VAN","2","Buffalo Sabres","BUF","2",
"1981-10-11","Calgary Flames","CGY","0","Chicago Black Hawks","CBH","3",
"1981-10-11","Pittsburgh Penguins","PIT","2","Philadelphia Flyers","PHI","8",
"1981-10-12","Minnesota North Stars","MNS","4","Quebec Nordiques","QUE","2",
"1981-10-13","Calgary Flames","CGY","3","Los Angeles Kings","LAK","4",
"1981-10-14","Quebec Nordiques","QUE","2","Buffalo Sabres","BUF","4",
"1981-10-14","Boston Bruins","BOS","8","Chicago Black Hawks","CBH","5",
"1981-10-14","Winnipeg Jets","WIN","4","Edmonton Oilers","EDM","2",
"1981-10-14","Vancouver Canucks","VAN","1","New York Rangers","NYR","2",
"1981-10-14","New York Islanders","NYI","4","Pittsburgh Penguins","PIT","1",
"1981-10-14","Minnesota North Stars","MNS","2","Toronto Maple Leafs","TOR","1",
"1981-10-14","Philadelphia Flyers","PHI","5","Washington Capitals","WSH","4",
"1981-10-15","Winnipeg Jets","WIN","5","Calgary Flames","CGY","4",
"1981-10-15","St. Louis Blues","STL","3","Detroit Red Wings","DET","6",
"1981-10-15","Montreal Canadiens","MTL","7","Hartford Whalers","HAR","2",
"1981-10-15","Colorado Rockies","CLR","2","Los Angeles Kings","LAK","10",
"1981-10-15","Vancouver Canucks","VAN","1","New York Islanders","NYI","4",
"1981-10-15","Washington Capitals","WSH","2","Philadelphia Flyers","PHI","5",
"1981-10-16","Boston Bruins","BOS","6","Colorado Rockies","CLR","1",
"1981-10-16","Calgary Flames","CGY","4","Edmonton Oilers","EDM","8",
"1981-10-17","Detroit Red Wings","DET","1","Hartford Whalers","HAR","8",
"1981-10-17","Boston Bruins","BOS","5","Los Angeles Kings","LAK","4",
"1981-10-17","Vancouver Canucks","VAN","4","Montreal Canadiens","MTL","10",
"1981-10-17","New York Rangers","NYR","4","New York Islanders","NYI","5",
"1981-10-17","Minnesota North Stars","MNS","2","Pittsburgh Penguins","PIT","5",
"1981-10-17","Toronto Maple Leafs","TOR","4","Quebec Nordiques","QUE","6",
"1981-10-17","Chicago Black Hawks","CBH","3","St. Louis Blues","STL","7",
"1981-10-17","Buffalo Sabres","BUF","4","Washington Capitals","WSH","2",
"1981-10-18","Montreal Canadiens","MTL","3","Buffalo Sabres","BUF","3",
"1981-10-18","Edmonton Oilers","EDM","5","Chicago Black Hawks","CBH","7",
"1981-10-18","Pittsburgh Penguins","PIT","2","Detroit Red Wings","DET","3",
"1981-10-18","St. Louis Blues","STL","3","New York Rangers","NYR","5",
"1981-10-18","Minnesota North Stars","MNS","2","Philadelphia Flyers","PHI","3",
"1981-10-18","Colorado Rockies","CLR","4","Winnipeg Jets","WIN","3",
"1981-10-19","Vancouver Canucks","VAN","3","Quebec Nordiques","QUE","6",
"1981-10-20","Edmonton Oilers","EDM","5","Calgary Flames","CGY","4",
"1981-10-20","Los Angeles Kings","LAK","9","New York Islanders","NYI","6",
"1981-10-20","Colorado Rockies","CLR","3","Pittsburgh Penguins","PIT","5",
"1981-10-20","Boston Bruins","BOS","4","St. Louis Blues","STL","3",
"1981-10-21","Winnipeg Jets","WIN","2","Buffalo Sabres","BUF","2",
"1981-10-21","Montreal Canadiens","MTL","3","Chicago Black Hawks","CBH","3",
"1981-10-21","Hartford Whalers","HAR","2","Edmonton Oilers","EDM","5",
"1981-10-21","Los Angeles Kings","LAK","5","New York Rangers","NYR","2",
"1981-10-21","Colorado Rockies","CLR","4","Toronto Maple Leafs","TOR","4",
"1981-10-21","Quebec Nordiques","QUE","6","Washington Capitals","WSH","3",
"1981-10-22","Pittsburgh Penguins","PIT","3","Calgary Flames","CGY","3",
"1981-10-22","Boston Bruins","BOS","2","Detroit Red Wings","DET","2",
"1981-10-22","St. Louis Blues","STL","5","Minnesota North Stars","MNS","5",
"1981-10-22","Quebec Nordiques","QUE","2","Philadelphia Flyers","PHI","3",
"1981-10-23","Toronto Maple Leafs","TOR","2","Buffalo Sabres","BUF","6",
