rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1"0,"St. Louis Blues"1,"STL","82"2,"51"3,"19"4,"11"5,"1"6,"114"7,".695"8,"248"9,"165"10,"1.08"11,"0.07"12,"5.04"13,"61"14,"342"15,"17.84"16,"42"17,"345"18,"87.83"19,"13"20,"3"21,"2445"22,"10.1"23,"1811"24,".911"""
"2"0,"Detroit Red Wings"1,"DET","82"2,"48"3,"22"4,"10"5,"2"6,"108"7,".659"8,"278"9,"210"10,"0.88"11,"0.05"12,"5.95"13,"69"14,"338"15,"20.41"16,"44"17,"311"18,"85.85"19,"15"20,"6"21,"2620"22,"10.6"23,"2166"24,".904"""
"3"0,"Philadelphia Flyers"1,"PHI","82"2,"45"3,"22"4,"12"5,"3"6,"105"7,".640"8,"237"9,"179"10,"0.58"11,"-0.13"12,"5.07"13,"69"14,"340"15,"20.29"16,"42"17,"316"18,"86.71"19,"7"20,"7"21,"2495"22,"9.5"23,"1933"24,".911"""
"4"0,"New Jersey Devils"1,"NJD","82"2,"45"3,"24"4,"8"5,"5"6,"103"7,".628"8,"251"9,"203"10,"0.46"11,"-0.13"12,"5.54"13,"55"14,"274"15,"20.07"16,"39"17,"313"18,"87.54"19,"9"20,"9"21,"2717"22,"9.2"23,"2096"24,".906"""
"5"0,"Washington Capitals"1,"WSH","82"2,"44"3,"24"4,"12"5,"2"6,"102"7,".622"8,"227"9,"194"10,"0.28"11,"-0.13"12,"5.13"13,"43"14,"287"15,"14.98"16,"47"17,"341"18,"86.22"19,"9"20,"3"21,"2269"22,"10.0"23,"2267"24,".916"""
"6"0,"Dallas Stars"1,"DAL","82"2,"43"3,"23"4,"10"5,"6"6,"102"7,".622"8,"211"9,"184"10,"0.41"11,"0.08"12,"4.82"13,"54"14,"343"15,"15.74"16,"33"17,"307"18,"89.25"19,"9"20,"9"21,"2099"22,"10.1"23,"2174"24,".920"""
"7"0,"Toronto Maple Leafs"1,"TOR","82"2,"45"3,"27"4,"7"5,"3"6,"100"7,".610"8,"246"9,"222"10,"0.25"11,"-0.05"12,"5.71"13,"57"14,"321"15,"17.76"16,"58"17,"330"18,"82.42"19,"11"20,"5"21,"2161"22,"11.4"23,"2381"24,".909"""
"8"0,"Florida Panthers"1,"FLA","82"2,"43"3,"27"4,"6"5,"6"6,"98"7,".598"8,"244"9,"209"10,"0.28"11,"-0.15"12,"5.52"13,"58"14,"338"15,"17.16"16,"47"17,"323"18,"85.45"19,"2"20,"8"21,"2198"22,"11.1"23,"2427"24,".916"""
"9"0,"Colorado Avalanche"1,"COL","82"2,"42"3,"28"4,"11"5,"1"6,"96"7,".585"8,"233"9,"201"10,"0.46"11,"0.07"12,"5.29"13,"59"14,"302"15,"19.54"16,"52"17,"335"18,"84.48"19,"3"20,"7"21,"2188"22,"10.6"23,"2276"24,".915"""
"10"0,"Ottawa Senators"1,"OTT","82"2,"41"3,"28"4,"11"5,"2"6,"95"7,".579"8,"244"9,"210"10,"0.30"11,"-0.12"12,"5.54"13,"52"14,"310"15,"16.77"16,"34"17,"273"18,"87.55"19,"6"20,"8"21,"2584"22,"9.4"23,"2061"24,".900"""
"11"0,"Los Angeles Kings"1,"LAK","82"2,"39"3,"27"4,"12"5,"4"6,"94"7,".573"8,"245"9,"228"10,"0.30"11,"0.09"12,"5.77"13,"60"14,"356"15,"16.85"16,"66"17,"373"18,"82.31"19,"4"20,"12"21,"2421"22,"10.1"23,"2280"24,".904"""
"12"0,"Phoenix Coyotes"1,"PHX","82"2,"39"3,"31"4,"8"5,"4"6,"90"7,".549"8,"232"9,"228"10,"0.15"11,"0.10"12,"5.61"13,"37"14,"310"15,"11.94"16,"43"17,"306"18,"85.95"19,"14"20,"7"21,"2213"22,"10.5"23,"2326"24,".905"""
"13"0,"Edmonton Oilers"1,"EDM","82"2,"32"3,"26"4,"16"5,"8"6,"88"7,".537"8,"226"9,"212"10,"0.22"11,"0.05"12,"5.34"13,"53"14,"336"15,"15.77"16,"54"17,"369"18,"85.37"19,"9"20,"4"21,"2310"22,"9.8"23,"2318"24,".909"""
"14"0,"Pittsburgh Penguins"1,"PIT","82"2,"37"3,"31"4,"8"5,"6"6,"88"7,".537"8,"241"9,"236"10,"-0.03"11,"-0.09"12,"5.82"13,"54"14,"346"15,"15.61"16,"56"17,"321"18,"82.55"19,"7"20,"11"21,"2137"22,"11.3"23,"2349"24,".903"""
"15"0,"San Jose Sharks"1,"SJS","82"2,"35"3,"30"4,"10"5,"7"6,"87"7,".530"8,"225"9,"214"10,"0.23"11,"0.10"12,"5.35"13,"62"14,"377"15,"16.45"16,"61"17,"372"18,"83.60"19,"16"20,"4"21,"2248"22,"10.0"23,"2352"24,".911"""
"16"0,"Buffalo Sabres"1,"BUF","82"2,"35"3,"32"4,"11"5,"4"6,"85"7,".518"8,"213"9,"204"10,"0.01"11,"-0.10"12,"5.09"13,"37"14,"351"15,"10.54"16,"54"17,"361"18,"85.04"19,"8"20,"10"21,"2229"22,"9.6"23,"2202"24,".910"""
"17"0,"Carolina Hurricanes"1,"CAR","82"2,"37"3,"35"4,"10"5,"0"6,"84"7,".512"8,"217"9,"216"10,"-0.10"11,"-0.11"12,"5.28"13,"58"14,"342"15,"16.96"16,"40"17,"253"18,"84.19"19,"3"20,"7"21,"2161"22,"10.0"23,"2132"24,".903"""
"18"0,"Montreal Canadiens"1,"MTL","82"2,"35"3,"34"4,"9"5,"4"6,"83"7,".506"8,"196"9,"194"10,"-0.06"11,"-0.09"12,"4.76"13,"54"14,"323"15,"16.72"16,"40"17,"302"18,"86.75"19,"7"20,"8"21,"2135"22,"9.2"23,"2260"24,".916"""
"19"0,"Vancouver Canucks"1,"VAN","82"2,"30"3,"29"4,"15"5,"8"6,"83"7,".506"8,"227"9,"237"10,"-0.01"11,"0.11"12,"5.66"13,"51"14,"323"15,"15.79"16,"63"17,"322"18,"80.43"19,"9"20,"7"21,"2187"22,"10.4"23,"2284"24,".900"""
"20"0,"Mighty Ducks of Anaheim"1,"MDA","82"2,"34"3,"33"4,"12"5,"3"6,"83"7,".506"8,"217"9,"227"10,"0.02"11,"0.14"12,"5.41"13,"55"14,"332"15,"16.57"16,"62"17,"296"18,"79.05"19,"4"20,"8"21,"2352"22,"9.2"23,"2250"24,".903"""
"21"0,"Chicago Blackhawks"1,"CHI","82"2,"33"3,"37"4,"10"5,"2"6,"78"7,".476"8,"242"9,"245"10,"0.10"11,"0.13"12,"5.94"13,"52"14,"325"15,"16.00"16,"58"17,"355"18,"83.66"19,"10"20,"13"21,"2106"22,"11.5"23,"2383"24,".903"""
"22"0,"Calgary Flames"1,"CGY","82"2,"31"3,"36"4,"10"5,"5"6,"77"7,".470"8,"211"9,"256"10,"-0.42"11,"0.13"12,"5.70"13,"59"14,"330"15,"17.88"16,"74"17,"365"18,"79.73"19,"4"20,"8"21,"2468"22,"8.5"23,"2375"24,".895"""
"23"0,"New York Rangers"1,"NYR","82"2,"29"3,"38"4,"12"5,"3"6,"73"7,".445"8,"218"9,"246"10,"-0.39"11,"-0.05"12,"5.66"13,"55"14,"325"15,"16.92"16,"49"17,"292"18,"83.22"19,"5"20,"9"21,"2416"22,"9.0"23,"2439"24,".902"""
"24"0,"Boston Bruins"1,"BOS","82"2,"24"3,"33"4,"19"5,"6"6,"73"7,".445"8,"210"9,"248"10,"-0.52"11,"-0.06"12,"5.59"13,"51"14,"355"15,"14.37"16,"55"17,"268"18,"79.48"19,"0"20,"4"21,"2516"22,"8.3"23,"2267"24,".894"""
"25"0,"Nashville Predators"1,"NSH","82"2,"28"3,"40"4,"7"5,"7"6,"70"7,".427"8,"199"9,"240"10,"-0.36"11,"0.14"12,"5.35"13,"41"14,"304"15,"13.49"16,"46"17,"309"18,"85.11"19,"9"20,"11"21,"2215"22,"9.0"23,"2492"24,".907"""
"26"0,"New York Islanders"1,"NYI","82"2,"24"3,"48"4,"9"5,"1"6,"58"7,".354"8,"194"9,"275"10,"-1.02"11,"-0.03"12,"5.72"13,"45"14,"320"15,"14.06"16,"84"17,"420"18,"80.00"19,"8"20,"8"21,"2147"22,"9.0"23,"2733"24,".903"""
"27"0,"Tampa Bay Lightning"1,"TBL","82"2,"19"3,"47"4,"9"5,"7"6,"54"7,".329"8,"204"9,"310"10,"-1.34"11,"-0.05"12,"6.27"13,"51"14,"365"15,"13.97"16,"77"17,"399"18,"80.70"19,"9"20,"7"21,"2084"22,"9.8"23,"2486"24,".879"""
"28"0,"Atlanta Thrashers"1,"ATL","82"2,"14"3,"57"4,"7"5,"4"6,"39"7,".238"8,"170"9,"313"10,"-1.75"11,"0.00"12,"5.89"13,"44"14,"348"15,"12.64"16,"76"17,"386"18,"80.31"19,"6"20,"13"21,"2115"22,"8.0"23,"2533"24,".880"""
