rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Jean-Sebastien Aubin","22","PIT","51","","23","21","3","120","1392","1272",".914","2.58","2","2789","","","","90","13.09","0","1","1","2"
"2","Tom Barrasso","34","TOT","25","","8","11","2","68","568","500",".880","3.17","1","1288","","","","125","-13.69","0","0","0","6"
"3","Ed Belfour","34","DAL","62","","32","21","7","127","1571","1444",".919","2.10","4","3620","","","","85","23.20","0","3","3","10"
"4","Zac Bierk","23","TBL","12","","4","4","1","31","308","277",".899","3.65","0","509","","","","","","0","1","1","0"
"5","Craig Billington","33","WSH","13","","3","6","1","28","310","282",".910","2.75","2","611","","","","","","0","0","0","0"
"6","Martin Biron","22","BUF","41","","19","18","2","90","988","898",".909","2.42","5","2229","","","","95","4.46","0","0","0","6"
"7","Brian Boucher","23","PHI","35","","20","10","3","65","790","725",".918","1.91","4","2038","","","","86","10.53","0","1","1","4"
"8","Fred Brathwaite","27","CGY","61","","25","25","7","158","1664","1506",".905","2.75","5","3448","","","","99","1.09","0","0","0","4"
"9","Martin Brodeur","27","NJD","72","","43","20","8","161","1797","1636",".910","2.24","6","4312","","","","94","10.81","1","4","5","16"
"10","Sean Burke","33","TOT","42","","19","19","3","106","1230","1124",".914","2.55","3","2492","","","","90","11.60","0","0","0","12"
"11","Dan Cloutier","23","TBL","52","","9","30","3","145","1258","1113",".885","3.49","0","2492","","","","121","-24.72","0","0","0","29"
"12","Marcel Cousineau","26","LAK","5","","1","1","0","6","64","58",".906","2.11","0","171","","","","","","0","0","0","0"
"13","Byron Dafoe","28","BOS","41","","13","16","10","114","1030","916",".889","2.96","3","2307","","","","116","-15.52","0","0","0","0"
"14","Marc Denis","22","COL","23","","9","8","3","51","618","567",".917","2.54","3","1203","","","","86","8.09","0","2","2","6"
"15","Mike Dunham","27","NSH","52","","19","27","6","146","1584","1438",".908","2.85","0","3077","","","","96","5.44","0","0","0","6"
"16","Robert Esche","22","PHX","8","","2","5","0","23","215","192",".893","3.38","0","408","","","","","","0","0","0","4"
"17","Bob Essensa","35","PHX","30","","13","10","3","73","719","646",".898","2.78","1","1573","","","","106","-4.26","0","0","0","0"
"18","Scott Fankhouser","24","ATL","16","","2","11","2","49","451","402",".891","3.20","0","920","","","","114","-5.88","0","0","0","4"
"19","Manny Fernandez","25","DAL","24","","11","8","3","48","603","555",".920","2.13","1","1353","","","","83","9.65","0","2","2","2"
"20","Eric Fichaud","24","CAR","9","","3","5","1","24","206","182",".883","2.94","1","490","","","","","","0","0","0","2"
"21","Stephane Fiset","29","LAK","47","","20","15","7","119","1208","1089",".901","2.75","1","2592","","","","103","-3.51","0","2","2","4"
"22","Mark Fitzpatrick","31","CAR","3","","0","2","0","8","68","60",".882","4.49","0","107","","","","","","0","0","0","0"
"23","Wade Flaherty","32","NYI","4","","0","1","1","7","81","74",".914","2.31","0","182","","","","","","0","0","0","0"
"24","Mike Fountain","28","OTT","1","","0","0","0","1","6","5",".833","3.75","0","16","","","","","","0","0","0","0"
"25","Grant Fuhr","37","CGY","23","","5","13","2","77","536","459",".856","3.83","0","1205","","","","150","-25.75","0","0","0","2"
"26","Jean-Sebastien Giguere","22","CGY","7","","1","3","1","15","175","160",".914","2.73","0","330","","","","","","0","0","0","2"
"27","John Grahame","24","BOS","24","","7","10","5","55","609","554",".910","2.46","2","1344","","","","94","3.23","0","1","1","8"
"28","Jeff Hackett","31","MTL","56","","23","25","7","132","1543","1411",".914","2.40","3","3301","","","","89","15.52","0","0","0","4"
"29","Dominik Hasek","35","BUF","35","","15","11","6","76","937","861",".919","2.21","3","2066","","","","85","13.58","0","1","1","12"
"30","Glenn Healy","37","TOR","20","","9","10","0","59","527","468",".888","3.04","2","1164","","","","117","-8.61","0","1","1","2"
"31","Guy Hebert","33","MDA","68","","28","31","9","166","1805","1639",".908","2.51","4","3976","","","","96","6.57","0","2","2","2"
"32","Milan Hnilicka","26","NYR","2","","0","1","0","5","44","39",".886","3.49","0","86","","","","","","0","0","0","0"
"33","Kevin Hodson","27","TBL","24","","2","7","4","47","327","280",".856","3.67","0","769","","","","","","0","0","0","2"
"34","Jani Hurme","25","OTT","1","","1","0","0","2","19","17",".895","2.00","0","60","","","","","","0","0","0","0"
"35","Arturs Irbe","32","CAR","75","","34","28","9","175","1858","1683",".906","2.42","5","4345","","","","99","2.64","0","1","1","14"
"36","Curtis Joseph","32","TOR","63","","36","20","7","158","1854","1696",".915","2.49","4","3801","","","","89","19.26","0","1","1","14"
"37","Trevor Kidd","27","FLA","28","","14","11","2","69","809","740",".915","2.63","1","1574","","","","89","8.35","0","0","0","0"
"38","Dieter Kochan","25","TBL","5","","1","4","0","17","111","94",".847","4.29","0","238","","","","","","0","0","0","0"
"39","Olaf Kolzig","29","WSH","73","","41","20","11","163","1957","1794",".917","2.24","5","4371","","","","87","24.11","0","2","2","6"
"40","Jean-Francois Labbe","27","NYR","1","","0","1","0","3","22","19",".864","3.00","0","60","","","","","","0","0","0","0"
"41","Patrick Lalime","25","OTT","38","","19","14","3","79","834","755",".905","2.33","3","2038","","","","99","0.74","0","0","0","4"
"42","Marc Lamothe","25","CHI","2","","1","1","0","10","50","40",".800","5.17","0","116","","","","","","0","0","0","0"
"43","Scott Langkow","24","ATL","15","","3","11","0","55","395","340",".861","4.31","0","765","","","","146","-17.23","0","0","0","0"
"44","Manny Legace","26","DET","4","","4","0","0","11","117","106",".906","2.75","0","240","","","","","","0","0","0","0"
"45","Roberto Luongo","20","NYI","24","","7","14","1","70","730","660",".904","3.25","1","1292","","","","100","-0.21","0","0","0","0"
"46","Norm Maracle","25","ATL","32","","4","19","2","94","852","758",".890","3.49","1","1618","","","","115","-12.54","0","0","0","0"
"47","Kirk McLean","33","NYR","22","","7","8","4","58","558","500",".896","2.89","0","1206","","","","109","-4.65","0","1","1","2"
"48","Jamie McLennan","28","STL","19","","9","5","2","33","341","308",".903","1.96","2","1009","","","","101","-0.40","0","0","0","2"
"49","Alfie Michaud","23","VAN","2","","0","1","0","5","27","22",".815","4.35","0","69","","","","","","0","0","0","0"
"50","Mike Minard","23","EDM","1","","1","0","0","3","36","33",".917","3.00","0","60","","","","","","0","0","0","0"
"51","Evgeni Nabokov","24","SJS","11","","2","2","1","15","166","151",".910","2.17","1","414","","","","","","0","0","0","0"
"52","Chris Osgood","27","DET","53","","30","14","8","126","1349","1223",".907","2.40","6","3148","","","","98","2.98","0","1","1","18"
"53","Rich Parent","27","TBL","14","","2","7","1","43","353","310",".878","3.70","0","698","","","","127","-9.25","0","0","0","2"
"54","Steve Passmore","27","CHI","24","","7","12","3","63","654","591",".904","2.72","1","1388","","","","101","-0.47","0","0","0","9"
"55","Felix Potvin","28","TOT","56","","17","27","10","153","1538","1385",".901","2.83","1","3239","","","","104","-5.95","0","2","2","4"
"56","Daren Puppa","34","TBL","5","","1","2","0","19","129","110",".853","4.58","0","249","","","","","","0","0","0","2"
"57","Bill Ranford","33","EDM","16","","4","6","3","47","407","360",".885","3.59","0","785","","","","121","-8.09","0","0","0","2"
"58","Damian Rhodes","30","ATL","28","","5","19","3","101","803","702",".874","3.88","1","1561","","","","132","-24.23","0","0","0","2"
"59","Mike Richter","33","NYR","61","","22","31","8","173","1815","1642",".905","2.87","0","3622","","","","100","0.53","0","0","0","4"
"60","Dwayne Roloson","30","BUF","14","","1","7","3","32","277","245",".884","2.84","0","677","","","","","","0","0","0","0"
"61","Dominic Roussel","29","MDA","20","","6","5","3","52","445","393",".883","3.16","1","988","","","","122","-9.45","0","0","0","6"
"62","Patrick Roy","34","COL","63","","32","21","8","141","1640","1499",".914","2.28","2","3704","","","","90","15.80","0","3","3","10"
"63","Tommy Salo","28","EDM","70","","27","28","13","162","1875","1713",".914","2.33","2","4164","","","","90","17.27","0","1","1","8"
"64","Corey Schwab","29","VAN","6","","2","1","1","16","115","99",".861","3.57","0","269","","","","","","0","0","0","2"
"65","Steve Shields","27","SJS","67","","27","30","8","162","1826","1664",".911","2.56","4","3797","","","","93","12.58","0","1","1","29"
"66","Mikhail Shtalenkov","34","TOT","30","","15","10","4","70","739","669",".905","2.35","2","1786","","","","99","0.65","0","3","3","4"
"67","Richard Shulmistra","28","FLA","1","","1","0","0","1","21","20",".952","1.00","0","60","","","","","","0","0","0","0"
"68","Peter Skudra","26","PIT","20","","5","7","3","48","374","326",".872","3.12","1","922","","","","134","-12.24","0","0","0","0"
