date,vistor,vistorAbrv,vistorGoals,home,homeAbrv,homeGoals,notes
"1935-11-07","New York Americans","NYA","1","Chicago Black Hawks","CBH","3",
"1935-11-09","New York Americans","NYA","5","Toronto Maple Leafs","TOR","5",
"1935-11-10","New York Rangers","NYR","1","Detroit Red Wings","DET","1",
"1935-11-12","New York Rangers","NYR","2","Montreal Canadiens","MTL","1",
"1935-11-14","Chicago Black Hawks","CBH","0","Detroit Red Wings","DET","0",
"1935-11-14","Toronto Maple Leafs","TOR","1","New York Rangers","NYR","0",
"1935-11-16","Boston Bruins","BOS","0","Montreal Maroons","MTM","1",
"1935-11-16","New York Rangers","NYR","2","Toronto Maple Leafs","TOR","3",
"1935-11-17","New York Rangers","NYR","0","Chicago Black Hawks","CBH","3",
"1935-11-17","Montreal Canadiens","MTL","6","New York Americans","NYA","0",
"1935-11-19","New York Americans","NYA","0","Boston Bruins","BOS","1",
"1935-11-19","Toronto Maple Leafs","TOR","7","Montreal Canadiens","MTL","2",
"1935-11-19","Detroit Red Wings","DET","2","New York Rangers","NYR","2",
"1935-11-21","Toronto Maple Leafs","TOR","3","Chicago Black Hawks","CBH","4",
"1935-11-21","Montreal Canadiens","MTL","2","Montreal Maroons","MTM","1",
"1935-11-21","Detroit Red Wings","DET","1","New York Americans","NYA","3",
"1935-11-23","New York Americans","NYA","1","Montreal Canadiens","MTL","2",
"1935-11-23","Montreal Maroons","MTM","5","Toronto Maple Leafs","TOR","2",
"1935-11-24","Montreal Maroons","MTM","1","Chicago Black Hawks","CBH","2",
"1935-11-24","Toronto Maple Leafs","TOR","1","Detroit Red Wings","DET","2",
"1935-11-24","Boston Bruins","BOS","0","New York Rangers","NYR","1",
"1935-11-26","Toronto Maple Leafs","TOR","2","Boston Bruins","BOS","1",
"1935-11-26","Chicago Black Hawks","CBH","1","Montreal Maroons","MTM","4",
"1935-11-26","New York Rangers","NYR","1","New York Americans","NYA","0",
"1935-11-28","Montreal Canadiens","MTL","0","Detroit Red Wings","DET","0",
"1935-11-28","Chicago Black Hawks","CBH","1","New York Rangers","NYR","2",
"1935-11-30","Detroit Red Wings","DET","2","Montreal Maroons","MTM","3",
"1935-11-30","Boston Bruins","BOS","1","New York Americans","NYA","2",
"1935-11-30","Montreal Canadiens","MTL","3","Toronto Maple Leafs","TOR","8",
"1935-12-01","New York Rangers","NYR","0","Boston Bruins","BOS","2",
"1935-12-01","Montreal Canadiens","MTL","0","Chicago Black Hawks","CBH","1",
"1935-12-03","Chicago Black Hawks","CBH","3","Boston Bruins","BOS","1",
"1935-12-03","Montreal Maroons","MTM","3","Montreal Canadiens","MTL","2",
"1935-12-05","Boston Bruins","BOS","1","Detroit Red Wings","DET","2",
"1935-12-05","New York Americans","NYA","2","Montreal Maroons","MTM","1",
"1935-12-07","Detroit Red Wings","DET","3","Montreal Canadiens","MTL","2",
"1935-12-07","Chicago Black Hawks","CBH","1","Toronto Maple Leafs","TOR","2",
"1935-12-08","Boston Bruins","BOS","0","Chicago Black Hawks","CBH","1",
"1935-12-08","New York Americans","NYA","1","Detroit Red Wings","DET","1",
"1935-12-08","Montreal Maroons","MTM","3","New York Rangers","NYR","3",
"1935-12-10","Montreal Maroons","MTM","0","Boston Bruins","BOS","2",
"1935-12-10","Toronto Maple Leafs","TOR","2","New York Americans","NYA","4",
"1935-12-12","Detroit Red Wings","DET","3","Chicago Black Hawks","CBH","1",
"1935-12-12","Boston Bruins","BOS","1","Montreal Canadiens","MTL","1",
"1935-12-12","New York Americans","NYA","2","New York Rangers","NYR","5",
"1935-12-14","New York Rangers","NYR","6","Montreal Maroons","MTM","2",
"1935-12-14","Detroit Red Wings","DET","4","Toronto Maple Leafs","TOR","2",
"1935-12-15","Montreal Canadiens","MTL","1","Boston Bruins","BOS","2",
"1935-12-15","New York Rangers","NYR","2","Detroit Red Wings","DET","4",
"1935-12-15","Chicago Black Hawks","CBH","0","New York Americans","NYA","3",
"1935-12-17","Detroit Red Wings","DET","1","Boston Bruins","BOS","4",
"1935-12-17","Toronto Maple Leafs","TOR","1","Montreal Maroons","MTM","0",
"1935-12-17","Montreal Canadiens","MTL","1","New York Rangers","NYR","1",
"1935-12-19","Chicago Black Hawks","CBH","2","Montreal Canadiens","MTL","2",
"1935-12-19","Detroit Red Wings","DET","3","New York Americans","NYA","1",
"1935-12-19","Boston Bruins","BOS","0","Toronto Maple Leafs","TOR","0",
"1935-12-21","Montreal Maroons","MTM","2","Montreal Canadiens","MTL","1",
"1935-12-21","New York Americans","NYA","3","Toronto Maple Leafs","TOR","5",
"1935-12-22","New York Americans","NYA","3","Chicago Black Hawks","CBH","2",
"1935-12-22","Montreal Maroons","MTM","2","Detroit Red Wings","DET","2",
"1935-12-22","Boston Bruins","BOS","1","New York Rangers","NYR","3",
"1935-12-25","New York Rangers","NYR","3","Boston Bruins","BOS","2",
"1935-12-25","Chicago Black Hawks","CBH","2","Detroit Red Wings","DET","0",
"1935-12-26","Toronto Maple Leafs","TOR","2","Montreal Canadiens","MTL","0",
"1935-12-26","Montreal Maroons","MTM","2","New York Americans","NYA","1",
"1935-12-28","Boston Bruins","BOS","6","Montreal Maroons","MTM","3",
"1935-12-28","New York Rangers","NYR","3","Toronto Maple Leafs","TOR","9",
"1935-12-29","New York Rangers","NYR","1","Chicago Black Hawks","CBH","3",
"1935-12-29","Boston Bruins","BOS","4","Detroit Red Wings","DET","3",
"1935-12-29","Montreal Canadiens","MTL","1","New York Americans","NYA","5",
"1935-12-31","Montreal Maroons","MTM","0","New York Rangers","NYR","1",
"1936-01-01","Montreal Canadiens","MTL","2","Boston Bruins","BOS","0",
"1936-01-01","Detroit Red Wings","DET","4","Chicago Black Hawks","CBH","2",
"1936-01-02","Toronto Maple Leafs","TOR","2","Montreal Maroons","MTM","5",
"1936-01-02","New York Americans","NYA","6","New York Rangers","NYR","3",
"1936-01-04","Boston Bruins","BOS","1","Montreal Canadiens","MTL","1",
"1936-01-04","Montreal Maroons","MTM","1","Toronto Maple Leafs","TOR","1",
"1936-01-05","Montreal Maroons","MTM","3","Chicago Black Hawks","CBH","2",
"1936-01-05","Montreal Canadiens","MTL","2","Detroit Red Wings","DET","5",
"1936-01-05","New York Rangers","NYR","0","New York Americans","NYA","0",
"1936-01-07","Chicago Black Hawks","CBH","0","Boston Bruins","BOS","2",
