rank,player,age,teamName,position,gamesPlayed,goals,assists,points,plusMinus,penaltyMinutes,evenStrengthGoals,powerPlayGoals,shortHandedGoals,gameWinningPoints,evenStrengthAssists,powerPlayAssits,shortHandedAssists,shots,shootingPercentage,timeOnIce,averageTimeOnIce
"1","Tom Anderson","25","NYA","LW/D","24","3","2","5","","20","","","","","","","","","","",""
"2","Larry Aurie","30","DET","RW","44","16","18","34","","17","","","","","","","","","","",""
"3","Vern Ayres","26","NYR","D","28","0","4","4","","38","","","","","","","","","","",""
"4","Marty Barry","30","DET","C","48","21","19","40","","16","","","","","","","","","","",""
"5","Red Beattie","28","BOS","LW","48","14","18","32","","27","","","","","","","","","","",""
"6","Max Bennett","23","MTL","RW","1","0","0","0","","0","","","","","","","","","","",""
"7","Phil Besler","22","BOS","RW","8","0","0","0","","0","","","","","","","","","","",""
"8","Andy Blair","27","TOR","C","45","5","4","9","","60","","","","","","","","","","",""
"9","Bob Blake","21","BOS","D","12","0","0","0","","0","","","","","","","","","","",""
"10","Mickey Blake","23","TOR","D","1","0","0","0","","2","","","","","","","","","","",""
"11","Toe Blake","23","MTL","LW","11","1","2","3","","28","","","","","","","","","","",""
"12","Russ Blinco","27","MTM","C","46","13","10","23","","10","","","","","","","","","","",""
"13","Buzz Boll","24","TOR","LW","44","15","13","28","","14","","","","","","","","","","",""
"14","Frank Boucher","34","NYR","C","48","11","18","29","","2","","","","","","","","","","",""
"15","Conrad Bourcier","20","MTL","C","6","0","0","0","","0","","","","","","","","","","",""
"16","Jean Bourcier","25","MTL","LW","9","0","1","1","","0","","","","","","","","","","",""
"17","Ralph Bowman","24","DET","D","48","3","2","5","","44","","","","","","","","","","",""
"18","Mud Bruneteau","21","DET","RW","24","2","0","2","","2","","","","","","","","","","",""
"19","Bill Brydge","34","NYA","D","21","0","0","0","","27","","","","","","","","","","",""
"20","Glenn Brydson","25","TOT","RW","52","10","16","26","","39","","","","","","","","","","",""
"21","Marty Burke","31","CBH","D","40","0","3","3","","49","","","","","","","","","","",""
"22","Walt Buswell","28","MTL","D","44","0","2","2","","34","","","","","","","","","","",""
"23","Herb Cain","23","MTM","LW","48","5","13","18","","16","","","","","","","","","","",""
"24","Lorne Carr","25","NYA","RW","44","8","10","18","","4","","","","","","","","","","",""
"25","Art Chapman","29","NYA","C","48","10","28","38","","14","","","","","","","","","","",""
"26","King Clancy","32","TOR","D","47","5","10","15","","61","","","","","","","","","","",""
"27","Dit Clapper","28","BOS","RW/D","44","12","13","25","","14","","","","","","","","","","",""
"28","Mac Colville","20","NYR","RW","18","1","4","5","","6","","","","","","","","","","",""
"29","Neil Colville","21","NYR","C/D","1","0","0","0","","0","","","","","","","","","","",""
"30","Charlie Conacher","26","TOR","RW","44","23","15","38","","74","","","","","","","","","","",""
"31","Lionel Conacher","34","MTM","D","46","7","7","14","","65","","","","","","","","","","",""
"32","Bert Connelly","26","NYR","C","25","2","2","4","","10","","","","","","","","","","",""
"33","Bill Cook","39","NYR","RW","44","7","10","17","","16","","","","","","","","","","",""
"34","Bun Cook","32","NYR","LW","26","4","5","9","","12","","","","","","","","","","",""
"35","Tom Cook","28","CBH","C","47","4","8","12","","20","","","","","","","","","","",""
"36","Joe Cooper","21","NYR","D","1","0","0","0","","0","","","","","","","","","","",""
"37","Baldy Cotton","33","NYA","LW","45","7","9","16","","27","","","","","","","","","","",""
"38","Art Coulter","26","TOT","D","48","1","7","8","","44","","","","","","","","","","",""
"39","Rosie Couture","30","MTL","RW","10","0","1","1","","0","","","","","","","","","","",""
"40","Bill Cowley","23","BOS","C","48","11","10","21","","17","","","","","","","","","","",""
"41","Bob Davidson","23","TOR","LW","35","4","4","8","","32","","","","","","","","","","",""
"42","Bob Davie","23","BOS","D","2","0","0","0","","2","","","","","","","","","","",""
"43","Hap Day","34","TOR","LW/D","44","1","13","14","","41","","","","","","","","","","",""
"44","Joffre Desilets","20","MTL","RW","38","7","6","13","","0","","","","","","","","","","",""
"45","Cecil Dillon","27","NYR","RW","48","18","14","32","","12","","","","","","","","","","",""
