rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1"0,"Detroit Red Wings"1,"DET","48"2,"24"3,"16"4,"8"5,"56"6,".583"7,"124"8,"103"9,"0.39"10,"-0.04"11,"4.73"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"2"0,"Montreal Maroons"1,"MTM","48"2,"22"3,"16"4,"10"5,"54"6,".563"7,"114"8,"106"9,"0.12"10,"-0.04"11,"4.58"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"3"0,"Toronto Maple Leafs"1,"TOR","48"2,"23"3,"19"4,"6"5,"52"6,".542"7,"126"8,"106"9,"0.34"10,"-0.08"11,"4.83"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"4"0,"New York Rangers"1,"NYR","48"2,"19"3,"17"4,"12"5,"50"6,".521"7,"91"8,"96"9,"-0.07"10,"0.03"11,"3.90"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"5"0,"Boston Bruins"1,"BOS","48"2,"22"3,"20"4,"6"5,"50"6,".521"7,"92"8,"83"9,"0.18"10,"-0.01"11,"3.65"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"6"0,"Chicago Black Hawks"1,"CBH","48"2,"21"3,"19"4,"8"5,"50"6,".521"7,"93"8,"92"9,"0.04"10,"0.02"11,"3.85"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"7"0,"New York Americans"1,"NYA","48"2,"16"3,"25"4,"7"5,"39"6,".406"7,"109"8,"122"9,"-0.25"10,"0.02"11,"4.81"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"8"0,"Montreal Canadiens"1,"MTL","48"2,"11"3,"26"4,"11"5,"33"6,".344"7,"82"8,"123"9,"-0.75"10,"0.10"11,"4.27"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
