date,vistor,vistorAbrv,vistorGoals,home,homeAbrv,homeGoals,notes
"1962-10-10","Toronto Maple Leafs","TOR","3","Chicago Black Hawks","CBH","1",
"1962-10-11","Montreal Canadiens","MTL","0","Boston Bruins","BOS","5",
"1962-10-11","Detroit Red Wings","DET","2","New York Rangers","NYR","1",
"1962-10-13","Detroit Red Wings","DET","0","Chicago Black Hawks","CBH","0",
"1962-10-13","New York Rangers","NYR","3","Montreal Canadiens","MTL","6",
"1962-10-13","Boston Bruins","BOS","2","Toronto Maple Leafs","TOR","2",
"1962-10-14","Chicago Black Hawks","CBH","2","Boston Bruins","BOS","2",
"1962-10-14","Montreal Canadiens","MTL","1","Detroit Red Wings","DET","3",
"1962-10-14","Toronto Maple Leafs","TOR","3","New York Rangers","NYR","5",
"1962-10-17","Chicago Black Hawks","CBH","5","New York Rangers","NYR","1",
"1962-10-18","Boston Bruins","BOS","3","Detroit Red Wings","DET","5",
"1962-10-18","Toronto Maple Leafs","TOR","2","Montreal Canadiens","MTL","4",
"1962-10-20","Boston Bruins","BOS","3","Montreal Canadiens","MTL","7",
"1962-10-20","Chicago Black Hawks","CBH","1","Toronto Maple Leafs","TOR","3",
"1962-10-21","Toronto Maple Leafs","TOR","6","Boston Bruins","BOS","4",
"1962-10-21","Chicago Black Hawks","CBH","1","Detroit Red Wings","DET","3",
"1962-10-21","Montreal Canadiens","MTL","3","New York Rangers","NYR","3",
"1962-10-23","Montreal Canadiens","MTL","4","Chicago Black Hawks","CBH","4",
"1962-10-25","Detroit Red Wings","DET","3","Boston Bruins","BOS","3",
"1962-10-27","Chicago Black Hawks","CBH","3","Montreal Canadiens","MTL","2",
"1962-10-27","New York Rangers","NYR","5","Toronto Maple Leafs","TOR","1",
"1962-10-28","Toronto Maple Leafs","TOR","0","Detroit Red Wings","DET","2",
"1962-10-28","Chicago Black Hawks","CBH","5","New York Rangers","NYR","3",
"1962-10-30","New York Rangers","NYR","3","Chicago Black Hawks","CBH","5",
"1962-10-31","Montreal Canadiens","MTL","4","Toronto Maple Leafs","TOR","3",
"1962-11-01","Chicago Black Hawks","CBH","4","Boston Bruins","BOS","2",
"1962-11-01","New York Rangers","NYR","0","Detroit Red Wings","DET","4",
"1962-11-01","Toronto Maple Leafs","TOR","3","Montreal Canadiens","MTL","1",
"1962-11-03","New York Rangers","NYR","3","Montreal Canadiens","MTL","3",
"1962-11-03","Detroit Red Wings","DET","7","Toronto Maple Leafs","TOR","3",
"1962-11-04","New York Rangers","NYR","4","Boston Bruins","BOS","3",
"1962-11-04","Chicago Black Hawks","CBH","1","Detroit Red Wings","DET","3",
"1962-11-07","Boston Bruins","BOS","3","Chicago Black Hawks","CBH","3",
"1962-11-07","Toronto Maple Leafs","TOR","5","New York Rangers","NYR","1",
"1962-11-08","Detroit Red Wings","DET","1","Montreal Canadiens","MTL","4",
"1962-11-10","Detroit Red Wings","DET","3","Boston Bruins","BOS","3",
"1962-11-10","Chicago Black Hawks","CBH","3","Montreal Canadiens","MTL","1",
"1962-11-10","New York Rangers","NYR","3","Toronto Maple Leafs","TOR","5",
"1962-11-11","Montreal Canadiens","MTL","4","Boston Bruins","BOS","2",
"1962-11-11","Toronto Maple Leafs","TOR","5","Chicago Black Hawks","CBH","3",
"1962-11-11","Detroit Red Wings","DET","3","New York Rangers","NYR","2",
"1962-11-14","Detroit Red Wings","DET","2","Chicago Black Hawks","CBH","4",
"1962-11-14","Boston Bruins","BOS","2","New York Rangers","NYR","6",
"1962-11-14","Montreal Canadiens","MTL","2","Toronto Maple Leafs","TOR","4",
"1962-11-17","Chicago Black Hawks","CBH","4","New York Rangers","NYR","3",
"1962-11-17","Detroit Red Wings","DET","2","Toronto Maple Leafs","TOR","3",
"1962-11-18","Detroit Red Wings","DET","3","Boston Bruins","BOS","1",
"1962-11-18","Montreal Canadiens","MTL","1","Chicago Black Hawks","CBH","1",
"1962-11-18","Toronto Maple Leafs","TOR","1","New York Rangers","NYR","3",
"1962-11-21","Boston Bruins","BOS","2","New York Rangers","NYR","4",
"1962-11-22","New York Rangers","NYR","7","Boston Bruins","BOS","1",
"1962-11-22","Toronto Maple Leafs","TOR","0","Chicago Black Hawks","CBH","1",
"1962-11-22","Montreal Canadiens","MTL","3","Detroit Red Wings","DET","0",
"1962-11-24","Detroit Red Wings","DET","1","Chicago Black Hawks","CBH","1",
"1962-11-24","Boston Bruins","BOS","5","Montreal Canadiens","MTL","5",
"1962-11-24","New York Rangers","NYR","1","Toronto Maple Leafs","TOR","4",
"1962-11-25","Toronto Maple Leafs","TOR","2","Boston Bruins","BOS","5",
"1962-11-25","Chicago Black Hawks","CBH","2","Detroit Red Wings","DET","3",
"1962-11-25","Montreal Canadiens","MTL","3","New York Rangers","NYR","1",
"1962-11-29","Chicago Black Hawks","CBH","5","Boston Bruins","BOS","0",
"1962-11-29","New York Rangers","NYR","5","Detroit Red Wings","DET","0",
"1962-11-29","Toronto Maple Leafs","TOR","4","Montreal Canadiens","MTL","4",
"1962-12-01","Chicago Black Hawks","CBH","1","Montreal Canadiens","MTL","2",
"1962-12-01","Boston Bruins","BOS","2","Toronto Maple Leafs","TOR","8",
"1962-12-02","Montreal Canadiens","MTL","3","Boston Bruins","BOS","0",
"1962-12-02","New York Rangers","NYR","1","Chicago Black Hawks","CBH","5",
"1962-12-02","Toronto Maple Leafs","TOR","3","Detroit Red Wings","DET","1",
"1962-12-05","Boston Bruins","BOS","4","Chicago Black Hawks","CBH","5",
"1962-12-05","Detroit Red Wings","DET","3","New York Rangers","NYR","3",
"1962-12-05","Montreal Canadiens","MTL","1","Toronto Maple Leafs","TOR","2",
"1962-12-06","Boston Bruins","BOS","3","Detroit Red Wings","DET","5",
"1962-12-08","New York Rangers","NYR","3","Boston Bruins","BOS","3",
"1962-12-08","Detroit Red Wings","DET","1","Montreal Canadiens","MTL","2",
"1962-12-08","Chicago Black Hawks","CBH","1","Toronto Maple Leafs","TOR","1",
"1962-12-09","Montreal Canadiens","MTL","1","Chicago Black Hawks","CBH","2",
"1962-12-09","Toronto Maple Leafs","TOR","3","Detroit Red Wings","DET","4",
"1962-12-09","Boston Bruins","BOS","4","New York Rangers","NYR","2",
"1962-12-12","New York Rangers","NYR","3","Chicago Black Hawks","CBH","4",
"1962-12-13","New York Rangers","NYR","2","Detroit Red Wings","DET","3",
"1962-12-13","Boston Bruins","BOS","1","Montreal Canadiens","MTL","1",
"1962-12-15","Chicago Black Hawks","CBH","1","Detroit Red Wings","DET","3",
"1962-12-15","New York Rangers","NYR","4","Montreal Canadiens","MTL","2",
"1962-12-15","Boston Bruins","BOS","2","Toronto Maple Leafs","TOR","8",
"1962-12-16","Montreal Canadiens","MTL","5","Boston Bruins","BOS","2",
"1962-12-16","Toronto Maple Leafs","TOR","6","Chicago Black Hawks","CBH","2",
"1962-12-16","Detroit Red Wings","DET","2","New York Rangers","NYR","5",
"1962-12-19","Boston Bruins","BOS","2","Chicago Black Hawks","CBH","3",
"1962-12-20","Boston Bruins","BOS","5","Detroit Red Wings","DET","3",
"1962-12-20","Toronto Maple Leafs","TOR","4","Montreal Canadiens","MTL","4",
"1962-12-22","Chicago Black Hawks","CBH","1","Montreal Canadiens","MTL","1",
"1962-12-22","New York Rangers","NYR","2","Toronto Maple Leafs","TOR","4",
"1962-12-23","Toronto Maple Leafs","TOR","5","Boston Bruins","BOS","4",
"1962-12-23","Montreal Canadiens","MTL","2","Detroit Red Wings","DET","2",
"1962-12-23","Chicago Black Hawks","CBH","3","New York Rangers","NYR","1",
"1962-12-25","New York Rangers","NYR","2","Boston Bruins","BOS","6",
"1962-12-25","Montreal Canadiens","MTL","6","Chicago Black Hawks","CBH","0",
"1962-12-25","Toronto Maple Leafs","TOR","1","Detroit Red Wings","DET","2",
"1962-12-26","Detroit Red Wings","DET","4","Toronto Maple Leafs","TOR","5",
"1962-12-27","Boston Bruins","BOS","3","New York Rangers","NYR","9",
"1962-12-29","Detroit Red Wings","DET","1","Montreal Canadiens","MTL","5",
"1962-12-29","Chicago Black Hawks","CBH","1","Toronto Maple Leafs","TOR","1",
"1962-12-30","Boston Bruins","BOS","2","Chicago Black Hawks","CBH","4",
"1962-12-30","Montreal Canadiens","MTL","4","New York Rangers","NYR","4",
"1962-12-31","New York Rangers","NYR","1","Detroit Red Wings","DET","1",
"1963-01-01","Toronto Maple Leafs","TOR","0","Boston Bruins","BOS","3",
"1963-01-01","Detroit Red Wings","DET","2","Chicago Black Hawks","CBH","4",
"1963-01-02","Toronto Maple Leafs","TOR","2","New York Rangers","NYR","3",
"1963-01-03","Boston Bruins","BOS","1","Montreal Canadiens","MTL","4",
"1963-01-05","New York Rangers","NYR","2","Montreal Canadiens","MTL","2",
"1963-01-05","Boston Bruins","BOS","2","Toronto Maple Leafs","TOR","4",
"1963-01-06","Toronto Maple Leafs","TOR","5","Chicago Black Hawks","CBH","1",
"1963-01-06","Boston Bruins","BOS","5","Detroit Red Wings","DET","5",
"1963-01-06","Montreal Canadiens","MTL","6","New York Rangers","NYR","0",
"1963-01-09","Chicago Black Hawks","CBH","3","Toronto Maple Leafs","TOR","1",
"1963-01-10","Chicago Black Hawks","CBH","4","Boston Bruins","BOS","5",
"1963-01-10","Detroit Red Wings","DET","3","Montreal Canadiens","MTL","2",
"1963-01-12","New York Rangers","NYR","1","Chicago Black Hawks","CBH","3",
"1963-01-12","Boston Bruins","BOS","2","Montreal Canadiens","MTL","7",
"1963-01-12","Detroit Red Wings","DET","1","Toronto Maple Leafs","TOR","2",
"1963-01-13","Toronto Maple Leafs","TOR","2","Boston Bruins","BOS","2",
"1963-01-13","Montreal Canadiens","MTL","2","Chicago Black Hawks","CBH","2",
"1963-01-13","New York Rangers","NYR","2","Detroit Red Wings","DET","4",
