rank,player,age,teamName,position,gamesPlayed,goals,assists,points,plusMinus,penaltyMinutes,evenStrengthGoals,powerPlayGoals,shortHandedGoals,gameWinningPoints,evenStrengthAssists,powerPlayAssits,shortHandedAssists,shots,shootingPercentage,timeOnIce,averageTimeOnIce
"1","Al Arbour","30","TOR","D","4","1","0","1","","4","","","","","","","","","","",""
"2","George Armstrong","32","TOR","C","70","19","24","43","","27","","","","","","","","","","",""
"3","Norm Armstrong","24","TOR","D/LW","7","1","1","2","","2","","","","","","","","","","",""
"4","Ralph Backstrom","25","MTL","C","70","23","12","35","","51","","","","","","","","","","",""
"5","Murray Balfour","26","CBH","RW","65","10","23","33","","75","","","","","","","","","","",""
"6","Dave Balon","24","NYR","LW","70","11","13","24","","72","","","","","","","","","","",""
"7","Doug Barkley","26","DET","D","70","3","24","27","","78","","","","","","","","","","",""
"8","Andy Bathgate","30","NYR","RW","70","35","46","81","","54","","","","","","","","","","",""
"9","Bob Baun","26","TOR","D","48","4","8","12","","65","","","","","","","","","","",""
"10","Jean Beliveau","31","MTL","C","69","18","49","67","","68","","","","","","","","","","",""
"11","Red Berenson","23","MTL","LW","37","2","6","8","","15","","","","","","","","","","",""
"12","Don Blackburn","24","BOS","D","6","0","5","5","","4","","","","","","","","","","",""
"13","Leo Boivin","30","BOS","D","62","2","24","26","","48","","","","","","","","","","",""
"14","Carl Brewer","24","TOR","D","70","2","23","25","","168","","","","","","","","","","",""
"15","Gerry Brisson","25","MTL","RW","4","0","2","2","","4","","","","","","","","","","",""
"16","John Bucyk","27","BOS","LW","69","27","39","66","","36","","","","","","","","","","",""
"17","Charlie Burns","26","BOS","C","68","12","10","22","","13","","","","","","","","","","",""
"18","Larry Cahan","29","NYR","D","56","6","14","20","","47","","","","","","","","","","",""
"19","Andre Champagne","19","TOR","LW/C","2","0","0","0","","0","","","","","","","","","","",""
"20","Wayne Connelly","23","BOS","C","18","2","6","8","","2","","","","","","","","","","",""
"21","Alex Delvecchio","30","DET","C","70","20","44","64","","8","","","","","","","","","","",""
