rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1"0,"Boston Bruins"1,"BOS","44"2,"28"3,"10"4,"6"5,"62"6,".705"7,"143"8,"90"9,"1.05"10,"-0.15"11,"5.30"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"2"0,"Montreal Canadiens"1,"MTL","44"2,"26"3,"10"4,"8"5,"60"6,".682"7,"129"8,"89"9,"0.81"10,"-0.10"11,"4.95"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"3"0,"Toronto Maple Leafs"1,"TOR","44"2,"22"3,"13"4,"9"5,"53"6,".602"7,"118"8,"99"9,"0.39"10,"-0.04"11,"4.93"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"4"0,"Chicago Black Hawks"1,"CBH","44"2,"24"3,"17"4,"3"5,"51"6,".580"7,"108"8,"78"9,"0.59"10,"-0.09"11,"4.23"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"5"0,"New York Rangers"1,"NYR","44"2,"19"3,"16"4,"9"5,"47"6,".534"7,"106"8,"87"9,"0.37"10,"-0.06"11,"4.39"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"6"0,"Montreal Maroons"1,"MTM","44"2,"20"3,"18"4,"6"5,"46"6,".523"7,"105"8,"106"9,"-0.01"10,"0.01"11,"4.80"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"7"0,"New York Americans"1,"NYA","44"2,"18"3,"16"4,"10"5,"46"6,".523"7,"76"8,"74"9,"0.05"10,"0.00"11,"3.41"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"8"0,"Detroit Falcons"1,"DTF","44"2,"16"3,"21"4,"7"5,"39"6,".443"7,"102"8,"105"9,"-0.07"10,"0.00"11,"4.70"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"9"0,"Ottawa Senators"1,"OTS","44"2,"10"3,"30"4,"4"5,"24"6,".273"7,"91"8,"142"9,"-1.01"10,"0.15"11,"5.30"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"10"0,"Philadelphia Quakers"1,"PHQ","44"2,"4"3,"36"4,"4"5,"12"6,".136"7,"76"8,"184"9,"-2.17"10,"0.29"11,"5.91"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
