date,vistor,vistorAbrv,vistorGoals,home,homeAbrv,homeGoals,notes
"1930-11-11","New York Americans","NYA","0","Boston Bruins","BOS","1",
"1930-11-11","Montreal Maroons","MTM","0","Ottawa Senators","OTS","2",
"1930-11-11","New York Rangers","NYR","3","Philadelphia Quakers","PHQ","0",
"1930-11-13","New York Rangers","NYR","0","Detroit Falcons","DTF","1",
"1930-11-13","New York Americans","NYA","0","Toronto Maple Leafs","TOR","0",
"1930-11-15","Ottawa Senators","OTS","1","Montreal Canadiens","MTL","5",
"1930-11-15","Philadelphia Quakers","PHQ","0","Toronto Maple Leafs","TOR","4",
"1930-11-16","New York Rangers","NYR","1","Chicago Black Hawks","CBH","1",
"1930-11-16","Philadelphia Quakers","PHQ","1","Detroit Falcons","DTF","5",
"1930-11-16","Montreal Maroons","MTM","0","New York Americans","NYA","1",
"1930-11-18","Montreal Canadiens","MTL","2","Boston Bruins","BOS","5",
"1930-11-18","Toronto Maple Leafs","TOR","3","Montreal Maroons","MTM","0",
"1930-11-18","New York Americans","NYA","0","New York Rangers","NYR","0",
"1930-11-18","Ottawa Senators","OTS","2","Philadelphia Quakers","PHQ","2",
"1930-11-20","Boston Bruins","BOS","0","Chicago Black Hawks","CBH","1",
"1930-11-20","Montreal Maroons","MTM","1","Montreal Canadiens","MTL","7",
"1930-11-20","Toronto Maple Leafs","TOR","0","New York Americans","NYA","0",
"1930-11-20","Detroit Falcons","DTF","0","Ottawa Senators","OTS","1",
"1930-11-22","New York Americans","NYA","3","Montreal Maroons","MTM","4",
"1930-11-22","Ottawa Senators","OTS","0","Toronto Maple Leafs","TOR","2",
"1930-11-23","Montreal Canadiens","MTL","0","Chicago Black Hawks","CBH","3",
"1930-11-23","Boston Bruins","BOS","2","Detroit Falcons","DTF","2",
"1930-11-23","Philadelphia Quakers","PHQ","2","New York Rangers","NYR","5",
"1930-11-25","Chicago Black Hawks","CBH","4","Boston Bruins","BOS","3",
"1930-11-25","New York Rangers","NYR","2","Montreal Maroons","MTM","5",
"1930-11-25","Ottawa Senators","OTS","1","New York Americans","NYA","0",
"1930-11-25","Toronto Maple Leafs","TOR","1","Philadelphia Quakers","PHQ","2",
"1930-11-27","Montreal Canadiens","MTL","2","Detroit Falcons","DTF","3",
"1930-11-27","Chicago Black Hawks","CBH","4","New York Rangers","NYR","0",
"1930-11-27","Boston Bruins","BOS","2","Ottawa Senators","OTS","1",
"1930-11-29","Boston Bruins","BOS","2","Montreal Canadiens","MTL","3",
"1930-11-29","Chicago Black Hawks","CBH","3","Ottawa Senators","OTS","0",
"1930-11-29","New York Rangers","NYR","6","Philadelphia Quakers","PHQ","3",
"1930-11-29","Detroit Falcons","DTF","2","Toronto Maple Leafs","TOR","4",
"1930-11-30","New York Americans","NYA","2","Detroit Falcons","DTF","2",
"1930-12-02","Toronto Maple Leafs","TOR","2","Boston Bruins","BOS","3",
"1930-12-02","Chicago Black Hawks","CBH","1","Montreal Maroons","MTM","2",
"1930-12-02","Montreal Canadiens","MTL","2","Philadelphia Quakers","PHQ","0",
"1930-12-04","New York Americans","NYA","2","Chicago Black Hawks","CBH","4",
"1930-12-04","New York Rangers","NYR","4","Montreal Canadiens","MTL","5",
"1930-12-04","Philadelphia Quakers","PHQ","2","Ottawa Senators","OTS","5",
"1930-12-06","Ottawa Senators","OTS","0","Montreal Maroons","MTM","1",
"1930-12-06","Boston Bruins","BOS","4","Philadelphia Quakers","PHQ","3",
"1930-12-06","New York Rangers","NYR","2","Toronto Maple Leafs","TOR","4",
