rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,shortHandedAssists,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1"0,"Lorne Anderson"1,"20"2,"NYR"3,"3"4,""5,"1"6,"2"7,"0"8,"18"9,""10,""11,""12,"6.00"13,"0"14,"180"15,""16,""17,""18,""19,""20,"0"21,"0"22,"0"23,"0"
"2"0,"Turk Broda"1,"37"2,"TOR"3,"1"4,""5,"0"6,"1"7,"0"8,"3"9,""10,""11,""12,"6.00"13,"0"14,"30"15,""16,""17,""18,""19,""20,"0"21,"0"22,"0"23,"0"
"3"0,"Emile Francis"1,"25"2,"NYR"3,"14"4,""5,"4"6,"7"7,"3"8,"42"9,""10,""11,""12,"3.00"13,"0"14,"840"15,""16,""17,""18,""19,""20,"0"21,"0"22,"0"23,"0"
"4"0,"Jim Henry"1,"31"2,"BOS"3,"70"4,""5,"25"6,"29"7,"16"8,"176"9,""10,""11,""12,"2.51"13,"7"14,"4200"15,""16,""17,""18,""19,""20,"0"21,"0"22,"0"23,"0"
"5"0,"Harry Lumley"1,"25"2,"CBH"3,"70"4,""5,"17"6,"44"7,"9"8,"241"9,""10,""11,""12,"3.46"13,"2"14,"4180"15,""16,""17,""18,""19,""20,"0"21,"0"22,"0"23,"2"
"6"0,"Gerry McNeil"1,"25"2,"MTL"3,"70"4,""5,"34"6,"26"7,"10"8,"164"9,""10,""11,""12,"2.34"13,"5"14,"4200"15,""16,""17,""18,""19,""20,"0"21,"0"22,"0"23,"0"
"7"0,"Chuck Rayner"1,"31"2,"NYR"3,"53"4,""5,"18"6,"25"7,"10"8,"159"9,""10,""11,""12,"3.00"13,"2"14,"3180"15,""16,""17,""18,""19,""20,"0"21,"0"22,"0"23,"4"
"8"0,"Moe Roberts"1,"46"2,"CBH"3,"1"4,""5,"0"6,"0"7,"0"8,"0"9,""10,""11,""12,"0.00"13,"0"14,"20"15,""16,""17,""18,""19,""20,"0"21,"0"22,"0"23,"0"
"9"0,"Al Rollins"1,"25"2,"TOR"3,"70"4,""5,"29"6,"24"7,"16"8,"154"9,""10,""11,""12,"2.22"13,"5"14,"4170"15,""16,""17,""18,""19,""20,"0"21,"0"22,"0"23,"4"
"10"0,"Terry Sawchuk"1,"22"2,"DET"3,"70"4,""5,"44"6,"14"7,"12"8,"133"9,""10,""11,""12,"1.90"13,"12"14,"4200"15,""16,""17,""18,""19,""20,"0"21,"0"22,"0"23,"2"
