rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Clint Benedict","26","OTS","18","","12","6","0","53","","","","2.76","2","1152","","","","","","0","0","0""3"
"2","Sprague Cleghorn","28","OTS","1","","0","0","0","0","","","","0.00","0","3","","","","","","7","6","13""27"
"3","Hap Holmes","30","TRA","2","","0","2","0","9","","","","4.50","0","120","","","","","","0","0","0""0"
"4","Bert Lindsay","37","TRA","16","","5","11","0","83","","","","4.99","0","998","","","","","","0","0","0""0"
"5","Georges Vezina","32","MTL","18","","10","8","0","78","","","","4.19","1","1117","","","","","","0","0","0""0"
