rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1"0,"Buffalo Sabres"1,"BUF","82"2,"53"3,"22"4,"7"5,"113"6,".689"7,"308"8,"242"9,"0.64"10,"-0.16"11,"6.71"12,"71"13,"407"14,"17.44"15,"72"16,"386"17,"81.35"18,"8"19,"13"20,"2417"21,"12.3"22,"2539"23,".907"24,""
"2"0,"Detroit Red Wings"1,"DET","82"2,"50"3,"19"4,"13"5,"113"6,".689"7,"254"8,"199"9,"0.72"10,"0.05"11,"5.52"12,"68"13,"401"14,"16.96"15,"63"16,"408"17,"84.56"18,"12"19,"11"20,"2771"21,"9.1"22,"2016"23,".907"24,""
"3"0,"Nashville Predators"1,"NSH","82"2,"51"3,"23"4,"8"5,"110"6,".671"7,"272"8,"212"9,"0.78"10,"0.05"11,"5.90"12,"71"13,"408"14,"17.40"15,"55"16,"390"17,"85.90"18,"8"19,"2"20,"2261"21,"11.8"22,"2553"23,".922"24,""
"4"0,"Anaheim Ducks"1,"ANA","82"2,"48"3,"20"4,"14"5,"110"6,".671"7,"258"8,"208"9,"0.67"10,"0.06"11,"5.68"12,"89"13,"398"14,"22.36"15,"61"16,"410"17,"85.12"18,"4"19,"4"20,"2582"21,"9.8"22,"2245"23,".913"24,""
"5"0,"San Jose Sharks"1,"SJS","82"2,"51"3,"26"4,"5"5,"107"6,".652"7,"258"8,"199"9,"0.77"10,"0.05"11,"5.57"12,"92"13,"410"14,"22.44"15,"55"16,"330"17,"83.33"18,"7"19,"4"20,"2346"21,"10.9"22,"2142"23,".911"24,""
"6"0,"New Jersey Devils"1,"NJD","82"2,"49"3,"24"4,"9"5,"107"6,".652"7,"216"8,"201"9,"0.03"10,"-0.15"11,"5.09"12,"65"13,"367"14,"17.71"15,"40"16,"271"17,"85.24"18,"4"19,"11"20,"2354"21,"8.8"22,"2326"23,".920"24,""
"7"0,"Dallas Stars"1,"DAL","82"2,"50"3,"25"4,"7"5,"107"6,".652"7,"226"8,"197"9,"0.44"10,"0.08"11,"5.16"12,"79"13,"427"14,"18.50"15,"59"16,"377"17,"84.35"18,"3"19,"6"20,"2296"21,"9.5"22,"2075"23,".911"24,""
"8"0,"Vancouver Canucks"1,"VAN","82"2,"49"3,"26"4,"7"5,"105"6,".640"7,"222"8,"201"9,"0.39"10,"0.13"11,"5.16"12,"70"13,"407"14,"17.20"15,"57"16,"436"17,"86.93"18,"5"19,"8"20,"2405"21,"9.0"22,"2393"23,".920"24,""
"9"0,"Ottawa Senators"1,"OTT","82"2,"48"3,"25"4,"9"5,"105"6,".640"7,"288"8,"222"9,"0.64"10,"-0.16"11,"6.22"12,"72"13,"403"14,"17.87"15,"61"16,"394"17,"84.52"18,"17"19,"12"20,"2651"21,"10.8"22,"2475"23,".914"24,""
"10"0,"Pittsburgh Penguins"1,"PIT","82"2,"47"3,"24"4,"11"5,"105"6,".640"7,"277"8,"246"9,"0.21"10,"-0.17"11,"6.38"12,"94"13,"463"14,"20.30"15,"75"16,"419"17,"82.10"18,"14"19,"13"20,"2366"21,"11.3"22,"2526"23,".907"24,""
"11"0,"Minnesota Wild"1,"MIN","82"2,"48"3,"26"4,"8"5,"104"6,".634"7,"235"8,"191"9,"0.65"10,"0.11"11,"5.20"12,"72"13,"380"14,"18.95"15,"48"16,"342"17,"85.96"18,"9"19,"8"20,"2431"21,"9.3"22,"2360"23,".922"24,""
"12"0,"Atlanta Thrashers"1,"ATL","82"2,"43"3,"28"4,"11"5,"97"6,".591"7,"246"8,"245"9,"-0.15"10,"-0.16"11,"5.99"12,"67"13,"407"14,"16.46"15,"79"16,"391"17,"79.80"18,"9"19,"10"20,"2438"21,"9.8"22,"2575"23,".909"24,""
"13"0,"Calgary Flames"1,"CGY","82"2,"43"3,"29"4,"10"5,"96"6,".585"7,"258"8,"226"9,"0.51"10,"0.12"11,"5.90"12,"73"13,"401"14,"18.20"15,"81"16,"414"17,"80.43"18,"15"19,"5"20,"2242"21,"11.4"22,"2494"23,".915"24,""
"14"0,"Colorado Avalanche"1,"COL","82"2,"44"3,"31"4,"7"5,"95"6,".579"7,"272"8,"251"9,"0.39"10,"0.13"11,"6.38"12,"79"13,"374"14,"21.12"15,"70"16,"353"17,"80.17"18,"7"19,"9"20,"2603"21,"10.3"22,"2369"23,".900"24,""
"15"0,"New York Rangers"1,"NYR","82"2,"42"3,"30"4,"10"5,"94"6,".573"7,"242"8,"216"9,"0.16"10,"-0.16"11,"5.59"12,"75"13,"406"14,"18.47"15,"65"16,"400"17,"83.75"18,"11"19,"6"20,"2586"21,"9.0"22,"2327"23,".910"24,""
"16"0,"Tampa Bay Lightning"1,"TBL","82"2,"44"3,"33"4,"5"5,"93"6,".567"7,"253"8,"261"9,"-0.25"10,"-0.15"11,"6.27"12,"69"13,"374"14,"18.45"15,"66"16,"305"17,"78.36"18,"14"19,"11"20,"2418"21,"10.0"22,"2225"23,".888"24,""
"17"0,"New York Islanders"1,"NYI","82"2,"40"3,"30"4,"12"5,"92"6,".561"7,"248"8,"240"9,"-0.04"10,"-0.14"11,"5.95"12,"63"13,"348"14,"18.10"15,"79"16,"433"17,"81.76"18,"7"19,"9"20,"2459"21,"9.8"22,"2667"23,".914"24,""
"18"0,"Toronto Maple Leafs"1,"TOR","82"2,"40"3,"31"4,"11"5,"91"6,".555"7,"258"8,"269"9,"-0.21"10,"-0.08"11,"6.43"12,"71"13,"401"14,"17.71"15,"90"16,"418"17,"78.47"18,"3"19,"11"20,"2681"21,"9.5"22,"2321"23,".891"24,""
"19"0,"Montreal Canadiens"1,"MTL","82"2,"42"3,"34"4,"6"5,"90"6,".549"7,"245"8,"256"9,"-0.21"10,"-0.08"11,"6.11"12,"86"13,"378"14,"22.75"15,"69"16,"419"17,"83.53"18,"17"19,"6"20,"2426"21,"9.9"22,"2678"23,".909"24,""
