rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","David Aebischer","28","MTL","32","","13","12","3","93","929","836",".900","3.17","0","1760","","","","106","-4.97","0","0","0","2"
"2","Craig Anderson","25","FLA","5","","1","1","1","8","116","108",".931","2.21","0","217","","","","","","0","0","0","0"
"3","Jean-Sebastien Aubin","29","TOR","20","","3","5","2","46","371","325",".876","3.43","0","804","","","","131","-10.84","0","0","0","0"
"4","Alex Auld","26","FLA","27","","7","13","5","82","729","647",".888","3.34","1","1471","","","","119","-12.92","0","1","1","2"
"5","Jason Bacashihua","24","STL","19","","3","7","3","47","450","403",".896","3.15","0","894","","","","110","-4.36","0","0","0","2"
"6","Niklas Backstrom","28","MIN","41","","23","8","6","73","1028","955",".929","1.97","5","2227","","","","75","24.41","0","1","1","2"
"7","Ed Belfour","41","FLA","58","","27","17","10","152","1550","1398",".902","2.77","1","3289","","","","103","-5.12","0","2","2","10"
"8","Martin Biron","29","TOT","35","","18","12","3","101","1042","941",".903","3.03","0","2001","","","","102","-2.26","0","0","0","25"
"9","Brian Boucher","30","TOT","18","","2","11","3","54","456","402",".882","3.34","1","969","","","","125","-10.79","0","0","0","0"
"10","Martin Brodeur","34","NJD","78","","48","23","7","171","2182","2011",".922","2.18","12","4697","","","","83","35.76","0","1","1","12"
"11","Barry Brust","23","LAK","11","","2","4","1","30","245","215",".878","3.70","0","486","","","","","","0","0","0","0"
"12","Ilya Bryzgalov","26","ANA","27","","10","8","6","62","668","606",".907","2.47","1","1509","","","","98","1.30","0","0","0","0"
"13","Peter Budaj","24","COL","57","","31","16","6","143","1499","1356",".905","2.68","3","3199","","","","101","-0.96","0","2","2","0"
"14","Sean Burke","40","LAK","23","","6","10","5","68","687","619",".901","3.11","1","1310","","","","104","-2.90","0","1","1","4"
"15","Sebastien Caron","26","TOT","2","","1","0","0","2","31","29",".935","1.36","0","88","","","","","","0","0","0","0"
"16","Frederic Cassivi","31","WSH","4","","0","1","1","6","58","52",".897","2.59","0","139","","","","","","0","0","0","0"
"17","Scott Clemmensen","29","NJD","6","","1","1","2","16","144","128",".889","3.15","0","305","","","","","","0","0","0","0"
"18","Dan Cloutier","30","LAK","24","","6","14","2","85","608","523",".860","3.98","0","1281","","","","148","-27.39","0","1","1","21"
"19","Ty Conklin","30","TOT","16","","3","5","2","40","330","290",".879","3.34","0","718","","","","128","-8.73","0","0","0","2"
"20","Marc Denis","29","TBL","44","","17","18","2","125","1068","943",".883","3.19","1","2353","","","","124","-23.80","0","0","0","2"
"21","Rick DiPietro","25","NYI","62","","32","19","9","156","1917","1761",".919","2.58","5","3627","","","","86","25.65","0","2","2","24"
"22","Wade Dubielewicz","28","NYI","8","","4","1","0","13","198","185",".934","2.06","0","379","","","","","","0","0","0","0"
"23","Mike Dunham","34","NYI","19","","4","10","3","61","552","491",".889","3.74","0","979","","","","117","-8.69","0","1","1","0"
