rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1"0,"Boston Bruins"1,"BOS","44"2,"38"3,"5"4,"1"5,"77"6,".875"7,"179"8,"98"9,"1.60"10,"-0.24"11,"6.30"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"2"0,"Montreal Canadiens"1,"MTL","44"2,"21"3,"14"4,"9"5,"51"6,".580"7,"142"8,"114"9,"0.58"10,"-0.06"11,"5.82"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"3"0,"Montreal Maroons"1,"MTM","44"2,"23"3,"16"4,"5"5,"51"6,".580"7,"141"8,"114"9,"0.56"10,"-0.06"11,"5.80"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"4"0,"Ottawa Senators"1,"OTS","44"2,"21"3,"15"4,"8"5,"50"6,".568"7,"138"8,"118"9,"0.42"10,"-0.04"11,"5.82"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"5"0,"Chicago Black Hawks"1,"CBH","44"2,"21"3,"18"4,"5"5,"47"6,".534"7,"117"8,"111"9,"0.10"10,"-0.04"11,"5.18"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"6"0,"New York Rangers"1,"NYR","44"2,"17"3,"17"4,"10"5,"44"6,".500"7,"136"8,"143"9,"-0.16"10,"0.00"11,"6.34"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"7"0,"Toronto Maple Leafs"1,"TOR","44"2,"17"3,"21"4,"6"5,"40"6,".455"7,"116"8,"124"9,"-0.14"10,"0.04"11,"5.45"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"8"0,"Detroit Cougars"1,"DTC","44"2,"14"3,"24"4,"6"5,"34"6,".386"7,"117"8,"133"9,"-0.34"10,"0.03"11,"5.68"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"9"0,"New York Americans"1,"NYA","44"2,"14"3,"25"4,"5"5,"33"6,".375"7,"113"8,"161"9,"-0.94"10,"0.15"11,"6.23"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"10"0,"Pittsburgh Pirates"1,"PTP","44"2,"5"3,"36"4,"3"5,"13"6,".148"7,"102"8,"185"9,"-1.68"10,"0.21"11,"6.52"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
