rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Clint Benedict","37","MTM","14","","6","6","1","38","","","","3.03","0","752","","","","","","0","0","0","0"
"2","Bill Beveridge","20","DTC","39","","14","20","5","109","","","","2.71","2","2410","","","","","","0","0","0","0"
"3","Lorne Chabot","29","TOR","42","","16","20","6","113","","","","2.59","6","2620","","","","","","0","0","0","0"
"4","Alec Connell","27","OTS","44","","21","15","8","118","","","","2.55","3","2780","","","","","","0","0","0","0"
"5","Abbie Cox","25","MTM","1","","1","0","0","2","","","","2.00","0","60","","","","","","0","0","0","0"
"6","Dolly Dolson","32","DTC","5","","0","4","1","24","","","","4.50","0","320","","","","","","0","0","0","0"
"7","Jake Forbes","32","NYA","1","","0","0","1","1","","","","0.86","0","70","","","","","","0","0","0","0"
"8","Charlie Gardiner","25","CBH","44","","21","18","5","111","","","","2.42","3","2750","","","","","","0","0","0","0"
"9","Benny Grant","21","TOT","9","","4","5","0","36","","","","3.93","0","550","","","","","","0","0","0","0"
"10","George Hainsworth","34","MTL","42","","20","13","9","108","","","","2.42","4","2680","","","","","","0","0","0","0"
"11","Joe Miller","29","PTP","43","","5","35","3","179","","","","4.08","0","2630","","","","","","0","0","0","0"
"12","Mickey Murray","31","MTL","1","","0","1","0","4","","","","4.00","0","60","","","","","","0","0","0","0"
"13","John Ross Roach","29","NYR","44","","17","17","10","143","","","","3.10","1","2770","","","","","","0","0","0","0"
"14","Red Spooner","19","PTP","1","","0","1","0","6","","","","6.00","0","60","","","","","","0","0","0","0"
"15","Tiny Thompson","26","BOS","44","","38","5","1","98","","","","2.19","3","2680","","","","","","0","0","0","0"
"16","Flat Walsh","32","MTM","30","","16","10","4","74","","","","2.34","2","1897","","","","","","0","0","0","0"
"17","Roy Worters","29","TOT","37","","12","21","4","137","","","","3.53","2","2330","","","","","","0","0","0","0"
