rank,player,age,teamName,position,gamesPlayed,goals,assists,points,plusMinus,penaltyMinutes,evenStrengthGoals,powerPlayGoals,shortHandedGoals,gameWinningPoints,evenStrengthAssists,powerPlayAssits,shortHandedAssists,shots,shootingPercentage,timeOnIce,averageTimeOnIce
"1","Clarence Abel","29","CBH","D","38","3","3","6","","42","","","","","","","","","","",""
"2","Stew Adams","25","CBH","LW","24","4","6","10","","16","","","","","","","","","","",""
"3","Ty Arbour","33","CBH","LW","42","10","8","18","","26","","","","","","","","","","",""
"4","Larry Aurie","24","DTC","RW","43","14","5","19","","28","","","","","","","","","","",""
"5","Ace Bailey","26","TOR","RW","43","22","21","43","","69","","","","","","","","","","",""
"6","Marty Barry","24","BOS","C","44","18","15","33","","34","","","","","","","","","","",""
"7","Cliff Barton","22","PTP","RW","39","4","2","6","","4","","","","","","","","","","",""
"8","Pete Bellefeuille","28","DTC","RW","24","5","2","7","","10","","","","","","","","","","",""
"9","Andy Blair","21","TOR","C","42","11","10","21","","27","","","","","","","","","","",""
"10","Helge Bostrom","36","CBH","D","20","0","1","1","","8","","","","","","","","","","",""
"11","Frank Boucher","28","NYR","C","42","26","36","62","","16","","","","","","","","","","",""
"12","George Boucher","33","MTM","D","37","2","6","8","","50","","","","","","","","","","",""
"13","Leo Bourgeault","27","NYR","D","44","7","6","13","","54","","","","","","","","","","",""
"14","Bill Boyd","31","NYA","RW","43","7","6","13","","16","","","","","","","","","","",""
"15","Archie Briden","31","PTP","LW","29","4","3","7","","20","","","","","","","","","","",""
"16","Bernie Brophy","24","DTC","LW","15","2","0","2","","2","","","","","","","","","","",""
"17","Bill Brydge","28","NYA","D","41","2","6","8","","64","","","","","","","","","","",""
"18","Gord Brydson","23","TOR","F","8","2","0","2","","8","","","","","","","","","","",""
"19","Billy Burch","29","NYA","C","35","7","3","10","","22","","","","","","","","","","",""
"20","Marty Burke","25","MTL","D","44","2","11","13","","71","","","","","","","","","","",""
"21","Roy Burmister","23","NYA","LW","40","1","1","2","","0","","","","","","","","","","",""
"22","Bobby Burns","24","CBH","LW","12","1","0","1","","2","","","","","","","","","","",""
"23","Bill Carson","29","BOS","C","44","7","4","11","","24","","","","","","","","","","",""
"24","Gerry Carson","24","MTL","D","35","1","0","1","","8","","","","","","","","","","",""
"25","King Clancy","26","OTS","D","44","17","23","40","","83","","","","","","","","","","",""
"26","Dit Clapper","22","BOS","RW/D","44","41","20","61","","48","","","","","","","","","","",""
"27","Charlie Conacher","20","TOR","RW","38","20","9","29","","48","","","","","","","","","","",""
"28","Lionel Conacher","28","NYA","D","40","4","6","10","","73","","","","","","","","","","",""
"29","Harry Connor","25","TOT","LW","38","1","2","3","","26","","","","","","","","","","",""
"30","Bob Connors","25","DTC","LW","31","3","7","10","","42","","","","","","","","","","",""
"31","Bill Cook","33","NYR","RW","44","29","30","59","","56","","","","","","","","","","",""
"32","Bun Cook","26","NYR","LW","43","24","18","42","","55","","","","","","","","","","",""
"33","Tom Cook","22","CBH","C","41","14","16","30","","16","","","","","","","","","","",""
"34","Carson Cooper","30","DTC","RW","44","18","18","36","","14","","","","","","","","","","",""
"35","Baldy Cotton","27","TOR","LW","41","21","17","38","","47","","","","","","","","","","",""
"36","Rosie Couture","24","CBH","RW","43","8","8","16","","63","","","","","","","","","","",""
"37","Danny Cox","26","TOT","LW","42","4","6","10","","38","","","","","","","","","","",""
"38","Harold Darragh","27","PTP","RW","42","15","17","32","","6","","","","","","","","","","",""
"39","Hap Day","28","TOR","LW/D","43","7","14","21","","77","","","","","","","","","","",""
"40","Chuck Dinsmore","26","MTM","F","9","0","0","0","","0","","","","","","","","","","",""
"41","Herb Drury","34","PTP","LW","27","2","0","2","","12","","","","","","","","","","",""
"42","Duke Dukowski","27","CBH","F/D","44","7","10","17","","42","","","","","","","","","","",""
"43","Art Duncan","38","TOR","D","38","4","5","9","","49","","","","","","","","","","",""
"44","Red Dutton","31","MTM","D","43","3","13","16","","98","","","","","","","","","","",""
"45","Frank Finnigan","26","OTS","RW","43","21","15","36","","46","","","","","","","","","","",""
"46","Yip Foster","22","NYR","D","31","0","0","0","","10","","","","","","","","","","",""
"47","Gord Fraser","28","TOT","D","40","6","4","10","","41","","","","","","","","","","",""
"48","Frank Fredrickson","34","PTP","C","9","4","7","11","","20","","","","","","","","","","",""
"49","Art Gagne","32","TOT","RW","39","6","5","11","","38","","","","","","","","","","",""
"50","Dutch Gainor","25","BOS","LW","42","18","31","49","","39","","","","","","","","","","",""
"51","Percy Galbraith","31","BOS","LW","44","7","9","16","","38","","","","","","","","","","",""
"52","Leroy Goldsworthy","23","NYR","RW","44","4","1","5","","16","","","","","","","","","","",""
"53","Ebbie Goodfellow","22","DTC","C/D","44","17","17","34","","54","","","","","","","","","","",""
"54","Johnny Gottselig","24","CBH","LW","39","21","4","25","","28","","","","","","","","","","",""
"55","Ted Graham","24","CBH","D","26","1","2","3","","23","","","","","","","","","","",""
"56","Len Grosvenor","24","OTS","C","15","0","3","3","","19","","","","","","","","","","",""
"57","George Hay","32","DTC","LW","44","18","15","33","","8","","","","","","","","","","",""
"58","Jimmy Herbert","32","DTC","C","23","1","3","4","","4","","","","","","","","","","",""
"59","Obs Heximer","19","NYR","RW","19","1","0","1","","4","","","","","","","","","","",""
"60","Henry Hicks","29","DTC","D","30","3","2","5","","35","","","","","","","","","","",""
"61","Normie Himes","26","NYA","C","44","28","22","50","","15","","","","","","","","","","",""
"62","Lionel Hitchman","28","BOS","D","39","2","7","9","","58","","","","","","","","","","",""
"63","Bill Holmes","30","NYA","F","42","5","4","9","","33","","","","","","","","","","",""
"64","Red Horner","20","TOR","D","33","2","7","9","","96","","","","","","","","","","",""
"65","Syd Howe","18","OTS","LW/C","12","1","1","2","","0","","","","","","","","","","",""
"66","James Hughes","23","DTC","D","40","0","1","1","","48","","","","","","","","","","",""
"67","Bill Hutton","20","TOT","RW","34","2","1","3","","2","","","","","","","","","","",""
"68","Frank Ingram","22","CBH","RW","37","6","10","16","","28","","","","","","","","","","",""
"69","Busher Jackson","19","TOR","LW","31","12","6","18","","29","","","","","","","","","","",""
"70","James Jarvis","22","PTP","LW","44","11","8","19","","32","","","","","","","","","","",""
"71","Ching Johnson","31","NYR","D","30","3","3","6","","82","","","","","","","","","","",""
"72","Aurele Joliat","28","MTL","LW","42","19","12","31","","40","","","","","","","","","","",""
"73","Butch Keeling","24","NYR","C/LW","43","19","7","26","","34","","","","","","","","","","",""
"74","Hec Kilrea","22","OTS","LW","44","36","22","58","","72","","","","","","","","","","",""
"75","Wally Kilrea","20","OTS","C","38","4","2","6","","4","","","","","","","","","","",""
"76","Joe Lamb","23","OTS","C/RW","44","29","20","49","","119","","","","","","","","","","",""
"77","Myles Lane","24","BOS","D","3","0","0","0","","0","","","","","","","","","","",""
"78","Wildor Larochelle","23","MTL","RW","44","14","11","25","","28","","","","","","","","","","",""
"79","Albert Leduc","27","MTL","D","44","6","8","14","","90","","","","","","","","","","",""
"80","Pit Lepine","28","MTL","C","44","24","9","33","","47","","","","","","","","","","",""
"81","Herbie Lewis","23","DTC","LW","44","20","11","31","","36","","","","","","","","","","",""
"82","Gerry Lowrey","23","PTP","C","44","16","14","30","","30","","","","","","","","","","",""
"83","Mickey MacKay","35","BOS","C","37","4","5","9","","13","","","","","","","","","","",""
"84","Rennison Manners","25","PTP","F","33","3","2","5","","14","","","","","","","","","","",""
"85","Georges Mantha","21","MTL","LW","44","5","2","7","","16","","","","","","","","","","",""
"86","Sylvio Mantha","27","MTL","D","44","13","11","24","","108","","","","","","","","","","",""
"87","Mush March","21","CBH","RW","43","8","7","15","","48","","","","","","","","","","",""
"88","George Massecar","25","NYA","LW","43","7","3","10","","18","","","","","","","","","","",""
"89","Joe Matte","20","DTC","D","12","0","1","1","","0","","","","","","","","","","",""
"90","Cliff McBride","21","TOR","D","1","0","0","0","","0","","","","","","","","","","",""
"91","Stan McCabe","21","DTC","W","25","7","3","10","","23","","","","","","","","","","",""
"92","Bert McCaffrey","36","TOT","D","43","4","7","11","","38","","","","","","","","","","",""
"93","John McKinnon","27","PTP","D","41","10","7","17","","42","","","","","","","","","","",""
"94","Charley McVeigh","31","NYA","RW","40","14","14","28","","32","","","","","","","","","","",""
"95","Hib Milks","30","PTP","LW","41","13","11","24","","36","","","","","","","","","","",""
"96","Earl Miller","24","CBH","LW","28","11","5","16","","50","","","","","","","","","","",""
"97","Armand Mondou","24","MTL","LW/C","44","3","5","8","","24","","","","","","","","","","",""
"98","Howie Morenz","27","MTL","C","44","40","10","50","","72","","","","","","","","","","",""
"99","Dunc Munro","29","MTM","D","40","7","2","9","","10","","","","","","","","","","",""
"100","Murray Murdoch","25","NYR","C/LW","44","13","13","26","","22","","","","","","","","","","",""
"101","Frank Nighbor","37","TOT","C","41","2","0","2","","2","","","","","","","","","","",""
"102","Reg Noble","33","DTC","LW/D","43","6","4","10","","72","","","","","","","","","","",""
"103","Baldy Northcott","21","MTM","LW","43","10","1","11","","6","","","","","","","","","","",""
"104","Harry Oliver","31","BOS","RW","40","16","5","21","","12","","","","","","","","","","",""
"105","George Owen","28","BOS","D","42","9","4","13","","31","","","","","","","","","","",""
"106","George Patterson","23","NYA","RW","39","13","4","17","","24","","","","","","","","","","",""
"107","Eric Pettinger","25","TOR","LW","43","4","9","13","","40","","","","","","","","","","",""
"108","Bill Phillips","27","MTM","RW","27","1","1","2","","6","","","","","","","","","","",""
"109","Merlyn Phillips","30","MTM","RW","44","13","10","23","","48","","","","","","","","","","",""
"110","Joe Primeau","24","TOR","C","43","5","21","26","","22","","","","","","","","","","",""
"111","Leo Quenneville","29","NYR","F","25","0","3","3","","10","","","","","","","","","","",""
"112","Bill Regan","21","NYR","D","10","0","0","0","","4","","","","","","","","","","",""
"113","Leo Reise","37","TOT","D","38","0","1","1","","8","","","","","","","","","","",""
"114","Vic Ripley","23","CBH","C","40","8","8","16","","33","","","","","","","","","","",""
"115","Gus Rivers","20","MTL","RW","19","1","0","1","","2","","","","","","","","","","",""
"116","Earl Robinson","22","MTM","RW","31","1","2","3","","10","","","","","","","","","","",""
"117","Harvey Rockburn","21","DTC","D","36","4","0","4","","97","","","","","","","","","","",""
"118","Johnny Sheppard","26","NYA","C","43","14","15","29","","32","","","","","","","","","","",""
"119","Al Shields","22","OTS","D","44","6","3","9","","32","","","","","","","","","","",""
"120","Eddie Shore","27","BOS","D","42","12","19","31","","105","","","","","","","","","","",""
"121","Babe Siebert","26","MTM","LW/D","39","14","19","33","","94","","","","","","","","","","",""
"122","Joe Simpson","36","NYA","D","44","8","13","21","","41","","","","","","","","","","",""
"123","Alex Smith","27","OTS","D","43","2","6","8","","91","","","","","","","","","","",""
"124","Art Smith","23","TOR","D","43","3","3","6","","75","","","","","","","","","","",""
"125","Hooley Smith","27","MTM","C","42","21","9","30","","83","","","","","","","","","","",""
"126","Rodger Smith","33","PTP","D","42","2","1","3","","65","","","","","","","","","","",""
"127","Art Somers","28","CBH","C","44","11","13","24","","74","","","","","","","","","","",""
"128","Jesse Spring","29","PTP","RW/D","22","1","0","1","","18","","","","","","","","","","",""
"129","Harold Starr","23","OTS","D","28","2","1","3","","12","","","","","","","","","","",""
"130","Nels Stewart","27","MTM","C","44","39","16","55","","81","","","","","","","","","","",""
"131","Bob Taylor","25","BOS","F","8","0","0","0","","6","","","","","","","","","","",""
"132","Ralph Taylor","24","TOT","RW","39","3","0","3","","74","","","","","","","","","","",""
"133","Paul Thompson","23","NYR","LW","44","7","12","19","","36","","","","","","","","","","",""
"134","Bill Touhey","23","OTS","LW/C","44","10","3","13","","24","","","","","","","","","","",""
"135","Dave Trottier","23","MTM","LW","41","17","10","27","","73","","","","","","","","","","",""
"136","Sparky Vail","23","NYR","D","32","1","1","2","","2","","","","","","","","","","",""
"137","Jimmy Ward","23","MTM","RW","44","10","7","17","","54","","","","","","","","","","",""
"138","Nick Wasnie","26","MTL","RW","44","12","11","23","","64","","","","","","","","","","",""
"139","Cooney Weiland","25","BOS","C","44","43","30","73","","27","","","","","","","","","","",""
"140","Cy Wentworth","25","CBH","D","37","3","4","7","","28","","","","","","","","","","",""
"141","Tex White","29","PTP","RW","29","8","1","9","","16","","","","","","","","","","",""
"142","Archie Wilcox","26","MTM","D","42","3","5","8","","38","","","","","","","","","","",""
