rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1"0,"Boston Bruins"1,"BOS","76"2,"40"3,"17"4,"19"5,"99"6,".651"7,"277"8,"216"9,"0.81"10,"0.01"11,"6.49"12,"81"13,"279"14,"29.03"15,"80"16,"360"17,"77.78"18,"13"19,"4"20,"2873"21,"9.6"22,""23,""24,""
"2"0,"Chicago Black Hawks"1,"CBH","76"2,"45"3,"22"4,"9"5,"99"6,".651"7,"250"8,"170"9,"1.04"10,"-0.01"11,"5.53"12,"55"13,"270"14,"20.37"15,"32"16,"247"17,"87.04"18,"7"19,"7"20,"2450"21,"10.2"22,""23,""24,""
"3"0,"Detroit Red Wings"1,"DET","76"2,"40"3,"21"4,"15"5,"95"6,".625"7,"246"8,"199"9,"0.65"10,"0.03"11,"5.86"12,"57"13,"267"14,"21.35"15,"57"16,"300"17,"81.00"18,"8"19,"3"20,"2566"21,"9.6"22,""23,""24,""
"4"0,"Montreal Canadiens"1,"MTL","76"2,"38"3,"22"4,"16"5,"92"6,".605"7,"244"8,"201"9,"0.60"10,"0.03"11,"5.86"12,"57"13,"281"14,"20.28"15,"48"16,"263"17,"81.75"18,"8"19,"1"20,"2590"21,"9.4"22,""23,""24,""
"5"0,"New York Rangers"1,"NYR","76"2,"38"3,"22"4,"16"5,"92"6,".605"7,"246"8,"189"9,"0.77"10,"0.02"11,"5.72"12,"52"13,"295"14,"17.63"15,"40"16,"269"17,"85.13"18,"7"19,"7"20,"2734"21,"9.0"22,""23,""24,""
"6"0,"St. Louis Blues"1,"STL","76"2,"37"3,"27"4,"12"5,"86"6,".566"7,"224"8,"179"9,"0.45"10,"-0.15"11,"5.30"12,"72"13,"287"14,"25.09"15,"41"16,"265"17,"84.53"18,"5"19,"9"20,"2479"21,"9.0"22,""23,""24,""
"7"0,"Toronto Maple Leafs"1,"TOR","76"2,"29"3,"34"4,"13"5,"71"6,".467"7,"222"8,"242"9,"-0.15"10,"0.11"11,"6.11"12,"49"13,"242"14,"20.25"15,"60"16,"269"17,"77.70"18,"5"19,"7"20,"2609"21,"8.5"22,""23,""24,""
"8"0,"Pittsburgh Penguins"1,"PIT","76"2,"26"3,"38"4,"12"5,"64"6,".421"7,"182"8,"238"9,"-0.76"10,"-0.02"11,"5.53"12,"53"13,"315"14,"16.83"15,"66"16,"282"17,"76.60"18,"2"19,"5"20,"2389"21,"7.6"22,""23,""24,""
"9"0,"Minnesota North Stars"1,"MNS","76"2,"19"3,"35"4,"22"5,"60"6,".395"7,"224"8,"257"9,"-0.48"10,"-0.05"11,"6.33"12,"57"13,"274"14,"20.80"15,"65"16,"284"17,"77.11"18,"10"19,"7"20,"2338"21,"9.6"22,""23,""24,""
"10"0,"Oakland Seals"1,"OAK","76"2,"22"3,"40"4,"14"5,"58"6,".382"7,"169"8,"243"9,"-0.97"10,"0.00"11,"5.42"12,"45"13,"324"14,"13.89"15,"49"16,"258"17,"81.01"18,"4"19,"12"20,"2125"21,"8.0"22,""23,""24,""
"11"0,"Philadelphia Flyers"1,"PHI","76"2,"17"3,"35"4,"24"5,"58"6,".382"7,"197"8,"225"9,"-0.42"10,"-0.05"11,"5.55"12,"46"13,"296"14,"15.54"15,"58"16,"311"17,"81.35"18,"7"19,"9"20,"2420"21,"8.1"22,""23,""24,""
"12"0,"Los Angeles Kings"1,"LAK","76"2,"14"3,"52"4,"10"5,"38"6,".250"7,"168"8,"290"9,"-1.54"10,"0.06"11,"6.03"12,"39"13,"275"14,"14.18"15,"67"16,"297"17,"77.44"18,"6"19,"11"20,"2305"21,"7.3"22,""23,""24,""
