rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Les Binkley","35","PIT","27","","10","13","1","79","","","","3.21","3","1477","","","","","","0","1","1","0"
"2","Johnny Bower","45","TOR","1","","0","1","0","5","","","","5.00","0","60","","","","","","0","0","0","0"
"3","Ken Broderick","27","MNS","7","","2","4","0","26","","","","4.33","0","360","","","","","","0","0","0","0"
"4","Gerry Cheevers","29","BOS","41","","24","8","8","108","","","","2.72","4","2384","","","","","","0","0","0","4"
"5","Roger Crozier","27","DET","34","","16","6","9","83","","","","2.65","0","1877","","","","","","0","0","0","0"
"6","Joe Daley","26","PIT","9","","1","5","3","26","","","","2.95","0","528","","","","","","0","0","0","0"
"7","Denis DeJordy","31","TOT","31","","8","16","5","87","","","","3.06","0","1704","","","","","","0","0","0","0"
"8","Gerry Desjardins","25","TOT","47","","11","29","5","167","","","","3.72","3","2693","","","","","","0","1","1","14"
"9","Gary Edwards","22","STL","1","","0","1","0","4","","","","4.00","0","60","","","","","","0","0","0","0"
"10","Marv Edwards","34","TOR","25","","10","9","4","77","","","","3.25","1","1420","","","","","","0","1","1","24"
"11","Roy Edwards","32","DET","47","","24","15","6","116","","","","2.59","2","2683","","","","","","0","1","1","0"
"12","Tony Esposito","26","CBH","63","","38","17","8","136","","","","2.17","15","3763","","","","","","0","2","2","2"
"13","Doug Favell","24","PHI","15","","4","5","4","43","","","","3.15","1","820","","","","","","0","0","0","2"
"14","Bruce Gamble","31","TOR","52","","19","24","9","156","","","","3.06","5","3057","","","","","","0","1","1","0"
"15","Ed Giacomin","30","NYR","70","","35","21","14","163","","","","2.36","6","4148","","","","","","0","2","2","2"
"16","Gilles Gilbert","20","MNS","1","","0","1","0","6","","","","6.00","0","60","","","","","","0","0","0","0"
"17","Glenn Hall","38","STL","18","","7","8","3","49","","","","2.91","1","1010","","","","","","0","0","0","0"
"18","Charlie Hodge","36","OAK","14","","3","5","2","43","","","","3.50","0","738","","","","","","0","0","0","0"
"19","Eddie Johnston","34","BOS","37","","16","9","11","108","","","","2.98","3","2176","","","","","","0","2","2","2"
"20","Cesare Maniago","31","MNS","50","","9","24","16","163","","","","3.39","2","2887","","","","","","0","0","0","0"
"21","Gerry McNamara","35","TOR","2","","0","0","0","2","","","","5.22","0","23","","","","","","0","0","0","0"
"22","Phil Myre","21","MTL","10","","4","3","2","19","","","","2.27","0","503","","","","","","0","0","0","2"
"23","Bernie Parent","24","PHI","62","","13","29","20","171","","","","2.79","3","3680","","","","","","0","3","3","14"
"24","Jacques Plante","41","STL","32","","18","9","5","67","","","","2.19","5","1839","","","","","","0","2","2","0"
"25","Fern Rivard","24","MNS","14","","3","5","5","42","","","","3.15","1","800","","","","","","0","0","0","6"
"26","Wayne Rutledge","28","LAK","20","","2","12","1","68","","","","4.25","0","960","","","","","","0","0","0","5"
"27","Terry Sawchuk","40","NYR","8","","3","1","2","20","","","","2.91","1","412","","","","","","0","1","1","0"
"28","Al Smith","24","PIT","46","","15","20","8","129","","","","3.03","2","2555","","","","","","0","0","0","20"
"29","Gary Smith","25","OAK","65","","19","34","12","195","","","","3.11","2","3762","","","","","","0","1","1","18"
"30","Rogie Vachon","24","MTL","64","","31","18","12","162","","","","2.63","4","3697","","","","","","0","0","0","0"
"31","Ernie Wakely","29","STL","30","","12","9","4","58","","","","2.11","4","1651","","","","","","0","0","0","0"
"32","Dunc Wilson","21","PHI","1","","0","1","0","3","","","","3.00","0","60","","","","","","0","0","0","0"
"33","Gump Worsley","40","TOT","14","","8","2","3","34","","","","2.51","1","813","","","","","","0","0","0","0"
"34","Chris Worthy","22","OAK","1","","0","1","0","5","","","","5.00","0","60","","","","","","0","0","0","2"
