date,vistor,vistorAbrv,vistorGoals,home,homeAbrv,homeGoals,notes
"2010-10-07","Chicago Blackhawks","CHI","3","Colorado Avalanche","COL","4",
"2010-10-07","Calgary Flames","CGY","0","Edmonton Oilers","EDM","4",
"2010-10-07","Carolina Hurricanes","CAR","4","Minnesota Wild","MIN","3","at Helsinki, FI"
"2010-10-07","Philadelphia Flyers","PHI","3","Pittsburgh Penguins","PIT","2",
"2010-10-07","Montreal Canadiens","MTL","2","Toronto Maple Leafs","TOR","3",
"2010-10-08","Washington Capitals","WSH","2","Atlanta Thrashers","ATL","4",
"2010-10-08","Minnesota Wild","MIN","1","Carolina Hurricanes","CAR","2","at Helsinki, FI"
"2010-10-08","San Jose Sharks","SJS","3","Columbus Blue Jackets","CBJ","2","at Stockholm, SE"
"2010-10-08","Anaheim Ducks","ANA","0","Detroit Red Wings","DET","4",
"2010-10-08","Dallas Stars","DAL","4","New Jersey Devils","NJD","3",
"2010-10-08","Buffalo Sabres","BUF","2","Ottawa Senators","OTT","1",
"2010-10-09","Phoenix Coyotes","PHX","5","Boston Bruins","BOS","2","at Prague, CZ"
"2010-10-09","New York Rangers","NYR","6","Buffalo Sabres","BUF","3",
"2010-10-09","Detroit Red Wings","DET","3","Chicago Blackhawks","CHI","2",
"2010-10-09","Anaheim Ducks","ANA","1","Nashville Predators","NSH","4",
"2010-10-09","Dallas Stars","DAL","5","New York Islanders","NYI","4",
"2010-10-09","Montreal Canadiens","MTL","3","Pittsburgh Penguins","PIT","2",
"2010-10-09","Columbus Blue Jackets","CBJ","3","San Jose Sharks","SJS","2","at Stockholm, SE"
"2010-10-09","Philadelphia Flyers","PHI","1","St. Louis Blues","STL","2",
"2010-10-09","Atlanta Thrashers","ATL","3","Tampa Bay Lightning","TBL","5",
"2010-10-09","Ottawa Senators","OTT","1","Toronto Maple Leafs","TOR","5",
"2010-10-09","Los Angeles Kings","LAK","2","Vancouver Canucks","VAN","1",
"2010-10-09","New Jersey Devils","NJD","2","Washington Capitals","WSH","7",
"2010-10-10","Los Angeles Kings","LAK","1","Calgary Flames","CGY","3",
"2010-10-10","Florida Panthers","FLA","2","Edmonton Oilers","EDM","3",
"2010-10-10","Boston Bruins","BOS","3","Phoenix Coyotes","PHX","0","at Prague, CZ"
