rank,player,age,teamName,position,gamesPlayed,goals,assists,points,plusMinus,penaltyMinutes,evenStrengthGoals,powerPlayGoals,shortHandedGoals,gameWinningPoints,evenStrengthAssists,powerPlayAssits,shortHandedAssists,shots,shootingPercentage,timeOnIce,averageTimeOnIce
"1","Sid Abel","22","DET","C","47","11","22","33","","29","","","","","","","","","","",""
"2","John Adams","20","MTL","LW","42","6","12","18","","11","","","","","","","","","","",""
"3","George Allen","26","CBH","LW","44","14","17","31","","22","","","","","","","","","","",""
"4","Viv Allen","24","NYA","RW","6","0","1","1","","0","","","","","","","","","","",""
"5","Bill Allum","24","NYR","D","1","0","1","1","","0","","","","","","","","","","",""
"6","Tom Anderson","30","NYA","D","35","3","12","15","","8","","","","","","","","","","",""
"7","Syl Apps","26","TOR","C","41","20","24","44","","6","","","","","","","","","","",""
"8","Murray Armstrong","25","NYA","C","48","10","14","24","","6","","","","","","","","","","",""
"9","Bobby Bauer","25","BOS","RW","48","17","22","39","","2","","","","","","","","","","",""
"10","Dick Behling","24","DET","D","3","0","0","0","","0","","","","","","","","","","",""
"11","Joe Benoit","24","MTL","RW","45","16","16","32","","32","","","","","","","","","","",""
"12","Bill Benson","20","NYA","C","22","3","4","7","","4","","","","","","","","","","",""
"13","Doug Bentley","24","CBH","LW","47","8","20","28","","12","","","","","","","","","","",""
"14","Max Bentley","20","CBH","C","36","7","10","17","","6","","","","","","","","","","",""
"15","Toe Blake","28","MTL","LW","48","12","20","32","","49","","","","","","","","","","",""
"16","Buzz Boll","29","NYA","LW","47","12","14","26","","16","","","","","","","","","","",""
"17","Connie Brown","24","DET","C","3","1","2","3","","0","","","","","","","","","","",""
"18","Gordie Bruce","21","BOS","LW","8","0","1","1","","2","","","","","","","","","","",""
"19","Eddie Bruneteau","21","DET","RW","11","1","1","2","","2","","","","","","","","","","",""
"20","Mud Bruneteau","26","DET","RW","45","11","17","28","","12","","","","","","","","","","",""
"21","Herb Cain","28","BOS","LW","41","8","10","18","","6","","","","","","","","","","",""
"22","Lorne Carr","30","NYA","RW","48","13","19","32","","10","","","","","","","","","","",""
"23","Bill Carse","26","CBH","LW","32","5","15","20","","12","","","","","","","","","","",""
"24","Bob Carse","21","CBH","C","43","9","9","18","","9","","","","","","","","","","",""
"25","Joe Carveth","22","DET","RW","19","2","1","3","","2","","","","","","","","","","",""
"26","John Chad","21","CBH","RW","45","7","18","25","","16","","","","","","","","","","",""
"27","Murph Chamberlain","25","MTL","LW","45","10","15","25","","75","","","","","","","","","","",""
"28","Lex Chisholm","25","TOR","RW","26","4","0","4","","8","","","","","","","","","","",""
"29","Jack Church","25","TOR","D","11","0","1","1","","22","","","","","","","","","","",""
"30","Dit Clapper","33","BOS","D","48","8","18","26","","24","","","","","","","","","","",""
"31","Mac Colville","25","NYR","RW","47","14","17","31","","18","","","","","","","","","","",""
"32","Neil Colville","26","NYR","C","48","14","28","42","","28","","","","","","","","","","",""
"33","Charlie Conacher","31","NYA","D","46","7","16","23","","32","","","","","","","","","","",""
"34","Roy Conacher","24","BOS","LW","41","24","14","38","","7","","","","","","","","","","",""
"35","Joe Cooper","26","CBH","D","45","5","5","10","","66","","","","","","","","","","",""
"36","Chuck Corrigan","24","NYA","RW","16","2","2","4","","2","","","","","","","","","","",""
"37","Art Coulter","31","NYR","D","35","5","14","19","","42","","","","","","","","","","",""
"38","Bill Cowley","28","BOS","C","46","17","45","62","","16","","","","","","","","","","",""
"39","Jack Crawford","24","BOS","D","45","2","8","10","","27","","","","","","","","","","",""
"40","Cully Dahlstrom","28","CBH","C","40","11","14","25","","6","","","","","","","","","","",""
"41","Bob Davidson","28","TOR","LW","37","3","6","9","","39","","","","","","","","","","",""
"42","Tony Demers","23","MTL","RW","46","13","10","23","","17","","","","","","","","","","",""
"43","Les Douglas","22","DET","C","18","1","2","3","","2","","","","","","","","","","",""
