date,vistor,vistorAbrv,vistorGoals,home,homeAbrv,homeGoals,notes
"1940-11-02","New York Rangers","NYR","4","Toronto Maple Leafs","TOR","1",
"1940-11-03","New York Americans","NYA","2","Detroit Red Wings","DET","4",
"1940-11-03","Boston Bruins","BOS","1","Montreal Canadiens","MTL","1",
"1940-11-07","New York Americans","NYA","1","Chicago Black Hawks","CBH","0",
"1940-11-09","Detroit Red Wings","DET","0","Toronto Maple Leafs","TOR","3",
"1940-11-10","New York Rangers","NYR","2","Detroit Red Wings","DET","2",
"1940-11-10","Chicago Black Hawks","CBH","3","Montreal Canadiens","MTL","1",
"1940-11-12","Chicago Black Hawks","CBH","6","Boston Bruins","BOS","5",
"1940-11-14","Toronto Maple Leafs","TOR","6","Montreal Canadiens","MTL","2",
"1940-11-14","Chicago Black Hawks","CBH","2","New York Americans","NYA","2",
"1940-11-16","Detroit Red Wings","DET","3","New York Rangers","NYR","3",
"1940-11-16","Montreal Canadiens","MTL","2","Toronto Maple Leafs","TOR","4",
"1940-11-17","Toronto Maple Leafs","TOR","4","Boston Bruins","BOS","1",
"1940-11-17","Montreal Canadiens","MTL","4","Chicago Black Hawks","CBH","4",
"1940-11-17","Detroit Red Wings","DET","2","New York Americans","NYA","0",
"1940-11-19","Detroit Red Wings","DET","4","Boston Bruins","BOS","4",
"1940-11-19","New York Americans","NYA","2","New York Rangers","NYR","3",
"1940-11-21","Boston Bruins","BOS","2","Chicago Black Hawks","CBH","0",
"1940-11-21","Montreal Canadiens","MTL","1","Detroit Red Wings","DET","2",
"1940-11-21","Toronto Maple Leafs","TOR","2","New York Americans","NYA","1",
"1940-11-23","New York Americans","NYA","1","Montreal Canadiens","MTL","3",
"1940-11-23","Boston Bruins","BOS","2","New York Rangers","NYR","1",
"1940-11-23","Chicago Black Hawks","CBH","1","Toronto Maple Leafs","TOR","0",
"1940-11-24","Toronto Maple Leafs","TOR","4","Chicago Black Hawks","CBH","2",
"1940-11-24","Boston Bruins","BOS","1","Detroit Red Wings","DET","1",
"1940-11-24","Montreal Canadiens","MTL","1","New York Americans","NYA","2",
"1940-11-26","Montreal Canadiens","MTL","3","Boston Bruins","BOS","2",
"1940-11-26","Toronto Maple Leafs","TOR","4","New York Rangers","NYR","2",
"1940-11-28","New York Rangers","NYR","1","New York Americans","NYA","2",
"1940-11-29","Chicago Black Hawks","CBH","1","Detroit Red Wings","DET","3",
"1940-11-30","Montreal Canadiens","MTL","1","New York Rangers","NYR","6",
"1940-11-30","New York Americans","NYA","1","Toronto Maple Leafs","TOR","6",
"1940-12-01","New York Rangers","NYR","1","Chicago Black Hawks","CBH","4",
"1940-12-01","Toronto Maple Leafs","TOR","3","Detroit Red Wings","DET","1",
"1940-12-01","Boston Bruins","BOS","10","New York Americans","NYA","3",
"1940-12-03","New York Americans","NYA","2","Boston Bruins","BOS","6",
"1940-12-05","Detroit Red Wings","DET","5","Chicago Black Hawks","CBH","1",
"1940-12-05","New York Rangers","NYR","3","Montreal Canadiens","MTL","2",
"1940-12-07","Detroit Red Wings","DET","2","Montreal Canadiens","MTL","3",
"1940-12-07","Boston Bruins","BOS","2","Toronto Maple Leafs","TOR","3",
"1940-12-08","Boston Bruins","BOS","2","Chicago Black Hawks","CBH","3",
"1940-12-08","Detroit Red Wings","DET","3","New York Rangers","NYR","1",
"1940-12-10","New York Rangers","NYR","2","Boston Bruins","BOS","6",
"1940-12-12","Chicago Black Hawks","CBH","2","New York Americans","NYA","2",
"1940-12-12","Montreal Canadiens","MTL","3","Toronto Maple Leafs","TOR","4",
"1940-12-13","New York Rangers","NYR","2","Detroit Red Wings","DET","3",
"1940-12-14","Chicago Black Hawks","CBH","1","Toronto Maple Leafs","TOR","2",
"1940-12-15","Toronto Maple Leafs","TOR","4","Chicago Black Hawks","CBH","1",
"1940-12-15","Montreal Canadiens","MTL","2","Detroit Red Wings","DET","1",
"1940-12-15","New York Americans","NYA","3","New York Rangers","NYR","6",
"1940-12-17","Toronto Maple Leafs","TOR","2","Boston Bruins","BOS","5",
"1940-12-17","Detroit Red Wings","DET","2","New York Americans","NYA","3",
"1940-12-19","Montreal Canadiens","MTL","0","Chicago Black Hawks","CBH","2",
"1940-12-19","New York Americans","NYA","1","Detroit Red Wings","DET","1",
"1940-12-19","Boston Bruins","BOS","3","New York Rangers","NYR","5",
"1940-12-21","Boston Bruins","BOS","1","Montreal Canadiens","MTL","3",
"1940-12-21","New York Americans","NYA","2","Toronto Maple Leafs","TOR","2",
"1940-12-22","New York Rangers","NYR","1","Chicago Black Hawks","CBH","3",
"1940-12-22","Boston Bruins","BOS","5","Detroit Red Wings","DET","3",
"1940-12-22","Toronto Maple Leafs","TOR","1","New York Americans","NYA","2",
"1940-12-25","New York Americans","NYA","1","Boston Bruins","BOS","8",
"1940-12-25","Toronto Maple Leafs","TOR","2","Detroit Red Wings","DET","3",
"1940-12-25","Chicago Black Hawks","CBH","3","New York Rangers","NYR","3",
"1940-12-26","Chicago Black Hawks","CBH","5","Montreal Canadiens","MTL","7",
"1940-12-27","Boston Bruins","BOS","3","New York Americans","NYA","3",
"1940-12-28","New York Americans","NYA","0","Montreal Canadiens","MTL","3",
"1940-12-28","New York Rangers","NYR","2","Toronto Maple Leafs","TOR","3",
"1940-12-29","Chicago Black Hawks","CBH","1","Detroit Red Wings","DET","2",
"1940-12-29","Toronto Maple Leafs","TOR","2","New York Rangers","NYR","3",
"1940-12-31","New York Rangers","NYR","2","Boston Bruins","BOS","2",
"1940-12-31","Montreal Canadiens","MTL","2","New York Americans","NYA","4",
"1941-01-01","Detroit Red Wings","DET","4","Chicago Black Hawks","CBH","1",
"1941-01-01","Montreal Canadiens","MTL","2","New York Rangers","NYR","1",
"1941-01-04","New York Rangers","NYR","3","Montreal Canadiens","MTL","3",
"1941-01-04","Detroit Red Wings","DET","3","Toronto Maple Leafs","TOR","1",
"1941-01-05","Chicago Black Hawks","CBH","2","Boston Bruins","BOS","2",
