rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Gilles Boisvert","26","DET","3","","0","3","0","9","","","","3.00","0","180","","","","","","0","0","0","0"
"2","Johnny Bower","35","TOR","66","","34","24","8","177","","","","2.68","5","3960","","","","","","0","0","0","4"
"3","Ed Chadwick","26","TOR","4","","1","2","1","15","","","","3.75","0","240","","","","","","0","0","0","0"
"4","Glenn Hall","28","CBH","70","","28","29","13","179","","","","2.56","6","4200","","","","","","0","1","1","2"
"5","Charlie Hodge","26","MTL","1","","0","1","0","3","","","","3.00","0","60","","","","","","0","0","0","0"
"6","Harry Lumley","33","BOS","42","","16","21","5","146","","","","3.48","2","2520","","","","","","0","0","0","12"
"7","Jack McCartan","24","NYR","4","","1","1","2","7","","","","1.75","0","240","","","","","","0","0","0","0"
"8","Marcel Paille","27","NYR","17","","6","9","2","67","","","","3.94","1","1020","","","","","","0","0","0","0"
"9","Jacques Plante","31","MTL","69","","40","17","12","175","","","","2.54","3","4140","","","","","","0","0","0","2"
"10","Dennis Riggin","23","DET","9","","2","6","1","30","","","","3.33","1","540","","","","","","0","0","0","0"
"11","Al Rollins","33","NYR","10","","3","4","3","31","","","","3.10","0","600","","","","","","0","0","0","0"
"12","Terry Sawchuk","30","DET","58","","24","20","14","155","","","","2.67","5","3480","","","","","","0","0","0","22"
"13","Joe Schaefer","35","NYR","1","","0","1","0","5","","","","7.69","0","39","","","","","","0","0","0","0"
"14","Don Simmons","28","BOS","28","","12","13","3","91","","","","3.25","2","1680","","","","","","0","0","0","4"
"15","Gump Worsley","30","NYR","39","","7","23","8","135","","","","3.52","0","2301","","","","","","0","0","0","12"
