rank,player,age,teamName,position,gamesPlayed,goals,assists,points,plusMinus,penaltyMinutes,evenStrengthGoals,powerPlayGoals,shortHandedGoals,gameWinningPoints,evenStrengthAssists,powerPlayAssits,shortHandedAssists,shots,shootingPercentage,timeOnIce,averageTimeOnIce
"1","Gary Aldcorn","24","DET","LW","70","22","29","51","","32","","","","","","","","","","",""
"2","Al Arbour","27","CBH","D","57","1","5","6","","66","","","","","","","","","","",""
"3","Bob Armstrong","28","BOS","D","69","5","14","19","","96","","","","","","","","","","",""
"4","George Armstrong","29","TOR","RW","70","23","28","51","","60","","","","","","","","","","",""
"5","Ralph Backstrom","22","MTL","C","64","13","15","28","","24","","","","","","","","","","",""
"6","Earl Balfour","27","CBH","LW","70","3","5","8","","16","","","","","","","","","","",""
"7","Murray Balfour","23","CBH","RW","61","18","12","30","","55","","","","","","","","","","",""
"8","Dave Balon","21","NYR","LW","3","0","0","0","","0","","","","","","","","","","",""
"9","Stan Baluik","24","BOS","C","7","0","0","0","","2","","","","","","","","","","",""
"10","Doug Barkley","23","CBH","D","3","0","0","0","","2","","","","","","","","","","",""
"11","Jim Bartlett","27","NYR","LW","44","8","4","12","","48","","","","","","","","","","",""
"12","Andy Bathgate","27","NYR","RW","70","26","48","74","","28","","","","","","","","","","",""
"13","Bob Baun","23","TOR","D","61","8","9","17","","59","","","","","","","","","","",""
"14","Jean Beliveau","28","MTL","C","60","34","40","74","","57","","","","","","","","","","",""
"15","Leo Boivin","27","BOS","D","70","4","21","25","","66","","","","","","","","","","",""
"16","Marcel Bonin","27","MTL","LW","59","17","34","51","","59","","","","","","","","","","",""
"17","Jack Bownass","29","NYR","D","37","2","5","7","","34","","","","","","","","","","",""
"18","Carl Brewer","21","TOR","D","67","4","19","23","","150","","","","","","","","","","",""
"19","John Bucyk","24","BOS","LW","56","16","36","52","","26","","","","","","","","","","",""
"20","Charlie Burns","23","BOS","C","62","10","17","27","","46","","","","","","","","","","",""
"21","Dave Creighton","29","TOR","C","14","1","5","6","","4","","","","","","","","","","",""
"22","Joe Crozier","30","TOR","D","5","0","3","3","","2","","","","","","","","","","",""
"23","Barry Cullen","24","DET","RW","55","4","9","13","","23","","","","","","","","","","",""
"24","Brian Cullen","26","NYR","C","64","8","21","29","","6","","","","","","","","","","",""
"25","Ian Cushenan","26","NYR","D","17","0","1","1","","22","","","","","","","","","","",""
"26","Lorne Davis","29","BOS","RW","10","1","1","2","","10","","","","","","","","","","",""
"27","Alex Delvecchio","27","DET","C","70","19","28","47","","8","","","","","","","","","","",""
"28","Dick Duff","23","TOR","LW","67","19","22","41","","51","","","","","","","","","","",""
"29","Garry Edmundson","27","TOR","LW","39","4","6","10","","47","","","","","","","","","","",""
"30","Gerry Ehman","27","TOR","RW","69","12","16","28","","26","","","","","","","","","","",""
"31","Aut Erickson","22","BOS","D","58","1","6","7","","29","","","","","","","","","","",""
"32","Jack Evans","31","CBH","D","68","0","4","4","","60","","","","","","","","","","",""
"33","Fern Flaman","33","BOS","D","60","2","18","20","","112","","","","","","","","","","",""
"34","Reggie Fleming","23","MTL","LW","3","0","0","0","","2","","","","","","","","","","",""
"35","Val Fonteyne","26","DET","LW","69","4","7","11","","2","","","","","","","","","","",""
"36","Lou Fontinato","28","NYR","D","64","2","11","13","","137","","","","","","","","","","",""
"37","Bill Gadsby","32","NYR","D","65","9","22","31","","60","","","","","","","","","","",""
"38","Pierre Gagne","19","BOS","LW","2","0","0","0","","0","","","","","","","","","","",""
"39","Jean-Guy Gendron","25","BOS","LW","67","24","11","35","","64","","","","","","","","","","",""
"40","Bernie Geoffrion","28","MTL","RW","59","30","41","71","","36","","","","","","","","","","",""
"41","Kenny Girard","23","TOR","RW","1","0","0","0","","0","","","","","","","","","","",""
"42","Warren Godfrey","28","DET","D","69","5","9","14","","60","","","","","","","","","","",""
"43","Pete Goegan","25","DET","D","21","3","0","3","","6","","","","","","","","","","",""
"44","Phil Goyette","26","MTL","C","65","21","22","43","","4","","","","","","","","","","",""
"45","Lloyd Haddon","21","DET","D","8","0","0","0","","2","","","","","","","","","","",""
"46","Len Haley","28","DET","RW","27","1","2","3","","12","","","","","","","","","","",""
"47","Ted Hampson","23","TOR","C","41","2","8","10","","17","","","","","","","","","","",""
"48","John Hanna","24","NYR","D","61","4","8","12","","87","","","","","","","","","","",""
"49","Pat Hannigan","23","TOR","LW","1","0","0","0","","0","","","","","","","","","","",""
"50","Billy Harris","24","TOR","C","70","13","25","38","","29","","","","","","","","","","",""
"51","Doug Harvey","35","MTL","D","66","6","21","27","","45","","","","","","","","","","",""
"52","Bill Hay","24","CBH","C","70","18","37","55","","31","","","","","","","","","","",""
"53","Andy Hebenton","30","NYR","RW","70","19","27","46","","4","","","","","","","","","","",""
"54","Camille Henry","27","NYR","LW","49","12","15","27","","6","","","","","","","","","","",""
"55","Bill Hicke","21","MTL","RW","43","3","10","13","","17","","","","","","","","","","",""
"56","Larry Hillman","22","BOS","D","2","0","1","1","","2","","","","","","","","","","",""
"57","Cec Hoekstra","24","MTL","C","4","0","0","0","","0","","","","","","","","","","",""
"58","Tim Horton","30","TOR","D","70","3","29","32","","69","","","","","","","","","","",""
"59","Bronco Horvath","29","BOS","C","68","39","41","80","","60","","","","","","","","","","",""
"60","Gordie Howe","31","DET","RW","70","28","45","73","","46","","","","","","","","","","",""
"61","Harry Howell","27","NYR","D","67","7","6","13","","58","","","","","","","","","","",""
"62","Bobby Hull","21","CBH","LW","70","39","42","81","","68","","","","","","","","","","",""
"63","Earl Ingarfield","25","NYR","C","20","1","2","3","","2","","","","","","","","","","",""
"64","Gerry James","25","TOR","RW","34","4","9","13","","56","","","","","","","","","","",""
"65","Tom Johnson","31","MTL","D","64","4","25","29","","59","","","","","","","","","","",""
"66","Bob Kabel","25","NYR","C","44","5","11","16","","32","","","","","","","","","","",""
"67","Red Kelly","32","TOT","C/D","68","12","17","29","","18","","","","","","","","","","",""
"68","Forbes Kennedy","24","DET","C","17","1","2","3","","8","","","","","","","","","","",""
"69","Leo Labine","28","BOS","RW","63","16","28","44","","58","","","","","","","","","","",""
"70","Albert Langlois","25","MTL","D","67","1","14","15","","48","","","","","","","","","","",""
"71","Larry Leach","23","BOS","C","69","7","12","19","","47","","","","","","","","","","",""
"72","Ted Lindsay","34","CBH","LW","68","7","19","26","","91","","","","","","","","","","",""
"73","Ed Litzenberger","27","CBH","RW","52","12","18","30","","15","","","","","","","","","","",""
"74","Len Lunde","23","DET","C","66","6","17","23","","10","","","","","","","","","","",""
"75","Parker MacDonald","26","NYR","C","4","0","0","0","","0","","","","","","","","","","",""
"76","Fleming MacKell","30","BOS","C","47","7","15","22","","19","","","","","","","","","","",""
"77","Al MacNeil","24","TOR","D","4","0","0","0","","2","","","","","","","","","","",""
"78","Frank Mahovlich","22","TOR","LW","70","18","21","39","","61","","","","","","","","","","",""
"79","Phil Maloney","32","CBH","C","21","6","4","10","","0","","","","","","","","","","",""
"80","Lou Marcon","24","DET","D","38","0","3","3","","30","","","","","","","","","","",""
"81","Don Marshall","27","MTL","LW","70","16","22","38","","4","","","","","","","","","","",""
"82","Ab McDonald","23","MTL","LW","68","9","13","22","","26","","","","","","","","","","",""
"83","Jack McIntyre","29","DET","LW","49","8","7","15","","6","","","","","","","","","","",""
"84","Don McKenney","25","BOS","C","70","20","49","69","","28","","","","","","","","","","",""
"85","John McKenzie","22","DET","RW","59","8","12","20","","50","","","","","","","","","","",""
"86","Billy McNeill","24","DET","RW","47","5","13","18","","33","","","","","","","","","","",""
"87","Stu McNeill","21","DET","C","5","0","0","0","","0","","","","","","","","","","",""
"88","Dick Meissner","20","BOS","RW","60","5","6","11","","22","","","","","","","","","","",""
"89","Gerry Melnyk","25","DET","C","63","10","10","20","","12","","","","","","","","","","",""
"90","Nick Mickoski","32","BOS","LW","18","1","0","1","","2","","","","","","","","","","",""
"91","Rudy Migay","31","TOR","C","1","0","0","0","","0","","","","","","","","","","",""
"92","Stan Mikita","19","CBH","C","67","8","18","26","","119","","","","","","","","","","",""
"93","Doug Mohns","26","BOS","LW","65","20","25","45","","62","","","","","","","","","","",""
"94","Dickie Moore","29","MTL","LW","62","22","42","64","","54","","","","","","","","","","",""
"95","Jim Morrison","28","DET","D","70","3","23","26","","62","","","","","","","","","","",""
"96","Ron Murphy","26","CBH","LW","63","15","21","36","","18","","","","","","","","","","",""
"97","Eric Nesterenko","26","CBH","RW","61","13","23","36","","71","","","","","","","","","","",""
"98","Murray Oliver","22","DET","C","54","20","19","39","","16","","","","","","","","","","",""
"99","Bert Olmstead","33","TOR","LW","53","15","21","36","","63","","","","","","","","","","",""
"100","Mel Pearson","21","NYR","LW","23","1","5","6","","13","","","","","","","","","","",""
"101","Pierre Pilote","28","CBH","D","70","7","38","45","","100","","","","","","","","","","",""
"102","Larry Popein","29","NYR","C","66","14","22","36","","16","","","","","","","","","","",""
"103","Dean Prentice","27","NYR","LW","70","32","34","66","","43","","","","","","","","","","",""
"104","Noel Price","24","NYR","D","6","0","0","0","","2","","","","","","","","","","",""
"105","Andre Pronovost","23","MTL","LW","69","12","19","31","","61","","","","","","","","","","",""
"106","Marcel Pronovost","29","DET","D","69","7","17","24","","38","","","","","","","","","","",""
"107","Claude Provost","26","MTL","RW","70","17","29","46","","42","","","","","","","","","","",""
"108","Bob Pulford","23","TOR","C","70","24","28","52","","81","","","","","","","","","","",""
