rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1"0,"Detroit Red Wings"1,"DET","82"2,"58"3,"16"4,"8"5,"124"6,".756"7,"305"8,"209"9,"1.03"10,"-0.14"11,"6.27"12,"102"13,"461"14,"22.13"15,"67"16,"461"17,"85.47"18,"7"19,"10"20,"2796"21,"10.8"22,"2176"23,".908"24,""
"2"0,"Ottawa Senators"1,"OTT","82"2,"52"3,"21"4,"9"5,"113"6,".689"7,"314"8,"211"9,"1.18"10,"-0.08"11,"6.40"12,"102"13,"490"14,"20.82"15,"73"16,"476"17,"84.66"18,"25"19,"11"20,"2811"21,"11.1"22,"2343"23,".913"24,""
"3"0,"Carolina Hurricanes"1,"CAR","82"2,"52"3,"22"4,"8"5,"112"6,".683"7,"294"8,"260"9,"0.29"10,"-0.13"11,"6.76"12,"95"13,"531"14,"17.89"15,"81"16,"445"17,"81.80"18,"17"19,"13"20,"2553"21,"11.2"22,"2492"23,".898"24,""
"4"0,"Dallas Stars"1,"DAL","82"2,"53"3,"23"4,"6"5,"112"6,".683"7,"265"8,"218"9,"0.61"10,"0.04"11,"5.89"12,"88"13,"498"14,"17.67"15,"82"16,"504"17,"83.73"18,"10"19,"7"20,"2336"21,"10.8"22,"2096"23,".898"24,""
"5"0,"Buffalo Sabres"1,"BUF","82"2,"52"3,"24"4,"6"5,"110"6,".671"7,"281"8,"239"9,"0.50"10,"-0.01"11,"6.34"12,"101"13,"477"14,"21.17"15,"59"16,"439"17,"86.56"18,"10"19,"17"20,"2510"21,"11.0"22,"2497"23,".908"24,""
"6"0,"Nashville Predators"1,"NSH","82"2,"49"3,"25"4,"8"5,"106"6,".646"7,"259"8,"227"9,"0.32"10,"-0.07"11,"5.93"12,"94"13,"512"14,"18.36"15,"82"16,"533"17,"84.62"18,"12"19,"13"20,"2380"21,"10.6"22,"2662"23,".916"24,""
"7"0,"Calgary Flames"1,"CGY","82"2,"46"3,"25"4,"11"5,"103"6,".628"7,"218"8,"200"9,"0.30"10,"0.08"11,"5.10"12,"87"13,"478"14,"18.20"15,"80"16,"508"17,"84.25"18,"8"19,"7"20,"2299"21,"9.4"22,"2256"23,".917"24,""
"8"0,"New Jersey Devils"1,"NJD","82"2,"46"3,"27"4,"9"5,"101"6,".616"7,"242"8,"229"9,"0.05"10,"-0.11"11,"5.74"12,"78"13,"441"14,"17.69"15,"63"16,"349"17,"81.95"18,"3"19,"6"20,"2395"21,"9.7"22,"2400"23,".908"24,""
"9"0,"Philadelphia Flyers"1,"PHI","82"2,"45"3,"26"4,"11"5,"101"6,".616"7,"267"8,"259"9,"0.00"10,"-0.10"11,"6.41"12,"80"13,"444"14,"18.02"15,"97"16,"465"17,"79.14"18,"19"19,"6"20,"2552"21,"10.3"22,"2365"23,".896"24,""
"10"0,"New York Rangers"1,"NYR","82"2,"44"3,"26"4,"12"5,"100"6,".610"7,"257"8,"215"9,"0.38"10,"-0.14"11,"5.76"12,"83"13,"442"14,"18.78"15,"79"16,"486"17,"83.74"18,"4"19,"9"20,"2448"21,"10.2"22,"2354"23,".912"24,""
"11"0,"San Jose Sharks"1,"SJS","82"2,"44"3,"27"4,"11"5,"99"6,".604"7,"266"8,"242"9,"0.36"10,"0.06"11,"6.20"12,"91"13,"500"14,"18.20"15,"77"16,"399"17,"80.70"18,"10"19,"11"20,"2483"21,"10.7"22,"2176"23,".894"24,""
"12"0,"Mighty Ducks of Anaheim"1,"MDA","82"2,"43"3,"27"4,"12"5,"98"6,".598"7,"254"8,"229"9,"0.37"10,"0.06"11,"5.89"12,"87"13,"480"14,"18.13"15,"84"16,"510"17,"83.53"18,"9"19,"13"20,"2585"21,"9.7"22,"2425"23,".911"24,""
"13"0,"Colorado Avalanche"1,"COL","82"2,"43"3,"30"4,"9"5,"95"6,".579"7,"283"8,"257"9,"0.39"10,"0.07"11,"6.59"12,"89"13,"473"14,"18.82"15,"69"16,"448"17,"84.60"18,"11"19,"12"20,"2464"21,"11.4"22,"2408"23,".899"24,""
"14"0,"Edmonton Oilers"1,"EDM","82"2,"41"3,"28"4,"13"5,"95"6,".579"7,"256"8,"251"9,"0.15"10,"0.09"11,"6.18"12,"88"13,"485"14,"18.14"15,"76"16,"478"17,"84.10"18,"15"19,"5"20,"2442"21,"10.2"22,"2090"23,".887"24,""
"15"0,"Montreal Canadiens"1,"MTL","82"2,"42"3,"31"4,"9"5,"93"6,".567"7,"243"8,"247"9,"-0.01"10,"0.04"11,"5.98"12,"89"13,"463"14,"19.22"15,"91"16,"481"17,"81.08"18,"10"19,"6"20,"2470"21,"9.8"22,"2502"23,".904"24,""
"16"0,"Tampa Bay Lightning"1,"TBL","82"2,"43"3,"33"4,"6"5,"92"6,".561"7,"252"8,"260"9,"-0.18"10,"-0.08"11,"6.24"12,"81"13,"485"14,"16.70"15,"72"16,"391"17,"81.59"18,"11"19,"11"20,"2594"21,"9.5"22,"2250"23,".891"24,""
"17"0,"Vancouver Canucks"1,"VAN","82"2,"42"3,"32"4,"8"5,"92"6,".561"7,"256"8,"255"9,"0.11"10,"0.10"11,"6.23"12,"96"13,"526"14,"18.25"15,"93"16,"512"17,"81.84"18,"6"19,"10"20,"2358"21,"10.7"22,"2462"23,".900"24,""
"18"0,"Toronto Maple Leafs"1,"TOR","82"2,"41"3,"33"4,"8"5,"90"6,".549"7,"257"8,"270"9,"-0.11"10,"0.05"11,"6.43"12,"107"13,"501"14,"21.36"15,"99"16,"496"17,"80.04"18,"14"19,"12"20,"2323"21,"10.9"22,"2503"23,".897"24,""
"19"0,"Atlanta Thrashers"1,"ATL","82"2,"41"3,"33"4,"8"5,"90"6,".549"7,"281"8,"275"9,"-0.03"10,"-0.10"11,"6.78"12,"100"13,"527"14,"18.98"15,"102"16,"492"17,"79.27"18,"13"19,"10"20,"2522"21,"10.9"22,"2477"23,".893"24,""
"20"0,"Los Angeles Kings"1,"LAK","82"2,"42"3,"35"4,"5"5,"89"6,".543"7,"249"8,"270"9,"-0.15"10,"0.11"11,"6.33"12,"77"13,"541"14,"14.23"15,"104"16,"489"17,"78.73"18,"15"19,"12"20,"2394"21,"10.2"22,"2450"23,".894"24,""
"21"0,"Florida Panthers"1,"FLA","82"2,"37"3,"34"4,"11"5,"85"6,".518"7,"240"8,"257"9,"-0.28"10,"-0.07"11,"6.06"12,"63"13,"411"14,"15.33"15,"91"16,"514"17,"82.30"18,"5"19,"12"20,"2724"21,"8.7"22,"2848"23,".913"24,""
"22"0,"Minnesota Wild"1,"MIN","82"2,"38"3,"36"4,"8"5,"84"6,".512"7,"231"8,"215"9,"0.28"10,"0.08"11,"5.44"12,"77"13,"454"14,"16.96"15,"55"16,"436"17,"87.39"18,"11"19,"7"20,"2194"21,"10.3"22,"2454"23,".916"24,""
"23"0,"Phoenix Coyotes"1,"PHX","82"2,"38"3,"39"4,"5"5,"81"6,".494"7,"246"8,"271"9,"-0.19"10,"0.12"11,"6.30"12,"96"13,"541"14,"17.74"15,"98"16,"513"17,"80.90"18,"9"19,"11"20,"2318"21,"10.4"22,"2472"23,".895"24,""
"24"0,"New York Islanders"1,"NYI","82"2,"36"3,"40"4,"6"5,"78"6,".476"7,"230"8,"278"9,"-0.62"10,"-0.04"11,"6.20"12,"76"13,"450"14,"16.89"15,"99"16,"476"17,"79.20"18,"5"19,"15"20,"2481"21,"8.9"22,"2537"23,".896"24,""
"25"0,"Columbus Blue Jackets"1,"CBJ","82"2,"35"3,"43"4,"4"5,"74"6,".451"7,"223"8,"279"9,"-0.66"10,"0.02"11,"6.12"12,"64"13,"451"14,"14.19"15,"95"16,"523"17,"81.84"18,"10"19,"8"20,"2250"21,"9.6"22,"2754"23,".903"24,""
"26"0,"Boston Bruins"1,"BOS","82"2,"29"3,"37"4,"16"5,"74"6,".451"7,"230"8,"266"9,"-0.36"10,"0.08"11,"6.05"12,"62"13,"418"14,"14.83"15,"78"16,"479"17,"83.72"18,"9"19,"10"20,"2511"21,"9.1"22,"2627"23,".904"24,""
"27"0,"Washington Capitals"1,"WSH","82"2,"29"3,"41"4,"12"5,"70"6,".427"7,"237"8,"306"9,"-0.86"10,"-0.02"11,"6.62"12,"72"13,"490"14,"14.69"15,"116"16,"550"17,"78.91"18,"15"19,"18"20,"2445"21,"9.4"22,"2871"23,".899"24,""
"28"0,"Chicago Blackhawks"1,"CHI","82"2,"26"3,"43"4,"13"5,"65"6,".396"7,"211"8,"285"9,"-0.86"10,"0.04"11,"6.05"12,"51"13,"417"14,"12.23"15,"88"16,"547"17,"83.91"18,"6"19,"12"20,"2480"21,"8.4"22,"2411"23,".887"24,""
"29"0,"Pittsburgh Penguins"1,"PIT","82"2,"22"3,"46"4,"14"5,"58"6,".354"7,"244"8,"316"9,"-0.89"10,"-0.01"11,"6.83"12,"94"13,"495"14,"18.99"15,"113"16,"533"17,"78.80"18,"13"19,"16"20,"2297"21,"10.6"22,"2716"23,".888"24,""
"30"0,"St. Louis Blues"1,"STL","82"2,"21"3,"46"4,"15"5,"57"6,".348"7,"197"8,"292"9,"-1.09"10,"0.07"11,"5.96"12,"75"13,"512"14,"14.65"15,"82"16,"461"17,"82.21"18,"6"19,"8"20,"2335"21,"8.3"22,"2499"23,".891"24,""
