rank,player,age,teamName,position,gamesPlayed,goals,assists,points,plusMinus,penaltyMinutes,evenStrengthGoals,powerPlayGoals,shortHandedGoals,gameWinningPoints,evenStrengthAssists,powerPlayAssits,shortHandedAssists,shots,shootingPercentage,timeOnIce,averageTimeOnIce
"1","Sid Abel","27","DET","C","7","0","2","2","","0","","","","","","","","","","",""
"2","George Allen","31","CBH","D","44","11","15","26","","16","","","","","","","","","","",""
"3","Syl Apps","31","TOR","C","40","24","16","40","","2","","","","","","","","","","",""
"4","Murray Armstrong","30","DET","C","40","8","18","26","","4","","","","","","","","","","",""
"5","Doug Baldwin","23","TOR","D","15","0","1","1","","6","","","","","","","","","","",""
"6","Bobby Bauer","30","BOS","RW","39","11","10","21","","4","","","","","","","","","","",""
"7","Joe Benoit","29","MTL","RW","39","9","10","19","","8","","","","","","","","","","",""
"8","Doug Bentley","29","CBH","LW","36","19","21","40","","16","","","","","","","","","","",""
"9","Max Bentley","25","CBH","C","47","31","30","61","","6","","","","","","","","","","",""
"10","Toe Blake","33","MTL","LW","50","29","21","50","","2","","","","","","","","","","",""
"11","Gus Bodnar","22","TOR","C","49","14","23","37","","14","","","","","","","","","","",""
"12","Butch Bouchard","26","MTL","D","45","7","10","17","","52","","","","","","","","","","",""
"13","Adam Brown","25","DET","LW","48","20","11","31","","27","","","","","","","","","","",""
"14","Gerry Brown","28","DET","LW","10","0","1","1","","2","","","","","","","","","","",""
"15","Harold Brown","25","NYR","RW","13","2","1","3","","2","","","","","","","","","","",""
"16","Gordie Bruce","26","BOS","LW","5","0","0","0","","0","","","","","","","","","","",""
"17","Eddie Bruneteau","26","DET","RW","46","17","12","29","","11","","","","","","","","","","",""
"18","Mud Bruneteau","31","DET","RW","28","6","4","10","","2","","","","","","","","","","",""
"19","Herb Cain","33","BOS","LW","48","17","12","29","","4","","","","","","","","","","",""
"20","Lorne Carr","35","TOR","RW","42","5","8","13","","2","","","","","","","","","","",""
"21","Joe Carveth","27","DET","RW","48","17","18","35","","10","","","","","","","","","","",""
"22","John Chad","26","CBH","RW","13","0","1","1","","2","","","","","","","","","","",""
"23","Murph Chamberlain","30","MTL","LW","40","12","14","26","","42","","","","","","","","","","",""
"24","Jack Church","30","BOS","D","43","2","6","8","","28","","","","","","","","","","",""
"25","Dit Clapper","38","BOS","D","30","2","3","5","","0","","","","","","","","","","",""
