rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Baz Bastien","26","TOR","5","","0","4","1","20","","","","4.00","0","300","","","","","","0","0","0","0"
"2","Gordie Bell","20","TOR","8","","3","5","0","31","","","","3.87","0","480","","","","","","0","0","0","0"
"3","Paul Bibeault","26","TOT","26","","12","10","4","75","","","","2.88","2","1560","","","","","","0","0","0","0"
"4","Frank Brimsek","30","BOS","34","","16","14","4","111","","","","3.26","2","2040","","","","","","0","0","0","0"
"5","Turk Broda","31","TOR","15","","6","6","3","53","","","","3.53","0","900","","","","","","0","0","0","0"
"6","Bill Durnan","30","MTL","40","","24","11","5","104","","","","2.60","4","2400","","","","","","0","0","0","0"
"7","Jim Henry","25","NYR","11","","1","7","2","42","","","","4.04","1","623","","","","","","0","0","0","0"
"8","Mike Karakas","34","CBH","48","","22","19","7","166","","","","3.46","1","2880","","","","","","0","0","0","5"
"9","Harry Lumley","19","DET","50","","20","20","10","159","","","","3.18","2","3000","","","","","","0","0","0","6"
"10","Frank McCool","27","TOR","22","","10","9","3","81","","","","3.68","0","1320","","","","","","0","0","0","5"
"11","Chuck Rayner","25","NYR","40","","12","21","7","149","","","","3.76","1","2377","","","","","","0","0","0","6"
"12","Doug Stevenson","21","CBH","2","","1","1","0","12","","","","6.00","0","120","","","","","","0","0","0","0"
