rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Johnny Bower","40","TOR","34","","13","13","8","81","","","","2.38","3","2040","","","","","","0","0","0","6"
"2","Roger Crozier","22","DET","70","","40","22","7","168","","","","2.42","6","4168","","","","","","0","0","0","10"
"3","Denis DeJordy","26","CBH","30","","16","11","3","74","","","","2.52","3","1760","","","","","","0","1","1","0"
"4","Glenn Hall","33","CBH","41","","18","17","5","99","","","","2.43","4","2440","","","","","","0","0","0","2"
"5","Charlie Hodge","31","MTL","53","","26","16","10","135","","","","2.55","3","3180","","","","","","0","0","0","2"
"6","Eddie Johnston","29","BOS","47","","11","32","4","163","","","","3.47","3","2820","","","","","","0","0","0","4"
"7","Jack Norris","22","BOS","23","","10","11","2","85","","","","3.70","1","1380","","","","","","0","0","0","0"
"8","Marcel Paille","32","NYR","39","","10","21","7","135","","","","3.58","0","2262","","","","","","0","1","1","2"
"9","Jacques Plante","36","NYR","33","","10","17","5","109","","","","3.37","2","1938","","","","","","0","1","1","6"
"10","Terry Sawchuk","35","TOR","36","","17","13","6","92","","","","2.56","1","2160","","","","","","0","2","2","24"
"11","Carl Wetzel","26","DET","2","","0","1","0","4","","","","7.50","0","32","","","","","","0","0","0","0"
"12","Gump Worsley","35","MTL","19","","10","7","1","50","","","","2.94","1","1020","","","","","","0","0","0","0"
