rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Sami Aittokallio","21","COL","1","1","0","1","0","3","18","15",".833","4.50","0","40","0",".000","1","","","0","0","0","0"
"2","Frederik Andersen","24","ANA","28","24","20","5","0","60","783","723",".923","2.29","0","1569","12",".500","0","89","7.47","0","1","1","0"
"3","Craig Anderson","32","OTT","53","52","25","16","8","150","1680","1530",".911","3.00","4","3000","26",".500","10","104","-5.24","0","1","1","2"
"4","Richard Bachman","26","EDM","3","3","0","2","1","7","83","76",".916","3.02","0","139","1",".333","2","","","0","0","0","0"
"5","Niklas Backstrom","35","MIN","21","19","5","11","2","55","546","491",".899","3.02","0","1094","9",".474","3","117","-7.95","0","0","0","0"
"6","Jonathan Bernier","25","TOR","55","49","26","19","7","139","1788","1649",".922","2.70","1","3084","30",".612","5","90","15.07","0","1","1","4"
"7","Reto Berra","27","TOT","31","29","9","18","3","88","820","732",".893","3.07","0","1720","14",".483","7","125","-17.34","0","0","0","2"
"8","Martin Biron","36","NYR","2","1","0","1","0","9","38","29",".763","7.61","0","71","0",".000","1","","","0","0","0","0"
"9","Ben Bishop","27","TBL","63","63","37","14","7","133","1758","1625",".924","2.23","5","3586","38",".603","8","88","18.48","0","2","2","4"
"10","Sergei Bobrovsky","25","CBJ","58","57","32","20","5","131","1699","1568",".923","2.38","5","3299","35",".614","5","89","15.40","0","1","1","2"
"11","Martin Brodeur","41","NJD","39","39","19","14","6","96","971","875",".901","2.51","3","2297","18",".462","8","115","-12.33","0","3","3","2"
"12","Ilya Bryzgalov","33","TOT","32","30","12","9","8","81","891","810",".909","2.68","4","1814","16",".533","4","106","-4.23","0","0","0","0"
"13","Peter Budaj","31","MTL","24","21","10","8","3","56","615","559",".909","2.51","1","1338","9",".429","3","106","-3.01","0","0","0","6"
"14","Jack Campbell","22","DAL","1","1","0","1","0","6","47","41",".872","6.00","0","60","0",".000","0","","","0","0","0","0"
"15","Scott Clemmensen","36","FLA","17","14","6","7","1","47","454","407",".896","3.09","0","914","6",".429","3","120","-7.88","0","1","1","0"
"16","Corey Crawford","29","CHI","59","56","32","16","10","128","1533","1405",".917","2.26","2","3395","31",".554","6","97","4.09","0","1","1","0"
"17","John Curry","29","MIN","2","1","1","0","0","4","57","53",".930","3.00","0","80","1","1.000","0","","","0","0","0","0"
"18","Cedrick Desjardins","28","TBL","1","0","0","1","0","2","13","11",".846","6.67","0","18","0","","0","","","0","0","0","2"
"19","Devan Dubnyk","27","TOT","34","31","11","18","3","103","945","842",".891","3.43","2","1802","11",".355","8","126","-21.57","0","0","0","6"
"20","Brian Elliott","28","STL","31","25","18","6","2","53","681","628",".922","1.96","4","1624","15",".600","2","90","5.68","0","2","2","0"
"21","Dan Ellis","33","TOT","20","16","5","11","0","62","514","452",".879","3.62","1","1027","4",".250","6","140","-17.71","0","1","1","0"
"22","Ray Emery","31","PHI","28","21","9","12","2","69","711","642",".903","2.96","2","1398","11",".524","2","113","-7.74","0","0","0","31"
"23","Jhonas Enroth","25","BUF","28","26","4","17","5","74","834","760",".911","2.82","0","1574","14",".538","3","103","-2.14","0","0","0","0"
"24","Joacim Eriksson","23","VAN","1","0","","","","6","31","25",".806","10.00","0","36","0","","0","","","0","0","0","0"
"25","Viktor Fasth","31","TOT","12","12","5","5","2","33","340","307",".903","2.82","0","701","5",".417","2","113","-3.70","0","0","0","0"
"26","Marc-Andre Fleury","29","PIT","64","64","39","18","5","150","1774","1624",".915","2.37","5","3792","33",".516","11","98","2.86","0","0","0","4"
"27","John Gibson","20","ANA","3","3","3","0","0","4","87","83",".954","1.33","1","181","3","1.000","0","","","0","0","0","0"
"28","Jean-Sebastien Giguere","36","COL","22","19","11","6","1","53","608","555",".913","2.62","2","1212","12",".632","4","101","-0.61","0","0","0","4"
"29","Thomas Greiss","28","PHX","25","20","10","8","5","50","626","576",".920","2.29","2","1312","12",".600","2","93","3.94","0","0","0","0"
"30","Philipp Grubauer","22","WSH","17","14","6","5","5","35","469","434",".925","2.38","0","883","9",".643","2","87","5.41","0","0","0","0"
"31","Kristers Gudlevskis","21","TBL","1","1","1","0","0","2","38","36",".947","2.00","0","60","1","1.000","0","","","0","0","0","0"
"32","Jonas Gustavsson","29","DET","27","26","16","5","4","68","735","667",".907","2.63","0","1551","13",".500","6","107","-4.67","0","0","0","0"
"33","Matt Hackett","23","BUF","8","8","1","6","1","22","239","217",".908","3.10","0","426","4",".500","1","","","0","0","0","0"
"34","Jaroslav Halak","28","TOT","52","50","29","13","7","110","1385","1275",".921","2.25","5","2939","30",".600","6","92","9.34","0","1","1","0"
"35","Andrew Hammond","25","OTT","1","0","","","","0","11","11","1.000","0.00","0","35","0","","0","","","0","0","0","0"
"36","Josh Harding","29","MIN","29","26","18","7","3","46","690","644",".933","1.65","3","1668","21",".808","3","77","13.45","0","0","0","0"
"37","Cal Heeter","25","PHI","1","1","0","0","1","5","38","33",".868","4.69","0","64","0",".000","0","","","0","0","0","0"
"38","Magnus Hellberg","22","NSH","1","0","","","","1","4","3",".750","5.00","0","12","0","","0","","","0","0","0","0"
"39","Jonas Hiller","31","ANA","50","50","29","13","7","120","1348","1228",".911","2.48","5","2909","27",".540","11","103","-3.85","0","2","2","0"
"40","Braden Holtby","24","WSH","48","45","23","15","4","126","1475","1349",".915","2.85","4","2656","26",".578","7","99","1.10","0","2","2","7"
"41","Jimmy Howard","29","DET","51","50","21","19","11","133","1482","1349",".910","2.66","2","3004","25",".500","7","104","-5.30","0","0","0","6"
"42","Michael Hutchinson","23","WPG","3","3","2","1","0","5","88","83",".943","1.64","0","183","3","1.000","0","","","0","0","0","0"
"43","Carter Hutton","28","NSH","40","34","20","11","4","91","1006","915",".910","2.62","1","2085","15",".441","8","105","-4.32","0","1","1","2"
"44","Chad Johnson","27","BOS","27","23","17","4","3","53","708","655",".925","2.10","2","1511","15",".652","2","87","8.01","0","0","0","0"
"45","Martin Jones","24","LAK","19","18","12","6","0","33","500","467",".934","1.81","4","1095","13",".722","1","77","10.08","0","1","1","0"
"46","Nikolai Khabibulin","41","CHI","4","4","1","0","1","14","74","60",".811","5.00","0","168","1",".250","3","","","0","0","0","0"
"47","Anton Khudobin","27","CAR","36","34","19","14","1","80","1076","996",".926","2.30","1","2084","22",".647","2","86","12.72","0","0","0","0"
"48","Connor Knapp","23","BUF","2","1","0","0","1","4","32","28",".875","3.12","0","77","0",".000","0","","","0","1","1","0"
"49","Darcy Kuemper","23","MIN","26","25","12","8","4","60","702","642",".915","2.43","2","1480","12",".480","4","99","0.49","0","0","0","0"
"50","Jason LaBarbera","34","EDM","7","4","1","3","0","19","146","127",".870","3.28","0","348","0",".000","3","","","0","0","0","0"
"51","Eddie Lack","26","VAN","41","37","16","17","5","93","1052","959",".912","2.41","4","2319","20",".541","5","103","-2.35","0","0","0","0"
"52","Nathan Lawson","30","OTT","1","0","","","","2","10","8",".800","10.00","0","12","0","","0","","","0","0","0","0"
"53","Robin Lehner","22","OTT","36","30","12","15","6","99","1141","1042",".913","3.06","1","1942","19",".633","5","101","-0.68","0","0","0","4"
"54","Kari Lehtonen","30","DAL","65","64","33","20","10","153","1888","1735",".919","2.41","5","3804","36",".563","10","94","9.68","0","4","4","4"
"55","Nathan Lieuwen","22","BUF","7","5","1","4","0","18","191","173",".906","2.98","0","363","2",".400","0","","","0","0","0","0"
"56","Anders Lindback","25","TBL","23","18","8","12","2","63","580","517",".891","2.90","1","1302","6",".333","3","126","-13.02","0","0","0","2"
"57","Henrik Lundqvist","31","NYR","63","62","33","24","5","144","1810","1666",".920","2.36","5","3655","36",".581","9","92","11.96","0","4","4","0"
"58","Roberto Luongo","34","TOT","56","56","25","23","7","129","1589","1460",".919","2.40","4","3222","29",".518","4","94","7.92","0","0","0","2"
"59","Joey MacDonald","33","CGY","11","9","5","4","1","29","264","235",".890","2.90","0","599","2",".222","2","","","0","0","0","2"
"60","Drew MacIntyre","30","TOR","2","1","0","1","0","4","51","47",".922","2.53","0","95","0",".000","0","","","0","0","0","0"
"61","Jacob Markstrom","24","TOT","16","12","2","8","3","46","361","315",".873","3.39","0","814","3",".250","4","148","-14.89","0","0","0","0"
"62","Steve Mason","25","PHI","61","60","33","18","7","145","1751","1606",".917","2.50","4","3486","35",".583","9","96","5.88","0","1","1","10"
"63","Marek Mazanec","22","NSH","25","22","8","10","4","64","650","586",".902","2.80","2","1370","11",".500","6","114","-7.99","0","0","0","0"
"64","Curtis McElhinney","30","CBJ","28","21","10","11","1","64","703","639",".909","2.70","2","1423","12",".571","3","106","-3.43","0","1","1","0"
"65","Mike McKenna","30","CBJ","4","3","1","1","1","11","114","103",".904","3.01","0","219","0",".000","0","","","0","0","0","0"
"66","Ryan Miller","33","TOT","59","59","25","30","4","154","1885","1731",".918","2.64","1","3501","36",".610","7","95","8.42","0","2","2","0"
"67","Al Montoya","28","WPG","28","22","13","8","3","59","737","678",".920","2.30","2","1541","13",".591","1","93","4.50","0","0","0","2"
