rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1","Boston Bruins","BOS","78","54","13","11","119",".763","330","204","1.50","-0.12","6.85","74","256","28.91","51","290","82.41","18","2","2629","12.6","","",""
"2","New York Rangers","NYR","78","48","17","13","109",".699","317","192","1.49","-0.11","6.53","60","257","23.35","44","282","84.40","14","10","2811","11.3","","",""
"3","Montreal Canadiens","MTL","78","46","16","16","108",".692","307","205","1.21","-0.09","6.56","72","266","27.07","41","245","83.27","14","4","2623","11.7","","",""
"4","Chicago Black Hawks","CBH","78","46","17","15","107",".686","256","166","1.07","-0.08","5.41","43","255","16.86","35","240","85.42","7","10","2289","11.2","","",""
"5","Minnesota North Stars","MNS","78","37","29","12","86",".551","212","191","0.25","-0.02","5.17","53","262","20.23","49","277","82.31","4","6","2416","8.8","","",""
"6","Toronto Maple Leafs","TOR","78","33","31","14","80",".513","209","208","0.01","0.00","5.35","48","252","19.05","60","266","77.44","4","7","2515","8.3","","",""
"7","Detroit Red Wings","DET","78","33","35","10","76",".487","261","262","-0.01","0.00","6.71","58","280","20.71","45","261","82.76","6","9","2416","10.8","","",""
"8","St. Louis Blues","STL","78","28","39","11","67",".429","208","247","-0.46","0.04","5.83","38","270","14.07","65","280","76.79","13","11","2557","8.1","","",""
"9","Philadelphia Flyers","PHI","78","26","38","14","66",".423","200","236","-0.43","0.03","5.59","52","268","19.40","53","324","83.64","6","10","2362","8.5","","",""
"10","Pittsburgh Penguins","PIT","78","26","38","14","66",".423","220","258","-0.45","0.04","6.13","46","286","16.08","55","246","77.64","5","7","2441","9.0","","",""
"11","California Golden Seals","CGS","78","21","39","18","60",".385","216","288","-0.86","0.07","6.46","44","278","15.83","55","259","78.76","5","6","2189","9.9","","",""
"12","Buffalo Sabres","BUF","78","16","43","19","51",".327","203","289","-1.02","0.08","6.31","57","308","18.51","56","281","80.07","1","7","2121","9.6","","",""
"13","Los Angeles Kings","LAK","78","20","49","9","49",".314","206","305","-1.18","0.09","6.55","38","272","13.97","50","210","76.19","4","7","2174","9.5","","",""
"14","Vancouver Canucks","VAN","78","20","50","8","48",".308","203","297","-1.12","0.09","6.41","48","261","18.39","72","310","76.77","4","9","2297","8.8","","",""
