rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Les Binkley","37","PIT","31","","7","15","5","98","","","","3.51","0","1673","","","","","","0","0","0","2"
"2","Andy Brown","27","DET","10","","4","5","1","37","","","","3.96","0","560","","","","","","0","1","1","0"
"3","Jacques Caron","31","STL","28","","14","8","5","68","","","","2.52","1","1619","","","","","","0","1","1","0"
"4","Lyle Carter","26","CGS","15","","4","7","0","50","","","","4.16","0","721","","","","","","0","0","0","2"
"5","Gerry Cheevers","31","BOS","41","","27","5","8","101","","","","2.50","2","2420","","","","","","0","2","2","25"
"6","Roger Crozier","29","BUF","63","","13","34","14","214","","","","3.51","2","3654","","","","","","0","0","0","10"
"7","Joe Daley","28","DET","29","","11","10","5","85","","","","3.15","0","1620","","","","","","0","0","0","2"
"8","Denis DeJordy","33","TOT","12","","3","7","1","48","","","","4.62","0","623","","","","","","0","1","1","0"
"9","Gerry Desjardins","27","CBH","6","","1","2","3","21","","","","3.50","0","360","","","","","","0","0","0","0"
"10","Dave Dryden","30","BUF","20","","3","9","5","68","","","","3.98","0","1026","","","","","","0","0","0","0"
"11","Ken Dryden","24","MTL","64","","39","8","15","142","","","","2.24","8","3800","","","","","","0","3","3","4"
"12","Ed Dyck","21","VAN","12","","1","6","2","35","","","","3.66","0","573","","","","","","0","0","0","0"
"13","Gary Edwards","24","LAK","44","","13","23","5","150","","","","3.60","2","2503","","","","","","0","0","0","0"
"14","Roy Edwards","34","PIT","15","","2","8","4","36","","","","2.55","0","847","","","","","","0","1","1","0"
"15","Tony Esposito","28","CBH","48","","31","10","6","82","","","","1.77","9","2780","","","","","","0","1","1","2"
"16","Doug Favell","26","PHI","54","","18","25","9","140","","","","2.81","5","2993","","","","","","0","1","1","32"
"17","Bruce Gamble","33","PHI","24","","7","8","2","58","","","","2.93","2","1186","","","","","","0","0","0","2"
"18","George Gardner","29","VAN","24","","3","14","3","86","","","","4.17","0","1237","","","","","","0","0","0","0"
"19","Ed Giacomin","32","NYR","44","","24","10","9","115","","","","2.70","1","2551","","","","","","0","3","3","4"
"20","Gilles Gilbert","22","MNS","4","","1","2","1","11","","","","3.03","0","218","","","","","","0","0","0","0"
"21","Eddie Johnston","36","BOS","38","","27","8","3","102","","","","2.71","2","2260","","","","","","0","4","4","0"
"22","Gary Kurt","24","CGS","16","","1","7","5","60","","","","4.30","0","838","","","","","","0","0","0","0"
"23","Cesare Maniago","33","MNS","43","","20","17","4","112","","","","2.65","3","2539","","","","","","0","0","0","4"
"24","Peter McDuffe","23","STL","10","","0","6","0","29","","","","3.73","0","467","","","","","","0","0","0","0"
"25","Don McLeod","25","PHI","4","","0","3","1","14","","","","4.64","0","181","","","","","","0","0","0","0"
"26","Jim McLeod","34","STL","16","","6","6","4","44","","","","3.00","0","880","","","","","","0","1","1","0"
"27","Gilles Meloche","21","CGS","56","","16","25","13","173","","","","3.33","4","3121","","","","","","0","2","2","6"
"28","Phil Myre","23","MTL","9","","4","5","0","32","","","","3.64","0","528","","","","","","0","0","0","4"
"29","Bernie Parent","26","TOR","47","","17","18","9","116","","","","2.56","3","2715","","","","","","0","1","1","6"
"30","Jacques Plante","43","TOR","34","","16","13","5","86","","","","2.63","2","1965","","","","","","0","0","0","2"
"31","Jim Rutherford","22","PIT","40","","17","15","5","116","","","","3.22","1","2160","","","","","","0","0","0","16"
"32","Al Smith","26","DET","43","","18","20","4","135","","","","3.24","4","2500","","","","","","0","4","4","23"
"33","Billy Smith","21","LAK","5","","1","3","1","23","","","","4.60","0","300","","","","","","0","0","0","5"
"34","Gary Smith","27","CBH","28","","14","5","6","62","","","","2.42","5","1540","","","","","","0","0","0","0"
"35","Wayne Stephenson","27","STL","2","","0","1","0","9","","","","5.40","0","100","","","","","","0","0","0","0"
"36","Bobby Taylor","27","PHI","6","","1","2","2","16","","","","3.00","0","320","","","","","","0","0","0","0"
"37","Rogie Vachon","26","TOT","29","","6","19","3","111","","","","4.15","0","1606","","","","","","0","0","0","0"
"38","Gilles Villemure","31","NYR","37","","24","7","4","74","","","","2.09","3","2129","","","","","","0","2","2","6"
"39","Ernie Wakely","31","STL","30","","8","18","2","92","","","","3.42","1","1614","","","","","","0","1","1","2"
"40","Dunc Wilson","23","VAN","53","","16","30","3","173","","","","3.62","1","2870","","","","","","0","0","0","15"
"41","Gump Worsley","42","MNS","34","","16","10","7","68","","","","2.12","2","1923","","","","","","0","1","1","2"
