rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Red Almas","26","CBH","1","","0","1","0","5","","","","5.00","0","60","","","","","","0","0","0","0"
"2","Turk Broda","36","TOR","31","","14","11","5","68","","","","2.23","6","1827","","","","","","0","0","0","4"
"3","Emile Francis","24","NYR","5","","1","1","2","14","","","","3.23","0","260","","","","","","0","0","0","0"
"4","Jack Gelineau","26","BOS","70","","22","30","18","197","","","","2.81","4","4200","","","","","","0","0","0","4"
"5","Harry Lumley","24","CBH","64","","12","41","10","246","","","","3.90","3","3785","","","","","","0","0","0","4"
"6","Gerry McNeil","24","MTL","70","","25","30","15","184","","","","2.63","6","4200","","","","","","0","0","0","0"
"7","Marcel Pelletier","23","CBH","6","","1","5","0","29","","","","4.90","0","355","","","","","","0","0","0","2"
"8","Chuck Rayner","30","NYR","66","","19","28","19","187","","","","2.85","2","3940","","","","","","0","0","0","6"
"9","Al Rollins","24","TOR","40","","27","5","8","70","","","","1.77","5","2373","","","","","","0","0","0","0"
"10","Terry Sawchuk","21","DET","70","","44","13","13","139","","","","1.99","11","4200","","","","","","0","0","0","2"
