rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1"0,"Montreal Canadiens"1,"MTL","76"2,"46"3,"19"4,"11"5,"103"6,".678"7,"271"8,"202"9,"0.91"10,"0.00"11,"6.22"12,"43"13,"243"14,"17.70"15,"40"16,"233"17,"82.83"18,"2"19,"4"20,"2728"21,"9.9"22,""23,""24,""
"2"0,"Boston Bruins"1,"BOS","76"2,"42"3,"18"4,"16"5,"100"6,".658"7,"303"8,"221"9,"1.06"10,"-0.02"11,"6.89"12,"60"13,"266"14,"22.56"15,"54"16,"351"17,"84.62"18,"13"19,"4"20,"2590"21,"11.7"22,""23,""24,""
"3"0,"New York Rangers"1,"NYR","76"2,"41"3,"26"4,"9"5,"91"6,".599"7,"231"8,"196"9,"0.50"10,"0.04"11,"5.62"12,"56"13,"275"14,"20.36"15,"35"16,"223"17,"84.30"18,"4"19,"9"20,"2846"21,"8.1"22,""23,""24,""
"4"0,"St. Louis Blues"1,"STL","76"2,"37"3,"25"4,"14"5,"88"6,".579"7,"204"8,"157"9,"0.48"10,"-0.14"11,"4.75"12,"38"13,"250"14,"15.20"15,"45"16,"242"17,"81.40"18,"4"19,"6"20,"2181"21,"9.4"22,""23,""24,""
"5"0,"Toronto Maple Leafs"1,"TOR","76"2,"35"3,"26"4,"15"5,"85"6,".559"7,"234"8,"217"9,"0.29"10,"0.06"11,"5.93"12,"45"13,"278"14,"16.19"15,"46"16,"294"17,"84.35"18,"11"19,"5"20,"2470"21,"9.5"22,""23,""24,""
"6"0,"Detroit Red Wings"1,"DET","76"2,"33"3,"31"4,"12"5,"78"6,".513"7,"239"8,"221"9,"0.30"10,"0.06"11,"6.05"12,"40"13,"230"14,"17.39"15,"61"16,"298"17,"79.53"18,"7"19,"4"20,"2493"21,"9.6"22,""23,""24,""
"7"0,"Chicago Black Hawks"1,"CBH","76"2,"34"3,"33"4,"9"5,"77"6,".507"7,"280"8,"246"9,"0.49"10,"0.04"11,"6.92"12,"56"13,"280"14,"20.00"15,"50"16,"274"17,"81.75"18,"9"19,"3"20,"2575"21,"10.9"22,""23,""24,""
"8"0,"Oakland Seals"1,"OAK","76"2,"29"3,"36"4,"11"5,"69"6,".454"7,"219"8,"251"9,"-0.47"10,"-0.05"11,"6.18"12,"44"13,"286"14,"15.38"15,"42"16,"226"17,"81.42"18,"3"19,"5"20,"2250"21,"9.7"22,""23,""24,""
"9"0,"Philadelphia Flyers"1,"PHI","76"2,"20"3,"35"4,"21"5,"61"6,".401"7,"174"8,"225"9,"-0.69"10,"-0.02"11,"5.25"12,"40"13,"263"14,"15.21"15,"44"16,"286"17,"84.62"18,"6"19,"8"20,"2183"21,"8.0"22,""23,""24,""
"10"0,"Los Angeles Kings"1,"LAK","76"2,"24"3,"42"4,"10"5,"58"6,".382"7,"185"8,"260"9,"-0.98"10,"0.01"11,"5.86"12,"31"13,"241"14,"12.86"15,"53"16,"254"17,"79.13"18,"2"19,"7"20,"2423"21,"7.6"22,""23,""24,""
"11"0,"Minnesota North Stars"1,"MNS","76"2,"18"3,"43"4,"15"5,"51"6,".336"7,"189"8,"270"9,"-1.05"10,"0.02"11,"6.04"12,"47"13,"246"14,"19.11"15,"41"16,"249"17,"83.53"18,"3"19,"8"20,"2340"21,"8.1"22,""23,""24,""
"12"0,"Pittsburgh Penguins"1,"PIT","76"2,"20"3,"45"4,"11"5,"51"6,".336"7,"189"8,"252"9,"-0.84"10,"-0.01"11,"5.80"12,"50"13,"303"14,"16.50"15,"39"16,"231"17,"83.12"18,"8"19,"9"20,"2231"21,"8.5"22,""23,""24,""
