rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Garry Bauman","28","MNS","7","","0","2","1","22","","","","4.34","0","304","","","","","","0","0","0","0"
"2","Les Binkley","34","PIT","50","","10","31","8","158","","","","3.29","0","2885","","","","","","0","0","0","0"
"3","Johnny Bower","44","TOR","20","","5","4","3","37","","","","2.85","2","779","","","","","","0","0","0","0"
"4","Jacques Caron","28","LAK","3","","0","1","0","9","","","","3.86","0","140","","","","","","0","0","0","0"
"5","Gerry Cheevers","28","BOS","52","","28","12","12","145","","","","2.80","3","3112","","","","","","0","0","0","14"
"6","Roger Crozier","26","DET","38","","12","16","3","101","","","","3.33","0","1820","","","","","","0","0","0","0"
"7","Joe Daley","25","PIT","29","","10","13","3","87","","","","3.23","2","1615","","","","","","0","0","0","2"
"8","Denis DeJordy","30","CBH","53","","22","22","7","156","","","","3.14","2","2981","","","","","","0","1","1","2"
"9","Gerry Desjardins","24","LAK","60","","18","34","6","190","","","","3.26","4","3499","","","","","","0","1","1","6"
"10","Dave Dryden","27","CBH","30","","11","11","2","79","","","","3.20","3","1479","","","","","","0","1","1","0"
"11","Gary Edwards","21","STL","1","","0","0","0","0","","","","0.00","0","4","","","","","","0","0","0","0"
"12","Marv Edwards","33","PIT","1","","0","1","0","3","","","","3.00","0","60","","","","","","0","0","0","0"
"13","Roy Edwards","31","DET","40","","18","11","6","89","","","","2.54","4","2099","","","","","","0","0","0","0"
"14","Tony Esposito","25","MTL","13","","5","4","4","34","","","","2.73","2","746","","","","","","0","0","0","0"
"15","Doug Favell","23","PHI","21","","3","12","5","71","","","","3.56","1","1195","","","","","","0","0","0","4"
"16","Bruce Gamble","30","TOR","61","","28","20","11","161","","","","2.80","3","3446","","","","","","0","0","0","2"
"17","Ed Giacomin","29","NYR","70","","37","23","7","175","","","","2.55","7","4114","","","","","","0","0","0","2"
"18","Glenn Hall","37","STL","41","","19","12","8","85","","","","2.17","8","2354","","","","","","0","2","2","20"
"19","Charlie Hodge","35","OAK","14","","4","6","1","48","","","","3.69","0","781","","","","","","0","0","0","0"
"20","Robbie Irons","22","STL","1","","0","0","0","0","","","","0.00","0","3","","","","","","0","0","0","0"
"21","Eddie Johnston","33","BOS","24","","14","6","4","74","","","","3.08","2","1440","","","","","","0","1","1","0"
"22","Joe Junkin","22","BOS","1","","0","0","0","0","","","","0.00","0","8","","","","","","0","0","0","0"
"23","Cesare Maniago","30","MNS","64","","18","34","10","198","","","","3.30","1","3599","","","","","","0","0","0","12"
"24","Jack Norris","26","CBH","3","","1","0","0","10","","","","6.00","0","100","","","","","","0","0","0","0"
"25","Ted Ouimet","21","STL","1","","0","1","0","2","","","","2.00","0","60","","","","","","0","0","0","0"
"26","Bernie Parent","23","PHI","58","","17","23","16","151","","","","2.69","1","3365","","","","","","0","0","0","4"
"27","Jacques Plante","40","STL","37","","18","12","6","70","","","","1.96","5","2139","","","","","","0","0","0","2"
"28","Fern Rivard","23","MNS","13","","0","7","4","48","","","","4.38","0","657","","","","","","0","0","0","0"
"29","Wayne Rutledge","27","LAK","17","","6","7","4","56","","","","3.65","0","921","","","","","","0","0","0","2"
"30","Terry Sawchuk","39","DET","13","","3","4","3","28","","","","2.62","0","641","","","","","","0","0","0","0"
"31","Don Simmons","37","NYR","5","","2","2","1","8","","","","2.33","0","206","","","","","","0","0","0","0"
"32","Al Smith","23","TOR","7","","2","2","1","16","","","","2.87","0","335","","","","","","0","0","0","0"
"33","Gary Smith","24","OAK","54","","21","24","7","148","","","","2.97","4","2993","","","","","","0","2","2","7"
"34","Rogie Vachon","23","MTL","36","","22","9","3","98","","","","2.87","2","2051","","","","","","0","0","0","2"
"35","Gilles Villemure","28","NYR","4","","2","1","1","9","","","","2.25","0","240","","","","","","0","0","0","0"
"36","Ernie Wakely","28","MTL","1","","0","1","0","4","","","","4.00","0","60","","","","","","0","0","0","0"
"37","Gump Worsley","39","MTL","30","","19","5","4","64","","","","2.25","5","1703","","","","","","0","0","0","0"
"38","Chris Worthy","21","OAK","14","","4","6","3","54","","","","4.12","0","786","","","","","","0","0","0","2"
