rank,player,age,teamName,position,gamesPlayed,goals,assists,points,plusMinus,penaltyMinutes,evenStrengthGoals,powerPlayGoals,shortHandedGoals,gameWinningPoints,evenStrengthAssists,powerPlayAssits,shortHandedAssists,shots,shootingPercentage,timeOnIce,averageTimeOnIce
"1","Tom Anderson","24","DET","LW/D","27","5","2","7","","16","","","","","","","","","","",""
"2","Oscar Asmundson","26","TOT","C","14","4","7","11","","2","","","","","","","","","","",""
"3","Larry Aurie","29","DET","RW","48","17","29","46","","24","","","","","","","","","","",""
"4","Vern Ayres","25","STE","D","47","2","2","4","","60","","","","","","","","","","",""
"5","Marty Barry","29","BOS","C","48","20","20","40","","33","","","","","","","","","","",""
"6","Red Beattie","27","BOS","LW/D","48","9","18","27","","27","","","","","","","","","","",""
"7","Andy Blair","26","TOR","C","45","6","14","20","","22","","","","","","","","","","",""
"8","Mickey Blake","22","STE","D","8","1","1","2","","2","","","","","","","","","","",""
"9","Toe Blake","22","MTM","LW","8","0","0","0","","0","","","","","","","","","","",""
"10","Russ Blinco","26","MTM","C","48","13","14","27","","4","","","","","","","","","","",""
"11","Buzz Boll","23","TOR","LW","47","14","4","18","","4","","","","","","","","","","",""
"12","Frank Boucher","33","NYR","C","48","13","32","45","","2","","","","","","","","","","",""
"13","Leo Bourgeault","32","MTL","RW/D","4","0","0","0","","0","","","","","","","","","","",""
"14","Ralph Bowman","23","TOT","D","44","3","5","8","","72","","","","","","","","","","",""
"15","Irwin Boyd","26","DET","RW","42","2","3","5","","14","","","","","","","","","","",""
"16","Bill Brydge","33","NYA","D","47","2","6","8","","29","","","","","","","","","","",""
"17","Glenn Brydson","24","STE","RW","48","11","18","29","","45","","","","","","","","","","",""
"18","Eddie Burke","27","NYA","W","29","4","10","14","","15","","","","","","","","","","",""
"19","Marty Burke","30","CBH","D","47","2","2","4","","29","","","","","","","","","","",""
"20","Walt Buswell","27","DET","D","47","1","3","4","","32","","","","","","","","","","",""
"21","Herb Cain","22","MTM","LW","44","20","7","27","","13","","","","","","","","","","",""
"22","Lorne Carr","24","NYA","RW","48","17","14","31","","14","","","","","","","","","","",""
"23","Gene Carrigan","27","STE","C","4","0","1","1","","0","","","","","","","","","","",""
"24","Gerry Carson","29","MTL","D","48","0","5","5","","56","","","","","","","","","","",""
"25","Art Chapman","28","NYA","C","47","9","34","43","","4","","","","","","","","","","",""
"26","King Clancy","31","TOR","D","47","5","16","21","","53","","","","","","","","","","",""
"27","Dit Clapper","27","BOS","RW/D","48","21","16","37","","21","","","","","","","","","","",""
"28","Norm Collings","24","MTL","RW","1","0","1","1","","0","","","","","","","","","","",""
"29","Lionel Conacher","33","MTM","D","38","2","6","8","","44","","","","","","","","","","",""
"30","Red Conn","30","NYA","D","48","5","11","16","","10","","","","","","","","","","",""
"31","Bert Connelly","25","NYR","C","47","10","11","21","","23","","","","","","","","","","",""
"32","Bill Cook","38","NYR","RW","48","21","15","36","","23","","","","","","","","","","",""
"33","Bud Cook","27","STE","C","4","0","0","0","","0","","","","","","","","","","",""
"34","Bun Cook","31","NYR","RW","48","13","21","34","","26","","","","","","","","","","",""
"35","Tom Cook","27","CBH","C","48","13","18","31","","33","","","","","","","","","","",""
"36","Baldy Cotton","32","TOR","LW","47","11","14","25","","36","","","","","","","","","","",""
"37","Art Coulter","25","CBH","D","48","4","8","12","","68","","","","","","","","","","",""
"38","Rosie Couture","29","CBH","RW","27","7","9","16","","14","","","","","","","","","","",""
"39","Bill Cowley","22","STE","C","41","5","7","12","","10","","","","","","","","","","",""
"40","Nels Crutchfield","23","MTL","C","41","5","5","10","","20","","","","","","","","","","",""
"41","Bob Davidson","22","TOR","LW","5","0","0","0","","6","","","","","","","","","","",""
"42","Bob Davie","22","BOS","D","30","0","1","1","","17","","","","","","","","","","",""
"43","Hap Day","33","TOR","LW/D","45","2","4","6","","38","","","","","","","","","","",""
"44","Cecil Dillon","26","NYR","RW","48","25","9","34","","4","","","","","","","","","","",""
"45","Ken Doraty","28","TOR","RW","11","1","4","5","","0","","","","","","","","","","",""
"46","Polly Drouin","19","MTL","LW","4","0","0","0","","0","","","","","","","","","","",""
"47","Lorne Duguid","24","DET","LW","34","3","3","6","","9","","","","","","","","","","",""
"48","Red Dutton","36","NYA","D","48","3","7","10","","46","","","","","","","","","","",""
"49","Hap Emms","30","TOT","LW/D","39","3","3","6","","27","","","","","","","","","","",""
"50","Stewart Evans","26","MTM","D","46","5","7","12","","54","","","","","","","","","","",""
"51","Ed Finnigan","21","STE","F","12","1","1","2","","2","","","","","","","","","","",""
"52","Frank Finnigan","31","TOT","RW","45","7","5","12","","12","","","","","","","","","","",""
"53","Yip Foster","27","DET","D","12","2","0","2","","8","","","","","","","","","","",""
"54","Irv Frew","27","STE","D","48","0","2","2","","89","","","","","","","","","","",""
"55","Johnny Gagnon","29","TOT","RW","47","2","6","8","","11","","","","","","","","","","",""
"56","Dutch Gainor","30","MTM","LW","35","0","4","4","","2","","","","","","","","","","",""
"57","Art Giroux","26","BOS","RW","10","1","0","1","","0","","","","","","","","","","",""
"58","Leroy Goldsworthy","28","TOT","RW","40","20","9","29","","15","","","","","","","","","","",""
"59","Ebbie Goodfellow","27","DET","C/D","48","12","24","36","","44","","","","","","","","","","",""
"60","Johnny Gottselig","29","CBH","LW","48","19","18","37","","16","","","","","","","","","","",""
"61","Bob Gracie","24","TOT","C/LW","46","12","9","21","","15","","","","","","","","","","",""
"62","Ted Graham","29","TOT","D","37","0","2","2","","28","","","","","","","","","","",""
"63","Lloyd Gross","29","DET","LW","6","1","0","1","","2","","","","","","","","","","",""
"64","Paul Haynes","24","TOT","C","48","5","5","10","","8","","","","","","","","","","",""
"65","Ott Heller","24","NYR","D","47","3","11","14","","31","","","","","","","","","","",""
"66","Fred Hergerts","22","NYA","C","19","2","4","6","","2","","","","","","","","","","",""
"67","Obs Heximer","24","NYA","RW","17","5","2","7","","0","","","","","","","","","","",""
"68","Normie Himes","31","NYA","C","40","5","13","18","","2","","","","","","","","","","",""
"69","Flash Hollett","22","TOR","D","48","10","16","26","","38","","","","","","","","","","",""
"70","Red Horner","25","TOR","D","46","4","8","12","","125","","","","","","","","","","",""
"71","Syd Howe","23","TOT","LW/C","50","22","25","47","","34","","","","","","","","","","",""
"72","Art Jackson","19","TOR","C","20","1","3","4","","4","","","","","","","","","","",""
"73","Busher Jackson","24","TOR","LW","42","22","22","44","","27","","","","","","","","","","",""
"74","Walter Jackson","26","NYA","F","1","0","0","0","","0","","","","","","","","","","",""
"75","Roger Jenkins","23","MTL","RW/D","45","4","6","10","","63","","","","","","","","","","",""
"76","Frank Jerwa","25","TOT","C","21","4","7","11","","14","","","","","","","","","","",""
"77","Ching Johnson","36","NYR","D","29","2","3","5","","34","","","","","","","","","","",""
"78","Aurele Joliat","33","MTL","LW","48","17","12","29","","18","","","","","","","","","","",""
"79","Walter Kalbfleisch","23","STE","D","3","0","0","0","","6","","","","","","","","","","",""
"80","Max Kaminsky","21","TOT","C","50","12","15","27","","4","","","","","","","","","","",""
"81","Butch Keeling","29","NYR","C/LW","47","15","4","19","","14","","","","","","","","","","",""
"82","Pep Kelly","21","TOR","RW","47","11","8","19","","14","","","","","","","","","","",""
"83","Pete Kelly","21","STE","RW","25","3","10","13","","14","","","","","","","","","","",""
"84","Bill Kendall","24","CBH","RW","47","6","4","10","","16","","","","","","","","","","",""
"85","Ernest Kenny","27","CBH","D","4","0","0","0","","18","","","","","","","","","","",""
"86","Hec Kilrea","27","TOR","LW","46","11","13","24","","16","","","","","","","","","","",""
"87","Wally Kilrea","25","DET","C","3","0","0","0","","0","","","","","","","","","","",""
"88","Lloyd Klein","25","NYA","RW","29","7","3","10","","9","","","","","","","","","","",""
"89","Joe Lamb","28","TOT","C/RW","38","14","14","28","","23","","","","","","","","","","",""
"90","Wildor Larochelle","28","MTL","RW","48","9","19","28","","12","","","","","","","","","","",""
"91","Albert Leduc","32","MTL","D","4","0","0","0","","4","","","","","","","","","","",""
"92","Pit Lepine","33","MTL","C","48","12","19","31","","16","","","","","","","","","","",""
"93","Alex Levinsky","24","TOT","D","43","3","8","11","","22","","","","","","","","","","",""
"94","Herbie Lewis","28","DET","LW","47","16","27","43","","26","","","","","","","","","","",""
"95","Norm Locking","23","CBH","LW","35","2","5","7","","19","","","","","","","","","","",""
"96","Bill MacKenzie","23","TOT","D","20","1","0","1","","10","","","","","","","","","","",""
"97","Georges Mantha","26","MTL","LW","42","12","10","22","","14","","","","","","","","","","",""
"98","Sylvio Mantha","32","MTL","D","47","3","11","14","","36","","","","","","","","","","",""
"99","Mush March","26","CBH","RW","48","13","17","30","","48","","","","","","","","","","",""
"100","Gus Marker","27","MTM","RW","44","11","4","15","","18","","","","","","","","","","",""
"101","Charley Mason","22","NYR","RW/LW","46","5","9","14","","14","","","","","","","","","","",""
"102","Bob McCulley","22","MTL","F","1","0","0","0","","0","","","","","","","","","","",""
"103","Bucko McDonald","20","DET","D","15","1","2","3","","8","","","","","","","","","","",""
"104","Don McFadyen","27","CBH","F","37","2","5","7","","4","","","","","","","","","","",""
"105","Jack McGill","24","MTL","W","44","9","1","10","","34","","","","","","","","","","",""
"106","Bert McInenly","28","BOS","D","33","2","1","3","","24","","","","","","","","","","",""
"107","Sammy McManus","23","MTM","LW","25","0","1","1","","8","","","","","","","","","","",""
"108","Charley McVeigh","36","NYA","RW","47","7","11","18","","4","","","","","","","","","","",""
"109","Nick Metz","20","TOR","C/LW","18","2","2","4","","4","","","","","","","","","","",""
"110","Bill Miller","26","MTM","D","22","3","0","3","","2","","","","","","","","","","",""
"111","Ron Moffat","29","DET","F","8","0","0","0","","0","","","","","","","","","","",""
"112","Armand Mondou","29","MTL","LW/C","46","9","15","24","","6","","","","","","","","","","",""
"113","Howie Morenz","32","CBH","C","48","8","26","34","","21","","","","","","","","","","",""
"114","Alex Motter","21","BOS","C/D","3","0","0","0","","0","","","","","","","","","","",""
"115","Murray Murdoch","30","NYR","C/LW","48","14","15","29","","14","","","","","","","","","","",""
"116","Allan Murray","26","NYA","D","43","2","1","3","","36","","","","","","","","","","",""
"117","Baldy Northcott","26","MTM","LW","47","9","14","23","","44","","","","","","","","","","",""
"118","Jim O'Neil","21","BOS","RW/C","48","2","11","13","","35","","","","","","","","","","",""
"119","Harry Oliver","36","NYA","RW","47","7","9","16","","4","","","","","","","","","","",""
"120","Lynn Patrick","22","NYR","LW","48","9","13","22","","17","","","","","","","","","","",""
"121","George Patterson","28","TOT","RW","28","0","1","1","","2","","","","","","","","","","",""
"122","Gord Pettinger","23","DET","LW/C","13","2","3","5","","2","","","","","","","","","","",""
"123","Jack Portland","22","TOT","D","20","1","1","2","","4","","","","","","","","","","",""
"124","Joe Primeau","29","TOR","C","37","10","20","30","","16","","","","","","","","","","",""
"125","Fido Purpur","20","STE","RW","25","1","2","3","","8","","","","","","","","","","",""
"126","Jean Pusie","24","BOS","D","4","1","0","1","","0","","","","","","","","","","",""
"127","Paul Raymond","21","MTL","RW","20","1","1","2","","0","","","","","","","","","","",""
"128","Jack Riley","24","MTL","C","47","4","11","15","","4","","","","","","","","","","",""
"129","Vic Ripley","28","TOT","C","35","1","7","8","","10","","","","","","","","","","",""
"130","Earl Robinson","27","MTM","RW","48","17","18","35","","23","","","","","","","","","","",""
"131","Des Roche","25","TOT","RW","27","3","1","4","","10","","","","","","","","","","",""
"132","Earl Roche","24","TOT","LW","32","6","6","12","","2","","","","","","","","","","",""
"133","Doc Romnes","26","CBH","LW/C","35","10","14","24","","8","","","","","","","","","","",""
"134","Paul Runge","26","MTL","LW","3","0","0","0","","2","","","","","","","","","","",""
"135","Charlie Sands","23","BOS","C/RW","41","15","12","27","","0","","","","","","","","","","",""
"136","Tony Savage","28","TOT","D","49","1","5","6","","6","","","","","","","","","","",""
"137","Sweeney Schriner","23","NYA","LW","48","18","22","40","","6","","","","","","","","","","",""
"138","Earl Seibert","23","NYR","D","48","6","19","25","","86","","","","","","","","","","",""
"139","Gerry Shannon","24","TOT","LW","42","3","3","6","","15","","","","","","","","","","",""
"140","Al Shields","27","MTM","D","42","4","8","12","","45","","","","","","","","","","",""
"141","Jack Shill","22","BOS","LW/C","45","4","4","8","","22","","","","","","","","","","",""
"142","Eddie Shore","32","BOS","D","48","7","26","33","","32","","","","","","","","","","",""
"143","Babe Siebert","31","BOS","LW/D","48","6","18","24","","80","","","","","","","","","","",""
"144","Alex Smith","32","NYA","D","48","3","8","11","","46","","","","","","","","","","",""
"145","Hooley Smith","32","MTM","C","46","5","22","27","","41","","","","","","","","","","",""
"146","Art Somers","33","NYR","LW","41","0","5","5","","4","","","","","","","","","","",""
"147","John Sorrell","29","DET","LW","47","20","16","36","","12","","","","","","","","","","",""
"148","Harold Starr","28","NYR","D","33","1","1","2","","31","","","","","","","","","","",""
"149","Wilf Starr","25","DET","LW","24","1","1","2","","0","","","","","","","","","","",""
"150","Nels Stewart","32","BOS","C","47","21","18","39","","45","","","","","","","","","","",""
"151","Paul Thompson","28","CBH","LW","48","16","23","39","","20","","","","","","","","","","",""
"152","Bill Thoms","24","TOR","D","47","9","13","22","","15","","","","","","","","","","",""
"153","Dave Trottier","28","MTM","LW","34","10","9","19","","22","","","","","","","","","","",""
"154","Lou Trudel","22","CBH","LW","47","11","11","22","","28","","","","","","","","","","",""
"155","Carl Voss","28","STE","C","48","13","18","31","","14","","","","","","","","","","",""
"156","Jimmy Ward","28","MTM","RW","41","9","6","15","","24","","","","","","","","","","",""
"157","Nick Wasnie","31","STE","RW","13","3","1","4","","2","","","","","","","","","","",""
"158","Aubrey Webster","22","MTM","F","4","0","0","0","","0","","","","","","","","","","",""
"159","Cooney Weiland","30","DET","C","48","13","25","38","","10","","","","","","","","","","",""
"160","Cy Wentworth","30","MTM","D","48","4","9","13","","28","","","","","","","","","","",""
"161","Art Wiebe","22","CBH","D","42","2","1","3","","27","","","","","","","","","","",""
"162","Archie Wilcox","31","STE","D","8","0","0","0","","0","","","","","","","","","","",""
"163","Burr Williams","25","TOT","D","16","0","0","0","","12","","","","","","","","","","",""
"164","Eddie Wiseman","22","DET","RW","39","11","13","24","","14","","","","","","","","","","",""
"165","Doug Young","26","DET","D","48","4","6","10","","37","","","","","","","","","","",""
