rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Andy Aitkenhead","30","NYR","10","","3","7","0","37","","","","3.64","1","610","","","","","","0","0","0","0"
"2","Bill Beveridge","25","STE","48","","11","31","6","144","","","","2.89","3","2990","","","","","","0","0","0","0"
"3","Lorne Chabot","34","CBH","48","","26","17","5","88","","","","1.80","8","2940","","","","","","0","0","0","0"
"4","Charlie Conacher","25","TOR","1","","0","0","0","0","","","","0.00","0","3","","","","","","36","21","57","24"
"5","Alec Connell","32","MTM","48","","24","19","5","92","","","","1.86","9","2970","","","","","","0","0","0","0"
"6","Wilf Cude","24","MTL","48","","19","23","6","145","","","","2.94","1","2960","","","","","","0","0","0","0"
"7","George Hainsworth","39","TOR","48","","30","14","4","111","","","","2.25","8","2957","","","","","","0","0","0","0"
"8","Percy Jackson","27","NYR","1","","0","1","0","8","","","","8.00","0","60","","","","","","0","0","0","0"
"9","Dave Kerr","25","NYR","37","","19","12","6","94","","","","2.46","4","2290","","","","","","0","0","0","0"
"10","John Ross Roach","34","DET","23","","7","11","5","62","","","","2.55","4","1460","","","","","","0","0","0","0"
"11","Normie Smith","26","DET","25","","12","11","2","52","","","","2.01","2","1550","","","","","","0","0","0","0"
"12","Tiny Thompson","31","BOS","48","","26","16","6","112","","","","2.26","8","2970","","","","","","0","0","0","0"
"13","Roy Worters","34","NYA","48","","12","27","9","142","","","","2.84","3","3000","","","","","","0","0","0","0"
