rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1","Toronto Maple Leafs","TOR","48","30","14","4","64",".667","157","111","0.85","-0.11","5.58","","","","","","","","","","","","",""
"2","Boston Bruins","BOS","48","26","16","6","58",".604","129","112","0.31","-0.04","5.02","","","","","","","","","","","","",""
"3","Chicago Black Hawks","CBH","48","26","17","5","57",".594","118","88","0.56","-0.07","4.29","","","","","","","","","","","","",""
"4","Montreal Maroons","MTM","48","24","19","5","53",".552","123","92","0.57","-0.07","4.48","","","","","","","","","","","","",""
"5","New York Rangers","NYR","48","22","20","6","50",".521","137","139","-0.04","0.00","5.75","","","","","","","","","","","","",""
"6","Detroit Red Wings","DET","48","19","22","7","45",".469","127","114","0.24","-0.03","5.02","","","","","","","","","","","","",""
"7","Montreal Canadiens","MTL","48","19","23","6","44",".458","110","145","-0.65","0.08","5.31","","","","","","","","","","","","",""
"8","New York Americans","NYA","48","12","27","9","33",".344","100","142","-0.78","0.10","5.04","","","","","","","","","","","","",""
"9","St. Louis Eagles","STE","48","11","31","6","28",".292","86","144","-1.08","0.13","4.79","","","","","","","","","","","","",""
