rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Bill Beveridge","28","MTM","48","","12","30","6","149","","","","3.00","2","2980","","","","","","0","0","0","0"
"2","Turk Broda","23","TOR","48","","24","15","9","127","","","","2.56","6","2980","","","","","","0","0","0","0"
"3","Wilf Cude","27","MTL","47","","18","17","12","126","","","","2.53","3","2990","","","","","","0","0","0","0"
"4","Jimmy Franks","23","DET","1","","1","0","0","3","","","","3.00","0","60","","","","","","0","0","0","0"
"5","Paul Gauthier","22","MTL","1","","0","0","1","2","","","","1.71","0","70","","","","","","0","0","0","0"
"6","Mike Karakas","26","CBH","48","","14","25","9","139","","","","2.80","1","2980","","","","","","0","0","0","0"
"7","Dave Kerr","28","NYR","48","","27","15","6","96","","","","1.95","8","2960","","","","","","0","0","0","0"
"8","Earl Robertson","27","NYA","48","","19","18","11","111","","","","2.22","6","3000","","","","","","0","0","0","0"
"9","Normie Smith","29","DET","47","","11","25","11","130","","","","2.66","3","2930","","","","","","0","0","0","0"
"10","Tiny Thompson","34","BOS","48","","30","11","7","89","","","","1.80","7","2970","","","","","","0","0","0","0"
