rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1"0,"Boston Bruins"1,"BOS","48"2,"30"3,"11"4,"7"5,"67"6,".698"7,"142"8,"89"9,"0.97"10,"-0.14"11,"4.81"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"2"0,"New York Rangers"1,"NYR","48"2,"27"3,"15"4,"6"5,"60"6,".625"7,"149"8,"96"9,"0.97"10,"-0.14"11,"5.10"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"3"0,"Toronto Maple Leafs"1,"TOR","48"2,"24"3,"15"4,"9"5,"57"6,".594"7,"151"8,"127"9,"0.41"10,"-0.09"11,"5.79"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"4"0,"Montreal Canadiens"1,"MTL","48"2,"18"3,"17"4,"13"5,"49"6,".510"7,"123"8,"128"9,"-0.11"10,"-0.01"11,"5.23"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"5"0,"New York Americans"1,"NYA","48"2,"19"3,"18"4,"11"5,"49"6,".510"7,"110"8,"111"9,"-0.04"10,"-0.02"11,"4.60"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"6"0,"Chicago Black Hawks"1,"CBH","48"2,"14"3,"25"4,"9"5,"37"6,".385"7,"97"8,"139"9,"-0.73"10,"0.15"11,"4.92"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"7"0,"Detroit Red Wings"1,"DET","48"2,"12"3,"25"4,"11"5,"35"6,".365"7,"99"8,"133"9,"-0.58"10,"0.12"11,"4.83"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"8"0,"Montreal Maroons"1,"MTM","48"2,"12"3,"30"4,"6"5,"30"6,".313"7,"101"8,"149"9,"-0.88"10,"0.12"11,"5.21"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
