rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1"0,"Montreal Canadiens"1,"MTL","80"2,"60"3,"8"4,"12"5,"132"6,".825"7,"387"8,"171"9,"2.54"10,"-0.16"11,"6.98"12,"59"13,"237"14,"24.89"15,"28"16,"231"17,"87.88"18,"5"19,"3"20,"2815"21,"13.7"22,""23,""24,""
"2"0,"Philadelphia Flyers"1,"PHI","80"2,"48"3,"16"4,"16"5,"112"6,".700"7,"323"8,"213"9,"1.27"10,"-0.10"11,"6.70"12,"52"13,"236"14,"22.03"15,"57"16,"326"17,"82.52"18,"11"19,"3"20,"2524"21,"12.8"22,""23,""24,""
"3"0,"New York Islanders"1,"NYI","80"2,"47"3,"21"4,"12"5,"106"6,".663"7,"288"8,"193"9,"1.12"10,"-0.07"11,"6.01"12,"56"13,"240"14,"23.33"15,"47"16,"278"17,"83.09"18,"16"19,"3"20,"2361"21,"12.2"22,""23,""24,""
"4"0,"Boston Bruins"1,"BOS","80"2,"49"3,"23"4,"8"5,"106"6,".663"7,"312"8,"240"9,"0.87"10,"-0.03"11,"6.90"12,"46"13,"217"14,"21.20"15,"41"16,"272"17,"84.93"18,"7"19,"10"20,"2404"21,"13.0"22,""23,""24,""
"5"0,"Buffalo Sabres"1,"BUF","80"2,"48"3,"24"4,"8"5,"104"6,".650"7,"301"8,"220"9,"1.00"10,"-0.02"11,"6.51"12,"60"13,"262"14,"22.90"15,"38"16,"274"17,"86.13"18,"6"19,"7"20,"2528"21,"11.9"22,""23,""24,""
"6"0,"Los Angeles Kings"1,"LAK","80"2,"34"3,"31"4,"15"5,"83"6,".519"7,"271"8,"241"9,"0.38"10,"0.00"11,"6.40"12,"68"13,"253"14,"26.88"15,"52"16,"284"17,"81.69"18,"6"19,"5"20,"2447"21,"11.1"22,""23,""24,""
"7"0,"Pittsburgh Penguins"1,"PIT","80"2,"34"3,"33"4,"13"5,"81"6,".506"7,"240"8,"252"9,"-0.11"10,"0.04"11,"6.15"12,"46"13,"263"14,"17.49"15,"47"16,"209"17,"77.51"18,"5"19,"6"20,"2352"21,"10.2"22,""23,""24,""
"8"0,"Toronto Maple Leafs"1,"TOR","80"2,"33"3,"32"4,"15"5,"81"6,".506"7,"301"8,"285"9,"0.23"10,"0.03"11,"7.33"12,"63"13,"281"14,"22.42"15,"59"16,"284"17,"79.23"18,"13"19,"6"20,"2537"21,"11.9"22,""23,""24,""
"9"0,"Atlanta Flames"1,"ATF","80"2,"34"3,"34"4,"12"5,"80"6,".500"7,"264"8,"265"9,"-0.01"10,"0.00"11,"6.61"12,"42"13,"214"14,"19.63"15,"50"16,"248"17,"79.84"18,"12"19,"6"20,"2499"21,"10.6"22,""23,""24,""
"10"0,"St. Louis Blues"1,"STL","80"2,"32"3,"39"4,"9"5,"73"6,".456"7,"239"8,"276"9,"-0.50"10,"-0.04"11,"6.44"12,"47"13,"249"14,"18.88"15,"47"16,"259"17,"81.85"18,"4"19,"7"20,"2402"21,"10.0"22,""23,""24,""
"11"0,"New York Rangers"1,"NYR","80"2,"29"3,"37"4,"14"5,"72"6,".450"7,"272"8,"310"9,"-0.43"10,"0.04"11,"7.28"12,"60"13,"290"14,"20.69"15,"55"16,"268"17,"79.48"18,"6"19,"16"20,"2775"21,"9.8"22,""23,""24,""
"12"0,"Minnesota North Stars"1,"MNS","80"2,"23"3,"39"4,"18"5,"64"6,".400"7,"240"8,"310"9,"-0.88"10,"-0.01"11,"6.88"12,"59"13,"339"14,"17.40"15,"57"16,"211"17,"72.99"18,"9"19,"11"20,"2231"21,"10.8"22,""23,""24,""
"13"0,"Chicago Black Hawks"1,"CBH","80"2,"26"3,"43"4,"11"5,"63"6,".394"7,"240"8,"298"9,"-0.74"10,"-0.02"11,"6.73"12,"59"13,"267"14,"22.10"15,"62"16,"282"17,"78.01"18,"4"19,"9"20,"2260"21,"10.6"22,""23,""24,""
"14"0,"Cleveland Barons"1,"CLE","80"2,"25"3,"42"4,"13"5,"63"6,".394"7,"240"8,"292"9,"-0.55"10,"0.10"11,"6.65"12,"59"13,"298"14,"19.80"15,"52"16,"237"17,"78.06"18,"2"19,"12"20,"2309"21,"10.4"22,""23,""24,""
"15"0,"Vancouver Canucks"1,"VAN","80"2,"25"3,"42"4,"13"5,"63"6,".394"7,"235"8,"294"9,"-0.75"10,"-0.02"11,"6.61"12,"50"13,"263"14,"19.01"15,"58"16,"258"17,"77.52"18,"7"19,"7"20,"2216"21,"10.6"22,""23,""24,""
"16"0,"Washington Capitals"1,"WSH","80"2,"24"3,"42"4,"14"5,"62"6,".388"7,"221"8,"307"9,"-0.97"10,"0.10"11,"6.60"12,"39"13,"293"14,"13.31"15,"62"16,"285"17,"78.25"18,"10"19,"14"20,"2085"21,"10.6"22,""23,""24,""
"17"0,"Colorado Rockies"1,"CLR","80"2,"20"3,"46"4,"14"5,"54"6,".338"7,"226"8,"307"9,"-1.01"10,"0.00"11,"6.66"12,"44"13,"274"14,"16.06"15,"61"16,"247"17,"75.30"18,"9"19,"7"20,"2284"21,"9.9"22,""23,""24,""
"18"0,"Detroit Red Wings"1,"DET","80"2,"16"3,"55"4,"9"5,"41"6,".256"7,"183"8,"309"9,"-1.44"10,"0.14"11,"6.15"12,"37"13,"294"14,"12.59"15,"73"16,"317"17,"76.97"18,"10"19,"10"20,"2198"21,"8.3"22,""23,""24,""
