rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1"0,"Ottawa Senators"1,"OTS","44"2,"30"3,"10"4,"4"5,"64"6,".727"7,"86"8,"69"9,"0.37"10,"-0.02"11,"3.52"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"2"0,"Montreal Canadiens"1,"MTL","44"2,"28"3,"14"4,"2"5,"58"6,".659"7,"99"8,"67"9,"0.67"10,"-0.06"11,"3.77"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"3"0,"New York Rangers"1,"NYR","44"2,"25"3,"13"4,"6"5,"56"6,".636"7,"95"8,"72"9,"0.43"10,"-0.09"11,"3.80"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"4"0,"Boston Bruins"1,"BOS","44"2,"21"3,"20"4,"3"5,"45"6,".511"7,"97"8,"89"9,"0.13"10,"-0.05"11,"4.23"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"5"0,"Montreal Maroons"1,"MTM","44"2,"20"3,"20"4,"4"5,"44"6,".500"7,"71"8,"68"9,"0.09"10,"0.02"11,"3.16"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"6"0,"Chicago Black Hawks"1,"CBH","44"2,"19"3,"22"4,"3"5,"41"6,".466"7,"115"8,"116"9,"-0.05"10,"-0.03"11,"5.25"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"7"0,"New York Americans"1,"NYA","44"2,"17"3,"25"4,"2"5,"36"6,".409"7,"82"8,"91"9,"-0.15"10,"0.05"11,"3.93"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"8"0,"Toronto Maple Leafs"1,"TOR","44"2,"15"3,"24"4,"5"5,"35"6,".398"7,"79"8,"94"9,"-0.27"10,"0.07"11,"3.93"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"9"0,"Pittsburgh Pirates"1,"PTP","44"2,"15"3,"26"4,"3"5,"33"6,".375"7,"79"8,"108"9,"-0.61"10,"0.05"11,"4.25"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"10"0,"Detroit Cougars"1,"DTC","44"2,"12"3,"28"4,"4"5,"28"6,".318"7,"76"8,"105"9,"-0.61"10,"0.05"11,"4.11"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
