rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Clint Benedict","34","MTM","43","","20","19","4","65","","","","1.42","13","2748","","","","","","0","0","0","0"
"2","Lorne Chabot","26","NYR","36","","22","9","5","56","","","","1.46","10","2307","","","","","","0","0","0","0"
"3","Alec Connell","24","OTS","44","","30","10","4","69","","","","1.49","13","2782","","","","","","0","0","0","2"
"4","Jake Forbes","29","NYA","44","","17","25","2","91","","","","2.01","8","2715","","","","","","0","0","0","0"
"5","George Hainsworth","31","MTL","44","","28","14","2","67","","","","1.47","14","2732","","","","","","0","0","0","0"
"6","Hap Holmes","38","DTC","41","","11","26","4","100","","","","2.23","6","2685","","","","","","0","0","0","0"
"7","Hugh Lehman","41","CBH","44","","19","22","3","116","","","","2.49","5","2797","","","","","","0","0","0","0"
"8","John Ross Roach","26","TOR","44","","15","24","5","94","","","","2.04","4","2764","","","","","","0","0","0","0"
"9","Charles Stewart","31","BOS","21","","9","11","1","49","","","","2.26","2","1303","","","","","","0","0","0","0"
"10","Herb Stuart","27","DTC","3","","1","2","0","5","","","","1.67","0","180","","","","","","0","0","0","0"
"11","Flat Walsh","29","MTM","1","","0","1","0","3","","","","3.00","0","60","","","","","","0","0","0","0"
"12","Hal Winkler","34","TOT","31","","15","13","3","56","","","","1.72","6","1959","","","","","","0","0","0","0"
"13","Roy Worters","26","PTP","44","","15","26","3","108","","","","2.39","4","2711","","","","","","0","0","0","0"
