rank,player,age,teamName,position,gamesPlayed,goals,assists,points,plusMinus,penaltyMinutes,evenStrengthGoals,powerPlayGoals,shortHandedGoals,gameWinningPoints,evenStrengthAssists,powerPlayAssits,shortHandedAssists,shots,shootingPercentage,timeOnIce,averageTimeOnIce
"1","Dave Amadio","28","LAK","D","58","4","6","10","-10","101","4","0","0","0","3","2","1","92","4.3","",""
"2","Jim Anderson","37","LAK","LW","7","1","2","3","-2","2","1","0","0","0","2","0","0","20","5.0","",""
"3","Ron Anderson","22","DET","RW","18","2","0","2","-4","13","2","0","0","0","0","0","0","21","9.5","",""
"4","Paul Andrea","26","PIT","RW","65","11","21","32","-2","2","6","5","0","1","12","9","0","92","12.0","",""
"5","Lou Angotti","30","PHI","C","70","12","37","49","4","35","10","2","0","1","28","7","2","146","8.2","",""
"6","Al Arbour","35","STL","D","74","1","10","11","-6","50","0","1","0","0","9","0","1","39","2.6","",""
"7","John Arbour","22","BOS","D","4","0","1","1","1","11","0","0","0","0","1","0","0","3","0.0","",""
"8","George Armstrong","37","TOR","RW","62","13","21","34","8","4","11","2","0","2","18","3","0","125","10.4","",""
"9","Ron Attwell","32","TOT","C","22","1","7","8","-9","8","0","1","0","0","5","2","0","31","3.2","",""
"10","Don Awrey","24","BOS","D","74","3","12","15","18","150","3","0","0","0","11","1","0","92","3.3","",""
"11","Ralph Backstrom","30","MTL","C","70","20","25","45","4","14","17","3","0","5","22","3","0","198","10.1","",""
"12","Terry Ball","23","PHI","D","1","0","0","0","-1","0","0","0","0","0","0","0","0","0","","",""
"13","Dave Balon","29","MNS","LW","73","15","32","47","-10","84","10","4","1","2","26","6","0","152","9.9","",""
"14","Andy Bathgate","35","PIT","RW","74","20","39","59","-11","55","18","2","0","4","25","14","0","293","6.8","",""
"15","Bob Baun","31","OAK","D","67","3","10","13","-18","81","3","0","0","0","6","4","0","80","3.8","",""
"16","Norm Beaudin","26","STL","RW","13","1","1","2","-4","4","0","1","0","0","0","1","0","9","11.1","",""
"17","Jean Beliveau","36","MTL","C","59","31","37","68","27","28","22","9","0","3","24","13","0","206","15.0","",""
"18","Red Berenson","28","TOT","LW","74","24","30","54","-9","24","17","7","0","7","21","6","3","244","9.8","",""
"19","Gary Bergman","29","DET","D","74","13","28","41","-1","109","6","5","2","3","21","7","0","165","7.9","",""
"20","Don Blackburn","29","PHI","LW","67","9","20","29","-2","23","8","1","0","2","16","4","0","157","5.7","",""
"21","Ron Boehm","24","OAK","LW","16","2","1","3","-5","10","1","1","0","0","1","0","0","18","11.1","",""
"22","Leo Boivin","35","PIT","D","73","9","13","22","-15","74","5","4","0","1","12","1","0","163","5.5","",""
"23","Andre Boudrias","24","MNS","C","74","18","35","53","-3","42","14","4","0","3","30","5","0","183","9.8","",""
"24","Wally Boyer","30","OAK","LW","74","13","20","33","0","44","12","1","0","0","18","2","0","142","9.2","",""
"25","John Brenneman","25","TOT","LW","40","10","10","20","-7","14","8","2","0","0","7","3","0","73","13.7","",""
"26","Arnie Brown","26","NYR","D","74","1","25","26","17","83","1","0","0","0","24","1","0","116","0.9","",""
"27","John Bucyk","32","BOS","LW","72","30","39","69","18","8","23","6","1","4","29","10","0","172","17.4","",""
"28","Charlie Burns","31","OAK","LW","73","9","26","35","-14","20","6","1","2","1","20","5","1","119","7.6","",""
"29","Mike Byers","21","TOR","RW","10","2","2","4","2","0","1","1","0","0","2","0","0","16","12.5","",""
"30","Larry Cahan","34","OAK","D","74","9","15","24","-29","80","4","5","0","1","9","6","0","161","5.6","",""
"31","Craig Cameron","22","STL","RW","32","7","2","9","2","8","7","0","0","1","1","1","0","43","16.3","",""
"32","Bryan Campbell","23","LAK","C","44","6","15","21","2","16","6","0","0","1","12","3","0","55","10.9","",""
"33","Claude Cardin","26","STL","LW","1","0","0","0","-1","0","0","0","0","0","0","0","0","1","0.0","",""
"34","Wayne Carleton","21","TOR","LW","65","8","11","19","5","34","8","0","0","1","10","1","0","140","5.7","",""
"35","Alain Caron","29","OAK","RW","58","9","13","22","-22","18","6","3","0","0","5","8","0","121","7.4","",""
"36","Dwight Carruthers","23","PHI","D","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"37","Wayne Cashman","22","BOS","LW","12","0","4","4","-5","2","0","0","0","0","3","1","0","12","0.0","",""
"38","Bob Charlebois","23","MNS","LW","7","1","0","1","-3","0","0","1","0","0","0","0","0","8","12.5","",""
"39","Terry Clancy","24","OAK","RW","7","0","0","0","-4","2","0","0","0","0","0","0","0","4","0.0","",""
"40","Bill Collins","24","MNS","RW","71","9","11","20","-16","41","9","0","0","1","7","4","0","114","7.9","",""
"41","Brian Conacher","26","TOR","LW","64","11","14","25","7","31","10","0","1","1","13","1","0","88","12.5","",""
"42","Wayne Connelly","28","MNS","RW","74","35","21","56","-32","40","21","14","0","8","10","11","0","258","13.6","",""
"43","Mike Corrigan","22","LAK","RW","5","0","0","0","-2","2","0","0","0","0","0","0","0","5","0.0","",""
"44","Yvan Cournoyer","24","MTL","RW","64","28","32","60","19","23","20","7","1","4","18","14","0","222","12.6","",""
