rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Craig Anderson","28","COL","71","71","38","25","7","186","2233","2047",".917","2.64","7","4235","41",".577","10","94","12.14","0","3","3","16"
"2","Alex Auld","29","TOT","24","20","9","7","3","64","610","546",".895","2.95","0","1300","8",".400","4","118","-9.87","0","2","2","2"
"3","Johan Backlund","28","PHI","1","1","0","1","0","2","24","22",".917","3.00","0","40","1","1.000","0","","","0","0","0","0"
"4","Niklas Backstrom","31","MIN","60","58","26","23","8","158","1632","1474",".903","2.72","2","3489","31",".534","13","109","-13.19","0","1","1","4"
"5","Jonathan Bernier","21","LAK","3","3","3","0","0","4","94","90",".957","1.30","1","185","2",".667","0","","","0","1","1","0"
"6","Martin Biron","32","NYI","29","26","9","14","4","89","859","770",".896","3.27","1","1634","9",".346","3","117","-12.78","0","1","1","2"
"7","Brian Boucher","33","PHI","33","26","9","18","3","80","796","716",".899","2.76","1","1742","15",".577","7","113","-9.37","0","1","1","2"
"8","Martin Brodeur","37","NJD","77","76","45","25","6","168","2004","1836",".916","2.24","9","4499","43",".566","14","94","9.82","0","3","3","6"
"9","Mike Brodeur","26","OTT","3","3","3","0","0","3","87","84",".966","1.00","1","180","3","1.000","0","","","0","0","0","0"
"10","Ilya Bryzgalov","29","PHX","69","68","42","20","6","156","1961","1805",".920","2.29","8","4084","43",".632","10","90","18.00","0","1","1","4"
"11","Peter Budaj","27","COL","15","11","5","5","2","32","386","354",".917","2.64","1","728","8",".727","1","93","2.25","0","1","1","0"
"12","Scott Clemmensen","32","FLA","23","20","9","8","2","59","668","609",".912","2.91","1","1215","10",".500","3","100","0.27","0","0","0","0"
"13","Matt Climie","26","DAL","1","1","0","1","0","5","38","33",".868","5.00","0","60","0",".000","0","","","0","0","0","0"
"14","Ty Conklin","33","STL","26","21","10","10","2","60","764","704",".921","2.48","4","1451","13",".619","2","89","7.79","0","1","1","4"
"15","Corey Crawford","25","CHI","1","1","0","1","0","3","35","32",".914","3.05","0","59","1","1.000","0","","","0","0","0","0"
"16","John Curry","25","PIT","1","1","0","1","0","5","14","9",".643","12.50","0","24","0",".000","1","","","0","0","0","0"
"17","Yann Danis","28","NJD","12","6","3","2","1","16","207","191",".923","2.06","0","467","3",".500","1","","","0","0","0","0"
"18","Jeff Deslauriers","25","EDM","48","47","16","28","4","152","1529","1377",".901","3.26","3","2798","21",".447","11","112","-16.33","0","3","3","8"
"19","Rick DiPietro","28","NYI","8","6","2","5","0","20","201","181",".900","2.60","1","462","3",".500","0","","","0","1","1","2"
"20","Wade Dubielewicz","31","MIN","3","1","1","1","0","5","34","29",".853","2.97","0","101","0",".000","1","","","0","0","0","0"
"21","Devan Dubnyk","23","EDM","19","16","4","10","2","64","579","515",".889","3.57","0","1075","5",".313","4","125","-12.62","0","0","0","0"
