rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Hardy Astrom","28","CLR","49","","9","27","6","161","","","","3.75","0","2574","","","","","","0","0","0","6"
"2","Steve Baker","22","NYR","27","","9","8","6","79","","","","3.41","1","1391","","","","","","0","0","0","2"
"3","Marco Baron","20","BOS","1","","0","0","0","2","","","","3.00","0","40","","","","","","0","0","0","0"
"4","Yves Belanger","27","BOS","8","","2","0","3","19","","","","3.48","0","328","","","","","","0","0","0","0"
"5","Dan Bouchard","29","ATF","53","","23","19","10","163","","","","3.18","2","3076","","","","","","0","1","1","34"
"6","Rollie Boutin","22","WSH","18","","7","7","1","54","","","","3.50","0","927","","","","","","0","1","1","6"
"7","Richard Brodeur","27","NYI","2","","1","0","0","6","","","","4.50","0","80","","","","","","0","0","0","0"
"8","Gary Bromley","30","VAN","15","","8","2","4","43","","","","3.00","1","860","","","","","","0","0","0","2"
"9","Gerry Cheevers","39","BOS","42","","24","11","7","116","","","","2.81","4","2479","","","","","","0","0","0","62"
"10","Jim Corsi","25","EDM","26","","8","14","3","83","","","","3.65","0","1366","","","","","","0","3","3","6"
"11","Jim Craig","22","ATF","4","","1","2","1","13","","","","3.79","0","206","","","","","","0","0","0","0"
"12","Jiri Crha","29","TOR","15","","8","7","0","50","","","","3.61","0","830","","","","","","0","0","0","4"
"13","Don Cutts","26","EDM","6","","1","2","1","16","","","","3.57","0","269","","","","","","0","0","0","6"
"14","John Davidson","26","NYR","41","","20","15","4","122","","","","3.17","2","2306","","","","","","0","2","2","2"
"15","Michel Dion","25","QUE","50","","15","25","6","171","","","","3.70","2","2773","","","","","","0","0","0","8"
"16","Dave Dryden","38","EDM","14","","2","7","3","53","","","","4.27","0","744","","","","","","0","0","0","0"
"17","Bob Dupuis","27","EDM","1","","0","1","0","4","","","","4.00","0","60","","","","","","0","0","0","0"
"18","Don Edwards","24","BUF","49","","27","9","12","125","","","","2.57","2","2920","","","","","","0","1","1","8"
"19","Gary Edwards","32","MNS","26","","9","7","10","82","","","","3.20","0","1539","","","","","","0","0","0","0"
"20","Tony Esposito","36","CBH","69","","31","22","16","205","","","","2.97","6","4140","","","","","","0","1","1","2"
"21","John Garrett","28","HAR","52","","16","24","11","202","","","","3.98","0","3046","","","","","","0","2","2","12"
"22","Gilles Gilbert","30","BOS","33","","20","9","3","88","","","","2.73","1","1933","","","","","","0","1","1","10"
"23","Ron Grahame","29","LAK","26","","9","11","4","98","","","","4.19","2","1405","","","","","","0","1","1","2"
"24","Doug Grant","31","STL","1","","0","0","0","1","","","","1.94","0","31","","","","","","0","0","0","0"
"25","Pierre Hamel","27","WIN","35","","9","19","3","130","","","","4.01","0","1947","","","","","","0","2","2","10"
"26","Glen Hanlon","22","VAN","57","","17","29","10","193","","","","3.47","0","3341","","","","","","0","1","1","43"
"27","Paul Harrison","24","TOR","30","","9","17","2","110","","","","4.42","0","1492","","","","","","0","1","1","4"
