rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Clint Benedict","32","MTM","30","","9","19","2","65","","","","2.12","2","1843","","","","","","0","0","0""2"
"2","King Clancy","21","OTS","1","","0","0","0","0","","","","0.00","0","2","","","","","","14","7","21""61"
"3","Alec Connell","22","OTS","30","","17","12","1","66","","","","2.14","7","1852","","","","","","0","0","0""2"
"4","Jake Forbes","27","HAM","30","","19","10","1","60","","","","1.96","6","1833","","","","","","0","0","0""2"
"5","Hec Fowler","32","BOS","7","","1","6","0","42","","","","6.16","0","409","","","","","","0","0","0""0"
"6","Howard Lockhart","29","BOS","2","","0","2","0","11","","","","5.50","0","120","","","","","","0","0","0""0"
"7","Dunc Munro","24","MTM","1","","0","0","0","0","","","","0.00","0","2","","","","","","5","1","6""16"
"8","George Redding","21","BOS","1","","0","0","0","1","","","","5.45","0","11","","","","","","3","2","5""10"
"9","John Ross Roach","24","TRS","30","","19","11","0","84","","","","2.80","1","1800","","","","","","0","0","0""0"
"10","Jesse Spring","24","HAM","1","","0","0","0","0","","","","0.00","0","2","","","","","","2","1","3""11"
"11","Charles Stewart","29","BOS","21","","5","16","0","65","","","","3.08","2","1266","","","","","","0","0","0""0"
"12","Georges Vezina","38","MTL","30","","17","11","2","56","","","","1.81","5","1860","","","","","","0","0","0""0"
