rank,player,age,teamName,position,gamesPlayed,goals,assists,points,plusMinus,penaltyMinutes,evenStrengthGoals,powerPlayGoals,shortHandedGoals,gameWinningPoints,evenStrengthAssists,powerPlayAssits,shortHandedAssists,shots,shootingPercentage,timeOnIce,averageTimeOnIce
"1","Jack Adams","30","TRS","C","36","21","5","26","","52","","","","","","","","","","",""
"2","Pete Bellefeuille","24","TRS","RW","36","14","2","16","","22","","","","","","","","","","",""
"3","Fred Bergdinon","19","BOS","F","2","0","0","0","","0","","","","","","","","","","",""
"4","Louis Berlinguette","38","PTP","LW","30","0","0","0","","8","","","","","","","","","","",""
"5","Rene Boileau","21","NYA","F","7","0","0","0","","0","","","","","","","","","","",""
"6","Edmond Bouchard","33","NYA","LW","30","3","1","4","","10","","","","","","","","","","",""
"7","Billy Boucher","26","MTL","RW","34","8","5","13","","112","","","","","","","","","","",""
"8","George Boucher","29","OTS","D","36","8","4","12","","64","","","","","","","","","","",""
"9","John Brackenborough","28","BOS","C","7","0","0","0","","0","","","","","","","","","","",""
"10","Punch Broadbent","33","MTM","RW","36","12","5","17","","112","","","","","","","","","","",""
"11","Bernie Brophy","20","MTM","LW","10","0","0","0","","0","","","","","","","","","","",""
"12","Billy Burch","25","NYA","C","36","22","3","25","","33","","","","","","","","","","",""
"13","Charles Cahill","22","BOS","F","31","0","1","1","","4","","","","","","","","","","",""
"14","Francis Cain","26","TOT","D","33","0","0","0","","8","","","","","","","","","","",""
"15","Billy Cameron","29","NYA","RW","21","0","0","0","","0","","","","","","","","","","",""
"16","Earl Campbell","25","NYA","F","29","1","0","1","","6","","","","","","","","","","",""
"17","Frank Carson","24","MTM","RW","16","2","1","3","","6","","","","","","","","","","",""
"18","King Clancy","22","OTS","D","35","8","4","12","","80","","","","","","","","","","",""
"19","Sprague Cleghorn","35","BOS","D","28","6","5","11","","49","","","","","","","","","","",""
"20","Lionel Conacher","24","PTP","D","33","9","4","13","","64","","","","","","","","","","",""
"21","Carson Cooper","26","BOS","RW","36","28","3","31","","10","","","","","","","","","","",""
"22","Bert Corbeau","31","TRS","D","36","5","5","10","","121","","","","","","","","","","",""
"23","Roger Cormier","20","MTL","F","1","0","0","0","","0","","","","","","","","","","",""
"24","Baldy Cotton","23","PTP","LW","33","7","1","8","","22","","","","","","","","","","",""
"25","Billy Coutu","33","MTL","D","33","2","4","6","","95","","","","","","","","","","",""
"26","Harold Darragh","23","PTP","RW","35","10","7","17","","6","","","","","","","","","","",""
"27","Hap Day","24","TRS","LW/D","36","14","2","16","","26","","","","","","","","","","",""
"28","Cy Denneny","34","OTS","LW","36","24","12","36","","18","","","","","","","","","","",""
"29","Chuck Dinsmore","22","MTM","F","33","3","1","4","","18","","","","","","","","","","",""
"30","Herb Drury","30","PTP","LW","33","6","2","8","","40","","","","","","","","","","",""
"31","John Duggan","27","OTS","D","27","0","0","0","","0","","","","","","","","","","",""
"32","Babe Dye","27","TRS","RW","31","18","5","23","","26","","","","","","","","","","",""
"33","Frank Finnigan","22","OTS","RW","36","2","0","2","","24","","","","","","","","","","",""
"34","Gerry Geran","29","BOS","F","33","5","1","6","","6","","","","","","","","","","",""
"35","Ed Gorman","33","OTS","D","23","2","1","3","","12","","","","","","","","","","",""
"36","Leth Graham","","OTS","LW","1","0","0","0","","0","","","","","","","","","","",""
"37","Red Green","26","NYA","LW","35","13","4","17","","42","","","","","","","","","","",""
"38","Shorty Green","29","NYA","RW","32","6","4","10","","40","","","","","","","","","","",""
"39","Bob Hall","26","NYA","C","8","0","0","0","","0","","","","","","","","","","",""
"40","Hago Harrington","21","BOS","LW","26","7","2","9","","6","","","","","","","","","","",""
"41","Jimmy Herbert","28","BOS","C","36","26","5","31","","47","","","","","","","","","","",""
"42","Lionel Hitchman","24","BOS","D","36","7","4","11","","70","","","","","","","","","","",""
"43","Bill Holmes","26","MTL","F","9","1","0","1","","2","","","","","","","","","","",""
"44","Albert Holway","23","TOT","D","29","0","0","0","","6","","","","","","","","","","",""
"45","George Horne","21","MTM","F","13","0","0","0","","2","","","","","","","","","","",""
"46","Stan Jackson","27","BOS","LW","28","3","3","6","","30","","","","","","","","","","",""
"47","Aurele Joliat","24","MTL","LW","35","17","9","26","","52","","","","","","","","","","",""
"48","Hec Kilrea","18","OTS","LW","35","5","0","5","","12","","","","","","","","","","",""
"49","Hobie Kitchen","21","MTM","D","30","5","2","7","","16","","","","","","","","","","",""
"50","Charlie Langlois","31","NYA","D","36","9","1","10","","76","","","","","","","","","","",""
"51","Wildor Larochelle","19","MTL","RW","33","2","1","3","","10","","","","","","","","","","",""
"52","Bonner Larose","24","BOS","F","6","0","0","0","","0","","","","","","","","","","",""
"53","Albert Leduc","23","MTL","D","32","10","3","13","","62","","","","","","","","","","",""
"54","Hec Lepine","28","MTL","F","33","5","2","7","","2","","","","","","","","","","",""
"55","Pit Lepine","24","MTL","C","27","9","1","10","","18","","","","","","","","","","",""
"56","Fred Lowrey","23","TOT","D","26","1","0","1","","4","","","","","","","","","","",""
"57","Sylvio Mantha","23","MTL","D","34","2","1","3","","66","","","","","","","","","","",""
"58","Joe Matte","32","TOT","RW/D","9","0","0","0","","0","","","","","","","","","","",""
"59","Bert McCaffrey","32","TRS","D","36","14","7","21","","42","","","","","","","","","","",""
"60","Duke McCurry","25","PTP","LW","36","13","4","17","","32","","","","","","","","","","",""
"61","Alex McKinnon","30","NYA","RW","35","5","3","8","","34","","","","","","","","","","",""
"62","John McKinnon","23","MTL","D","2","0","0","0","","0","","","","","","","","","","",""
"63","Hib Milks","26","PTP","LW","36","14","5","19","","17","","","","","","","","","","",""
"64","Herb Mitchell","30","BOS","D","26","3","0","3","","14","","","","","","","","","","",""
"65","Howie Morenz","23","MTL","C","31","23","3","26","","39","","","","","","","","","","",""
"66","John Morrison","30","NYA","F","18","0","0","0","","0","","","","","","","","","","",""
"67","Dunc Munro","25","MTM","D","33","4","6","10","","55","","","","","","","","","","",""
"68","Gerry Munro","28","TRS","D","4","0","0","0","","0","","","","","","","","","","",""
"69","Mike Neville","21","TRS","C","33","3","3","6","","8","","","","","","","","","","",""
"70","Frank Nighbor","33","OTS","C","35","12","13","25","","40","","","","","","","","","","",""
"71","Reg Noble","29","MTM","D","33","9","9","18","","96","","","","","","","","","","",""
"72","Rollie Paulhus","23","MTL","D","33","0","0","0","","0","","","","","","","","","","",""
"73","Merlyn Phillips","26","MTM","F","12","3","1","4","","6","","","","","","","","","","",""
"74","Ken Randall","37","NYA","D","34","4","2","6","","94","","","","","","","","","","",""
"75","George Redding","22","BOS","D","28","0","0","0","","13","","","","","","","","","","",""
"76","Reg Reid","26","TRS","F","12","0","0","0","","2","","","","","","","","","","",""
"77","Dave Ritchie","34","MTL","F","2","0","0","0","","0","","","","","","","","","","",""
"78","Mickey Roach","30","NYA","C","25","3","0","3","","4","","","","","","","","","","",""
"79","Sam Rothschild","26","MTM","F","33","2","1","3","","8","","","","","","","","","","",""
"80","Werner Schnarr","22","BOS","F","1","0","0","0","","0","","","","","","","","","","",""
"81","Norm Shay","26","TOT","LW","35","4","1","5","","20","","","","","","","","","","",""
"82","Babe Siebert","22","MTM","LW","35","16","8","24","","108","","","","","","","","","","",""
"83","Joe Simpson","32","NYA","D","32","2","2","4","","2","","","","","","","","","","",""
"84","Alf Skinner","30","PTP","RW","7","0","0","0","","2","","","","","","","","","","",""
"85","Alex Smith","23","OTS","D","36","0","0","0","","36","","","","","","","","","","",""
"86","Hooley Smith","23","OTS","RW","28","16","9","25","","53","","","","","","","","","","",""
"87","Rodger Smith","29","PTP","D","36","9","1","10","","22","","","","","","","","","","",""
"88","Rod Smylie","30","TRS","LW","5","0","0","0","","0","","","","","","","","","","",""
"89","Gordon Spence","28","TRS","LW","3","0","0","0","","0","","","","","","","","","","",""
"90","Jesse Spring","25","PTP","D","32","5","0","5","","23","","","","","","","","","","",""
"91","Phil Stevens","32","BOS","D","17","0","0","0","","0","","","","","","","","","","",""
"92","Nels Stewart","23","MTM","C","36","34","8","42","","119","","","","","","","","","","",""
"93","Billy Stuart","25","BOS","D","33","6","1","7","","41","","","","","","","","","","",""
"94","Tex White","25","PTP","RW","35","7","1","8","","22","","","","","","","","","","",""
