rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,shortHandedAssists,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"23"0,"Denis Herron"1,"20"2,"PIT"3,"18"4,""5,"6"6,"7"7,"2"8,"55"9,""10,""11,""12,"3.41"13,"2"14,"967"15,""16,""17,""18,""19,""20,"0"21,"1"22,"1"23,"0"
"24"0,"Bob Johnson"1,"24"2,"STL"3,"12"4,""5,"6"6,"5"7,"0"8,"26"9,""10,""11,""12,"2.68"13,"0"14,"583"15,""16,""17,""18,""19,""20,"0"21,"0"22,"0"23,"17"
"25"0,"Eddie Johnston"1,"37"2,"BOS"3,"45"4,""5,"24"6,"17"7,"1"8,"137"9,""10,""11,""12,"3.27"13,"5"14,"2510"15,""16,""17,""18,""19,""20,"0"21,"1"22,"1"23,"2"
"26"0,"Ron Low"1,"22"2,"TOR"3,"42"4,""5,"12"6,"24"7,"4"8,"152"9,""10,""11,""12,"3.89"13,"1"14,"2343"15,""16,""17,""18,""19,""20,"0"21,"0"22,"0"23,"4"
"27"0,"Cesare Maniago"1,"34"2,"MNS"3,"47"4,""5,"21"6,"18"7,"6"8,"132"9,""10,""11,""12,"2.89"13,"5"14,"2736"15,""16,""17,""18,""19,""20,"0"21,"0"22,"0"23,"2"
"28"0,"Peter McDuffe"1,"24"2,"NYR"3,"1"4,""5,"1"6,"0"7,"0"8,"1"9,""10,""11,""12,"1.00"13,"0"14,"60"15,""16,""17,""18,""19,""20,"0"21,"0"22,"0"23,"0"
"29"0,"Dave McLelland"1,"20"2,"VAN"3,"2"4,""5,"1"6,"1"7,"0"8,"10"9,""10,""11,""12,"5.00"13,"0"14,"120"15,""16,""17,""18,""19,""20,"0"21,"0"22,"0"23,"0"
"30"0,"Gord McRae"1,"24"2,"TOR"3,"11"4,""5,"7"6,"3"7,"0"8,"39"9,""10,""11,""12,"3.77"13,"0"14,"620"15,""16,""17,""18,""19,""20,"0"21,"0"22,"0"23,"0"
"31"0,"Gilles Meloche"1,"22"2,"CGS"3,"59"4,""5,"12"6,"32"7,"14"8,"235"9,""10,""11,""12,"4.06"13,"1"14,"3473"15,""16,""17,""18,""19,""20,"0"21,"2"22,"2"23,"4"
"32"0,"Phil Myre"1,"24"2,"ATF"3,"46"4,""5,"16"6,"23"7,"5"8,"138"9,""10,""11,""12,"3.03"13,"2"14,"2736"15,""16,""17,""18,""19,""20,"0"21,"1"22,"1"23,"5"
