rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1","Montreal Canadiens","MTL","78","52","10","16","120",".769","329","184","1.73","-0.13","6.58","52","239","21.76","37","235","84.26","9","4","2496","13.2","","",""
"2","Boston Bruins","BOS","78","51","22","5","107",".686","330","235","1.14","-0.08","7.24","67","241","27.80","43","275","84.36","15","5","2677","12.3","","",""
"3","New York Rangers","NYR","78","47","23","8","102",".654","297","208","1.07","-0.08","6.47","54","238","22.69","39","250","84.40","5","5","2699","11.0","","",""
"4","Chicago Black Hawks","CBH","78","42","27","9","93",".596","284","225","0.70","-0.05","6.53","52","244","21.31","51","255","80.00","10","4","2330","12.2","","",""
"5","Buffalo Sabres","BUF","78","37","27","14","88",".564","257","219","0.46","-0.03","6.10","52","270","19.26","35","241","85.48","5","5","2488","10.3","","",""
"6","Detroit Red Wings","DET","78","37","29","12","86",".551","265","243","0.27","-0.02","6.51","53","268","19.78","40","261","84.67","4","8","2564","10.3","","",""
"7","Minnesota North Stars","MNS","78","37","30","11","85",".545","254","230","0.29","-0.02","6.21","37","237","15.61","59","265","77.74","1","7","2466","10.3","","",""
"8","Philadelphia Flyers","PHI","78","37","30","11","85",".545","296","256","0.46","-0.05","7.08","74","257","28.79","68","360","81.11","10","4","2623","11.3","","",""
"9","St. Louis Blues","STL","78","32","34","12","76",".487","233","251","-0.21","0.02","6.21","37","251","14.74","51","272","81.25","6","1","2659","8.8","","",""
"10","Los Angeles Kings","LAK","78","31","36","11","73",".468","232","245","-0.17","0.00","6.12","52","295","17.63","31","229","86.46","4","10","2269","10.2","","",""
"11","Pittsburgh Penguins","PIT","78","32","37","9","73",".468","257","265","-0.11","-0.01","6.69","52","301","17.28","49","264","81.44","10","7","2501","10.3","","",""
"12","Atlanta Flames","ATF","78","25","38","15","65",".417","191","239","-0.57","0.05","5.51","38","265","14.34","48","266","81.95","4","5","2113","9.0","","",""
"13","Toronto Maple Leafs","TOR","78","27","41","10","64",".410","247","279","-0.38","0.03","6.74","44","274","16.06","51","239","78.66","3","8","2582","9.6","","",""
"14","Vancouver Canucks","VAN","78","22","47","9","53",".340","233","339","-1.26","0.10","7.33","47","282","16.67","59","255","76.86","4","6","2316","10.1","","",""
"15","California Golden Seals","CGS","78","16","46","16","48",".308","213","323","-1.32","0.09","6.87","41","250","16.40","56","242","76.86","4","4","2082","10.2","","",""
"16","New York Islanders","NYI","78","12","60","6","30",".192","170","347","-2.10","0.17","6.63","28","258","10.85","63","261","75.86","2","13","1952","8.7","","",""
