rank,player,age,teamName,position,gamesPlayed,goals,assists,points,plusMinus,penaltyMinutes,evenStrengthGoals,powerPlayGoals,shortHandedGoals,gameWinningPoints,evenStrengthAssists,powerPlayAssits,shortHandedAssists,shots,shootingPercentage,timeOnIce,averageTimeOnIce
"1","Amos Arbour","25","MTL","LW","22","21","5","26","","13","","","","","","","","","","",""
"2","Louis Berlinguette","32","MTL","LW","24","8","9","17","","36","","","","","","","","","","",""
"3","George Boucher","23","OTS","D","22","9","8","17","","55","","","","","","","","","","",""
"4","Punch Broadbent","27","OTS","RW","21","19","6","25","","40","","","","","","","","","","",""
"5","Morley Bruce","25","OTS","F","21","1","1","2","","2","","","","","","","","","","",""
"6","Harry Cameron","29","TOT","D","23","15","5","20","","42","","","","","","","","","","",""
"7","George Carey","","QBC","RW","20","11","9","20","","6","","","","","","","","","","",""
"8","Ed Carpenter","29","QBC","D","24","8","4","12","","24","","","","","","","","","","",""
"9","Odie Cleghorn","28","MTL","C","21","20","4","24","","30","","","","","","","","","","",""
"10","Sprague Cleghorn","29","OTS","D","21","16","5","21","","85","","","","","","","","","","",""
"11","Bert Corbeau","25","MTL","D","23","11","6","17","","65","","","","","","","","","","",""
"12","Jack Coughlin","27","TOT","F","12","0","0","0","","0","","","","","","","","","","",""
"13","Billy Coutu","27","MTL","D","20","4","0","4","","67","","","","","","","","","","",""
"14","Corb Denneny","26","TRS","C","24","24","12","36","","20","","","","","","","","","","",""
"15","Cy Denneny","28","OTS","LW","24","16","6","22","","31","","","","","","","","","","",""
"16","Babe Dye","21","TRS","RW","23","11","3","14","","10","","","","","","","","","","",""
"17","Eddie Gerard","29","OTS","D","22","9","7","16","","19","","","","","","","","","","",""
"18","Frank Heffernan","28","TRS","F","19","0","1","1","","10","","","","","","","","","","",""
"19","Newsy Lalonde","32","MTL","C","23","37","9","46","","34","","","","","","","","","","",""
"20","Jack MacKell","23","OTS","F","23","2","1","3","","33","","","","","","","","","","",""
"21","Joe Malone","29","QBC","LW/C","24","39","10","49","","12","","","","","","","","","","",""
"22","Jack Marks","34","QBC","F","1","0","0","0","","4","","","","","","","","","","",""
"23","Joe Matte","26","TRS","RW/D","17","8","3","11","","19","","","","","","","","","","",""
"24","Thomas McCarthy","","QBC","RW","12","12","6","18","","0","","","","","","","","","","",""
"25","Jack McDonald","32","QBC","C","24","6","7","13","","4","","","","","","","","","","",""
"26","Fred McLean","26","QBC","F","7","0","0","0","","2","","","","","","","","","","",""
"27","Howard McNamara","26","MTL","D","10","1","0","1","","4","","","","","","","","","","",""
"28","George McNaughton","22","QBC","F","1","0","0","0","","0","","","","","","","","","","",""
"29","Horace Merrill","34","OTS","D","5","0","0","0","","0","","","","","","","","","","",""
"30","Frank Nighbor","27","OTS","C","23","26","15","41","","18","","","","","","","","","","",""
"31","Reg Noble","23","TRS","LW/D","24","24","9","33","","52","","","","","","","","","","",""
"32","Didier Pitre","36","MTL","RW","22","14","12","26","","6","","","","","","","","","","",""
"33","Goldie Prodger","28","TRS","F","16","8","6","14","","4","","","","","","","","","","",""
"34","Ken Randall","31","TRS","D","22","10","8","18","","42","","","","","","","","","","",""
"35","Dave Ritchie","28","QBC","D","23","6","3","9","","18","","","","","","","","","","",""
"36","Mickey Roach","24","TRS","C","21","11","2","13","","4","","","","","","","","","","",""
"37","Don Smith","31","MTL","C","12","1","0","1","","6","","","","","","","","","","",""
"38","Tommy Smith","33","QBC","C","10","0","1","1","","11","","","","","","","","","","",""
"39","Alex Wellington","26","QBC","D","1","0","0","0","","0","","","","","","","","","","",""
"40","Cully Wilson","27","TRS","RW","23","20","6","26","","86","","","","","","","","","","",""
