rank,player,age,teamName,position,gamesPlayed,goals,assists,points,plusMinus,penaltyMinutes,evenStrengthGoals,powerPlayGoals,shortHandedGoals,gameWinningPoints,evenStrengthAssists,powerPlayAssits,shortHandedAssists,shots,shootingPercentage,timeOnIce,averageTimeOnIce
"1","Chris Ahrens","21","MNS","D","3","0","1","1","1","0","0","0","0","0","1","0","0","4","0.0","",""
"2","Lou Angotti","36","STL","C","51","12","23","35","-3","9","11","1","0","5","21","2","0","84","14.3","",""
"3","Syl Apps","26","PIT","C","75","24","61","85","21","37","13","7","4","2","40","16","5","177","13.6","",""
"4","Chuck Arnason","22","TOT","RW","74","20","11","31","-1","17","20","0","0","3","8","3","0","183","10.9","",""
"5","Barry Ashbee","34","PHI","D","69","4","13","17","52","52","4","0","0","0","10","2","1","70","5.7","",""
"6","Steve Atkinson","25","BUF","RW","70","6","10","16","1","22","6","0","0","1","10","0","0","109","5.5","",""
"7","Don Awrey","30","STL","D","75","5","16","21","-7","51","4","1","0","0","12","3","1","94","5.3","",""
"8","Garnet Bailey","25","TOT","LW","67","16","17","33","-13","53","13","3","0","2","9","8","0","113","14.2","",""
"9","Bill Barber","21","PHI","LW","75","34","35","69","34","54","23","9","2","5","16","14","5","290","11.7","",""
"10","Fred Barrett","24","MNS","D","40","0","7","7","-1","12","0","0","0","0","7","0","0","31","0.0","",""
"11","Curt Bennett","25","ATF","LW","71","17","24","41","3","34","16","1","0","1","20","4","0","136","12.5","",""
"12","Red Berenson","34","DET","C","76","24","42","66","-22","28","17","6","1","2","29","11","2","179","13.4","",""
"13","Gary Bergman","35","TOT","D","68","3","29","32","-18","84","2","1","0","1","21","4","4","97","3.1","",""
"14","Thommie Bergman","26","DET","D","43","0","3","3","-15","21","0","0","0","0","2","0","1","49","0.0","",""
"15","Bob Berry","30","LAK","LW","77","23","33","56","0","56","15","8","0","1","28","5","0","122","18.9","",""
"16","Nick Beverley","26","TOT","D","68","2","14","16","-17","21","2","0","0","1","13","1","0","74","2.7","",""
"17","Dwight Bialowas","21","ATF","D","11","0","0","0","-6","2","0","0","0","0","0","0","0","3","0.0","",""
"18","Wayne Bianchin","20","PIT","LW","69","12","13","25","-15","38","11","1","0","1","13","0","0","118","10.2","",""
"19","Larry Bignell","24","PIT","D","20","0","3","3","-3","2","0","0","0","0","3","0","0","13","0.0","",""
"20","Tom Bladon","21","PHI","D","70","12","22","34","24","37","6","6","0","2","13","9","0","159","7.5","",""
"21","Gregg Boddy","24","VAN","D","53","2","10","12","-4","59","2","0","0","1","10","0","0","52","3.8","",""
"22","Ivan Boldirev","24","CGS","C","78","25","31","56","-51","22","23","2","0","2","23","8","0","220","11.4","",""
"23","J.P. Bordeleau","24","CBH","RW","64","11","9","20","11","11","11","0","0","3","9","0","0","50","22.0","",""
"24","Paulin Bordeleau","21","VAN","RW","68","11","13","24","-16","20","7","4","0","1","8","5","0","77","14.3","",""
"25","Henry Boucha","22","DET","C","70","19","12","31","-22","32","14","2","3","5","10","2","0","132","14.4","",""
"26","Pierre Bouchard","25","MTL","D","60","1","14","15","8","25","1","0","0","0","14","0","0","53","1.9","",""
"27","Andre Boudrias","30","VAN","LW","78","16","59","75","-6","18","12","3","1","1","35","23","1","180","8.9","",""
"28","Lyle Bradley","30","CGS","C","4","1","0","1","-2","2","0","1","0","0","0","0","0","8","12.5","",""
"29","Gord Brooks","23","STL","RW","30","6","8","14","0","12","6","0","0","1","7","0","1","51","11.8","",""
"30","Willie Brossart","24","TOR","D","17","0","1","1","2","20","0","0","0","0","1","0","0","9","0.0","",""
"31","Arnie Brown","32","ATF","D","48","2","6","8","-14","29","2","0","0","0","6","0","0","58","3.4","",""
"32","Larry Brown","26","LAK","D","45","0","4","4","4","14","0","0","0","0","3","0","1","31","0.0","",""
"33","John Bucyk","38","BOS","LW","76","31","44","75","13","8","19","12","0","9","26","18","0","139","22.3","",""
"34","Dave Burrows","25","PIT","D","71","3","14","17","-13","30","1","2","0","0","11","3","0","123","2.4","",""
"35","Ron Busniuk","25","BUF","D","5","0","3","3","-1","4","0","0","0","0","2","1","0","3","0.0","",""
"36","Jerry Butler","22","NYR","RW","26","6","10","16","7","24","5","1","0","1","8","2","0","60","10.0","",""
"37","Jerry Byers","21","MNS","D","10","0","0","0","-5","0","0","0","0","0","0","0","0","11","0.0","",""
"38","Craig Cameron","28","NYI","RW","78","15","14","29","-15","28","13","2","0","2","12","0","2","121","12.4","",""
"39","Gene Carr","22","TOT","C","50","7","16","23","-6","51","5","1","1","1","12","4","0","60","11.7","",""
"40","Larry Carriere","22","BUF","D","78","6","24","30","3","103","3","3","0","0","19","5","0","113","5.3","",""
"41","Wayne Cashman","28","BOS","LW","78","30","59","89","49","111","23","5","2","2","52","7","0","156","19.2","",""
"42","Guy Charron","25","DET","LW","76","25","30","55","-31","10","19","6","0","2","18","12","0","205","12.2","",""
"43","Rick Chinnick","20","MNS","RW","1","0","1","1","0","0","0","0","0","0","1","0","0","1","0.0","",""
"44","Bobby Clarke","24","PHI","C","77","35","52","87","35","113","20","10","5","5","33","18","1","221","15.8","",""
"45","Bill Clement","23","PHI","C","39","9","8","17","15","34","7","0","2","2","7","0","1","54","16.7","",""
"46","Gary Coalter","23","CGS","RW","4","0","0","0","-4","0","0","0","0","0","0","0","0","6","0.0","",""
"47","Bill Collins","30","TOT","RW","66","15","17","32","-30","51","10","2","3","0","14","2","1","155","9.7","",""
