date,vistor,vistorAbrv,vistorGoals,home,homeAbrv,homeGoals,notes
"1973-10-10","New York Islanders","NYI","1","Atlanta Flames","ATF","1",
"1973-10-10","Vancouver Canucks","VAN","4","Boston Bruins","BOS","6",
"1973-10-10","St. Louis Blues","STL","1","California Golden Seals","CGS","2",
"1973-10-10","Chicago Black Hawks","CBH","3","Los Angeles Kings","LAK","0",
"1973-10-10","Montreal Canadiens","MTL","5","Minnesota North Stars","MNS","2",
"1973-10-10","Detroit Red Wings","DET","1","New York Rangers","NYR","4",
"1973-10-10","Buffalo Sabres","BUF","4","Toronto Maple Leafs","TOR","7",
"1973-10-11","Toronto Maple Leafs","TOR","0","Philadelphia Flyers","PHI","2",
"1973-10-12","Pittsburgh Penguins","PIT","4","Atlanta Flames","ATF","3",
"1973-10-12","Chicago Black Hawks","CBH","2","California Golden Seals","CGS","3",
"1973-10-13","Boston Bruins","BOS","9","Detroit Red Wings","DET","4",
"1973-10-13","Buffalo Sabres","BUF","4","Minnesota North Stars","MNS","3",
"1973-10-13","Vancouver Canucks","VAN","3","Montreal Canadiens","MTL","4",
"1973-10-13","Philadelphia Flyers","PHI","6","New York Islanders","NYI","0",
"1973-10-13","New York Rangers","NYR","8","Pittsburgh Penguins","PIT","2",
"1973-10-13","Atlanta Flames","ATF","1","St. Louis Blues","STL","0",
"1973-10-13","Los Angeles Kings","LAK","3","Toronto Maple Leafs","TOR","6",
"1973-10-14","New York Islanders","NYI","2","Boston Bruins","BOS","3",
"1973-10-14","Vancouver Canucks","VAN","3","Buffalo Sabres","BUF","1",
"1973-10-14","Minnesota North Stars","MNS","1","Chicago Black Hawks","CBH","1",
"1973-10-14","Los Angeles Kings","LAK","1","New York Rangers","NYR","1",
"1973-10-14","Detroit Red Wings","DET","2","Philadelphia Flyers","PHI","5",
"1973-10-16","St. Louis Blues","STL","3","Detroit Red Wings","DET","2",
"1973-10-16","Los Angeles Kings","LAK","4","New York Islanders","NYI","4",
"1973-10-17","Boston Bruins","BOS","3","Atlanta Flames","ATF","4",
"1973-10-17","Vancouver Canucks","VAN","0","Chicago Black Hawks","CBH","5",
"1973-10-17","Philadelphia Flyers","PHI","5","California Golden Seals","CGS","1",
"1973-10-17","Pittsburgh Penguins","PIT","4","Minnesota North Stars","MNS","2",
"1973-10-17","Toronto Maple Leafs","TOR","5","Montreal Canadiens","MTL","3",
"1973-10-17","St. Louis Blues","STL","0","New York Rangers","NYR","4",
"1973-10-18","Los Angeles Kings","LAK","2","Buffalo Sabres","BUF","6",
"1973-10-18","Minnesota North Stars","MNS","4","Detroit Red Wings","DET","4",
"1973-10-19","Philadelphia Flyers","PHI","1","Vancouver Canucks","VAN","2",
"1973-10-20","Philadelphia Flyers","PHI","0","Los Angeles Kings","LAK","3",
"1973-10-20","St. Louis Blues","STL","4","Minnesota North Stars","MNS","4",
"1973-10-20","Atlanta Flames","ATF","4","Montreal Canadiens","MTL","2",
"1973-10-20","Buffalo Sabres","BUF","2","New York Islanders","NYI","1",
"1973-10-20","California Golden Seals","CGS","3","Pittsburgh Penguins","PIT","5",
"1973-10-20","New York Rangers","NYR","2","Toronto Maple Leafs","TOR","3",
"1973-10-21","Pittsburgh Penguins","PIT","2","Boston Bruins","BOS","8",
"1973-10-21","Toronto Maple Leafs","TOR","3","Buffalo Sabres","BUF","4",
"1973-10-21","New York Islanders","NYI","3","Chicago Black Hawks","CBH","3",
"1973-10-21","California Golden Seals","CGS","2","Detroit Red Wings","DET","11",
"1973-10-21","Montreal Canadiens","MTL","3","New York Rangers","NYR","2",
"1973-10-23","Boston Bruins","BOS","2","St. Louis Blues","STL","3",
"1973-10-23","Minnesota North Stars","MNS","2","Toronto Maple Leafs","TOR","2",
"1973-10-23","Atlanta Flames","ATF","0","Vancouver Canucks","VAN","3",
"1973-10-24","Chicago Black Hawks","CBH","1","Buffalo Sabres","BUF","3",
"1973-10-24","Detroit Red Wings","DET","3","California Golden Seals","CGS","7",
"1973-10-24","Atlanta Flames","ATF","4","Los Angeles Kings","LAK","6",
"1973-10-24","Montreal Canadiens","MTL","3","Pittsburgh Penguins","PIT","2",
"1973-10-25","Buffalo Sabres","BUF","4","Boston Bruins","BOS","9",
"1973-10-25","Minnesota North Stars","MNS","1","New York Islanders","NYI","1",
"1973-10-25","Montreal Canadiens","MTL","4","Philadelphia Flyers","PHI","0",
"1973-10-26","Atlanta Flames","ATF","3","California Golden Seals","CGS","1",
"1973-10-26","Detroit Red Wings","DET","3","Vancouver Canucks","VAN","8",
"1973-10-27","Detroit Red Wings","DET","3","Los Angeles Kings","LAK","2",
"1973-10-27","Minnesota North Stars","MNS","2","Montreal Canadiens","MTL","4",
"1973-10-27","New York Rangers","NYR","2","New York Islanders","NYI","3",
"1973-10-27","Philadelphia Flyers","PHI","6","Pittsburgh Penguins","PIT","0",
"1973-10-27","Chicago Black Hawks","CBH","4","St. Louis Blues","STL","4",
"1973-10-27","Boston Bruins","BOS","3","Toronto Maple Leafs","TOR","2",
"1973-10-28","Minnesota North Stars","MNS","3","Boston Bruins","BOS","3",
"1973-10-28","New York Islanders","NYI","2","Buffalo Sabres","BUF","5",
"1973-10-28","Toronto Maple Leafs","TOR","1","Chicago Black Hawks","CBH","1",
"1973-10-28","Pittsburgh Penguins","PIT","7","New York Rangers","NYR","2",
"1973-10-28","California Golden Seals","CGS","1","Philadelphia Flyers","PHI","2",
"1973-10-30","Los Angeles Kings","LAK","3","St. Louis Blues","STL","2",
"1973-10-30","Detroit Red Wings","DET","0","Toronto Maple Leafs","TOR","7",
"1973-10-30","New York Rangers","NYR","3","Vancouver Canucks","VAN","3",
"1973-10-31","California Golden Seals","CGS","2","Buffalo Sabres","BUF","3",
"1973-10-31","Boston Bruins","BOS","5","Minnesota North Stars","MNS","0",
"1973-10-31","Pittsburgh Penguins","PIT","1","Montreal Canadiens","MTL","1",
"1973-11-01","California Golden Seals","CGS","2","Atlanta Flames","ATF","7",
"1973-11-01","New York Rangers","NYR","1","Los Angeles Kings","LAK","2",
"1973-11-01","Toronto Maple Leafs","TOR","2","New York Islanders","NYI","2",
"1973-11-01","Chicago Black Hawks","CBH","0","Philadelphia Flyers","PHI","1",
"1973-11-02","St. Louis Blues","STL","3","Vancouver Canucks","VAN","1",
"1973-11-03","St. Louis Blues","STL","4","Los Angeles Kings","LAK","3",
"1973-11-03","Chicago Black Hawks","CBH","4","Minnesota North Stars","MNS","5",
"1973-11-03","California Golden Seals","CGS","2","Montreal Canadiens","MTL","6",
"1973-11-03","Boston Bruins","BOS","4","New York Islanders","NYI","6",
"1973-11-03","Atlanta Flames","ATF","2","Philadelphia Flyers","PHI","1",
"1973-11-03","Pittsburgh Penguins","PIT","0","Toronto Maple Leafs","TOR","6",
"1973-11-04","Detroit Red Wings","DET","0","Atlanta Flames","ATF","2",
"1973-11-04","California Golden Seals","CGS","1","Boston Bruins","BOS","4",
"1973-11-04","Montreal Canadiens","MTL","1","Buffalo Sabres","BUF","1",
"1973-11-04","New York Rangers","NYR","1","Chicago Black Hawks","CBH","4",
"1973-11-04","Pittsburgh Penguins","PIT","0","Philadelphia Flyers","PHI","7",
"1973-11-06","Buffalo Sabres","BUF","2","Vancouver Canucks","VAN","3",
"1973-11-07","St. Louis Blues","STL","2","Atlanta Flames","ATF","2",
"1973-11-07","Chicago Black Hawks","CBH","1","California Golden Seals","CGS","1",
"1973-11-07","Philadelphia Flyers","PHI","4","Detroit Red Wings","DET","1",
"1973-11-07","Los Angeles Kings","LAK","2","Minnesota North Stars","MNS","5",
"1973-11-07","Boston Bruins","BOS","3","New York Rangers","NYR","7",
"1973-11-07","New York Islanders","NYI","1","Pittsburgh Penguins","PIT","1",
"1973-11-07","Montreal Canadiens","MTL","4","Toronto Maple Leafs","TOR","1",
"1973-11-08","Montreal Canadiens","MTL","1","Boston Bruins","BOS","2",
