rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1","Boston Bruins","BOS","78","52","17","9","113",".724","349","221","1.55","-0.09","7.31","65","225","28.89","48","258","81.40","12","2","2649","13.2","","",""
"2","Philadelphia Flyers","PHI","78","50","16","12","112",".718","273","164","1.30","-0.10","5.60","60","269","22.30","49","422","88.39","20","6","2643","10.3","","",""
"3","Chicago Black Hawks","CBH","78","41","14","23","105",".673","272","164","1.28","-0.11","5.59","55","255","21.57","26","208","87.50","8","5","2134","12.7","","",""
"4","Montreal Canadiens","MTL","78","45","24","9","99",".635","293","240","0.65","-0.03","6.83","51","254","20.08","51","217","76.50","12","7","2355","12.4","","",""
"5","New York Rangers","NYR","78","40","24","14","94",".603","300","251","0.58","-0.05","7.06","66","222","29.73","45","239","81.17","9","2","2548","11.8","","",""
"6","Toronto Maple Leafs","TOR","78","35","27","16","86",".551","274","230","0.54","-0.03","6.46","51","280","18.21","49","266","81.58","5","7","2712","10.1","","",""
"7","Los Angeles Kings","LAK","78","33","33","12","78",".500","233","231","0.03","0.00","5.95","43","284","15.14","48","246","80.49","4","9","2261","10.3","","",""
"8","Buffalo Sabres","BUF","78","32","34","12","76",".487","242","250","-0.11","-0.01","6.31","48","256","18.75","42","237","82.28","5","12","2433","9.9","","",""
"9","Atlanta Flames","ATF","78","30","34","14","74",".474","214","238","-0.28","0.03","5.79","44","264","16.67","46","223","79.37","1","6","2381","9.0","","",""
"10","Detroit Red Wings","DET","78","29","39","10","68",".436","255","319","-0.75","0.07","7.36","59","274","21.53","49","238","79.41","8","13","2328","11.0","","",""
"11","Pittsburgh Penguins","PIT","78","28","41","9","65",".417","242","273","-0.37","0.03","6.60","47","276","17.03","47","245","80.82","12","4","2461","9.8","","",""
"12","St. Louis Blues","STL","78","26","40","12","64",".410","206","248","-0.52","0.02","5.82","39","275","14.18","56","313","82.11","4","9","2253","9.1","","",""
"13","Minnesota North Stars","MNS","78","23","38","17","63",".404","235","275","-0.49","0.03","6.54","37","207","17.87","51","254","79.92","5","5","2466","9.5","","",""
"14","Vancouver Canucks","VAN","78","24","43","11","59",".378","224","296","-0.87","0.05","6.67","55","279","19.71","70","269","73.98","4","8","2202","10.2","","",""
"15","New York Islanders","NYI","78","19","41","18","56",".359","182","247","-0.78","0.05","5.50","32","230","13.91","63","262","75.95","7","13","2026","9.0","","",""
"16","California Golden Seals","CGS","78","13","55","10","36",".231","195","342","-1.77","0.12","6.88","34","268","12.69","46","221","79.19","6","14","1975","9.9","","",""
