date,vistor,vistorAbrv,vistorGoals,home,homeAbrv,homeGoals,notes
"2000-10-04","Colorado Avalanche","COL","2","Dallas Stars","DAL","2",
"2000-10-05","Ottawa Senators","OTT","4","Boston Bruins","BOS","4",
"2000-10-05","Chicago Blackhawks","CHI","2","Buffalo Sabres","BUF","4",
"2000-10-05","Detroit Red Wings","DET","4","Calgary Flames","CGY","3",
"2000-10-05","Vancouver Canucks","VAN","3","Philadelphia Flyers","PHI","6",
"2000-10-05","St. Louis Blues","STL","1","Phoenix Coyotes","PHX","4",
"2000-10-06","Detroit Red Wings","DET","1","Edmonton Oilers","EDM","2",
"2000-10-06","Vancouver Canucks","VAN","4","Florida Panthers","FLA","3",
"2000-10-06","Minnesota Wild","MIN","1","Mighty Ducks of Anaheim","MDA","3",
"2000-10-06","Montreal Canadiens","MTL","4","New Jersey Devils","NJD","8",
"2000-10-07","Nashville Predators","NSH","3","Pittsburgh Penguins","PIT","1","at Tokyo, Japan"
"2000-10-06","St. Louis Blues","STL","4","San Jose Sharks","SJS","1",
"2000-10-06","New York Islanders","NYI","3","Tampa Bay Lightning","TBL","3",
"2000-10-06","Los Angeles Kings","LAK","4","Washington Capitals","WSH","1",
"2000-10-07","New York Rangers","NYR","2","Atlanta Thrashers","ATL","1",
"2000-10-07","Los Angeles Kings","LAK","3","Buffalo Sabres","BUF","5",
"2000-10-07","Washington Capitals","WSH","3","Carolina Hurricanes","CAR","3",
"2000-10-07","Chicago Blackhawks","CHI","5","Columbus Blue Jackets","CBJ","3",
"2000-10-07","Colorado Avalanche","COL","1","Edmonton Oilers","EDM","1",
"2000-10-08","Pittsburgh Penguins","PIT","3","Nashville Predators","NSH","1","at Tokyo, Japan"
"2000-10-07","Dallas Stars","DAL","1","Ottawa Senators","OTT","3",
"2000-10-07","Boston Bruins","BOS","5","Philadelphia Flyers","PHI","1",
"2000-10-07","Minnesota Wild","MIN","1","Phoenix Coyotes","PHX","4",
"2000-10-07","Montreal Canadiens","MTL","0","Toronto Maple Leafs","TOR","2",
"2000-10-08","St. Louis Blues","STL","5","Mighty Ducks of Anaheim","MDA","1",
"2000-10-08","Vancouver Canucks","VAN","5","Tampa Bay Lightning","TBL","4",
"2000-10-09","Florida Panthers","FLA","2","Boston Bruins","BOS","4",
"2000-10-09","Los Angeles Kings","LAK","7","Columbus Blue Jackets","CBJ","1",
"2000-10-09","Dallas Stars","DAL","3","Toronto Maple Leafs","TOR","1",
"2000-10-10","Dallas Stars","DAL","2","Carolina Hurricanes","CAR","5",
"2000-10-10","Colorado Avalanche","COL","3","Calgary Flames","CGY","1",
"2000-10-10","Edmonton Oilers","EDM","2","Montreal Canadiens","MTL","5",
"2000-10-11","Washington Capitals","WSH","3","Atlanta Thrashers","ATL","3",
"2000-10-11","Edmonton Oilers","EDM","4","Detroit Red Wings","DET","3",
"2000-10-11","St. Louis Blues","STL","4","Los Angeles Kings","LAK","4",
"2000-10-11","Boston Bruins","BOS","3","Mighty Ducks of Anaheim","MDA","2",
"2000-10-11","Philadelphia Flyers","PHI","3","Minnesota Wild","MIN","3",
"2000-10-11","Montreal Canadiens","MTL","1","New York Rangers","NYR","3",
"2000-10-11","New York Islanders","NYI","2","Toronto Maple Leafs","TOR","3",
"2000-10-12","Columbus Blue Jackets","CBJ","3","Calgary Flames","CGY","2",
"2000-10-12","Detroit Red Wings","DET","4","Chicago Blackhawks","CHI","0",
"2000-10-12","Philadelphia Flyers","PHI","1","Dallas Stars","DAL","4",
"2000-10-12","Phoenix Coyotes","PHX","1","San Jose Sharks","SJS","2",
"2000-10-12","Colorado Avalanche","COL","5","Vancouver Canucks","VAN","2",
"2000-10-13","Buffalo Sabres","BUF","2","Edmonton Oilers","EDM","3",
"2000-10-13","Carolina Hurricanes","CAR","2","Florida Panthers","FLA","2",
"2000-10-13","Boston Bruins","BOS","0","Los Angeles Kings","LAK","5",
"2000-10-13","Washington Capitals","WSH","1","Nashville Predators","NSH","3",
"2000-10-13","New Jersey Devils","NJD","1","Ottawa Senators","OTT","3",
"2000-10-13","Tampa Bay Lightning","TBL","2","Pittsburgh Penguins","PIT","3",
"2000-10-13","Minnesota Wild","MIN","0","St. Louis Blues","STL","2",
"2000-10-14","Columbus Blue Jackets","CBJ","1","Colorado Avalanche","COL","3",
"2000-10-14","Washington Capitals","WSH","0","Dallas Stars","DAL","3",
"2000-10-14","Chicago Blackhawks","CHI","4","Montreal Canadiens","MTL","5",
"2000-10-14","Mighty Ducks of Anaheim","MDA","2","New Jersey Devils","NJD","4",
"2000-10-14","Carolina Hurricanes","CAR","1","Nashville Predators","NSH","2",
"2000-10-14","Calgary Flames","CGY","2","New York Islanders","NYI","0",
"2000-10-14","Philadelphia Flyers","PHI","3","Phoenix Coyotes","PHX","6",
"2000-10-14","New York Rangers","NYR","6","Pittsburgh Penguins","PIT","8",
"2000-10-14","Boston Bruins","BOS","2","San Jose Sharks","SJS","5",
"2000-10-14","Ottawa Senators","OTT","4","Toronto Maple Leafs","TOR","0",
"2000-10-14","Buffalo Sabres","BUF","0","Vancouver Canucks","VAN","4",
"2000-10-15","Columbus Blue Jackets","CBJ","1","Chicago Blackhawks","CHI","2",
"2000-10-15","Calgary Flames","CGY","4","Detroit Red Wings","DET","2",
"2000-10-15","Phoenix Coyotes","PHX","6","Los Angeles Kings","LAK","5",
"2000-10-15","Edmonton Oilers","EDM","5","Minnesota Wild","MIN","3",
"2000-10-15","Atlanta Thrashers","ATL","2","Tampa Bay Lightning","TBL","5",
"2000-10-16","Mighty Ducks of Anaheim","MDA","4","New York Rangers","NYR","3",
"2000-10-16","Toronto Maple Leafs","TOR","2","Vancouver Canucks","VAN","5",
"2000-10-17","New Jersey Devils","NJD","3","Atlanta Thrashers","ATL","3",
"2000-10-17","St. Louis Blues","STL","1","Detroit Red Wings","DET","2",
"2000-10-17","Boston Bruins","BOS","1","Edmonton Oilers","EDM","6",
"2000-10-17","Buffalo Sabres","BUF","3","Montreal Canadiens","MTL","4",
"2000-10-17","Los Angeles Kings","LAK","1","Nashville Predators","NSH","1",
"2000-10-17","Mighty Ducks of Anaheim","MDA","4","New York Islanders","NYI","3",
"2000-10-17","Ottawa Senators","OTT","6","Philadelphia Flyers","PHI","1",
"2000-10-17","Colorado Avalanche","COL","4","Washington Capitals","WSH","3",
"2000-10-18","Colorado Avalanche","COL","5","Columbus Blue Jackets","CBJ","1",
"2000-10-18","New York Rangers","NYR","4","Chicago Blackhawks","CHI","2",
"2000-10-18","San Jose Sharks","SJS","1","Dallas Stars","DAL","2",
"2000-10-18","Tampa Bay Lightning","TBL","5","Minnesota Wild","MIN","6",
"2000-10-18","Florida Panthers","FLA","1","Phoenix Coyotes","PHX","2",
"2000-10-18","Carolina Hurricanes","CAR","3","Pittsburgh Penguins","PIT","2",
"2000-10-18","Calgary Flames","CGY","1","Vancouver Canucks","VAN","4",
"2000-10-19","Nashville Predators","NSH","2","Detroit Red Wings","DET","1",
"2000-10-19","Toronto Maple Leafs","TOR","4","Edmonton Oilers","EDM","1",
"2000-10-19","Pittsburgh Penguins","PIT","3","Ottawa Senators","OTT","3",
"2000-10-19","Montreal Canadiens","MTL","3","Philadelphia Flyers","PHI","3",
"2000-10-19","Los Angeles Kings","LAK","1","St. Louis Blues","STL","7",
"2000-10-19","New Jersey Devils","NJD","2","Washington Capitals","WSH","5",
"2000-10-20","New York Islanders","NYI","5","Atlanta Thrashers","ATL","3",
"2000-10-20","Mighty Ducks of Anaheim","MDA","2","Buffalo Sabres","BUF","2",
"2000-10-20","Boston Bruins","BOS","2","Calgary Flames","CGY","3",
"2000-10-20","Dallas Stars","DAL","5","Chicago Blackhawks","CHI","1",
"2000-10-20","Florida Panthers","FLA","1","Colorado Avalanche","COL","5",
"2000-10-20","San Jose Sharks","SJS","3","Minnesota Wild","MIN","1",
"2000-10-21","Toronto Maple Leafs","TOR","2","Calgary Flames","CGY","1",
"2000-10-21","Los Angeles Kings","LAK","3","Dallas Stars","DAL","4",
"2000-10-21","Buffalo Sabres","BUF","4","Detroit Red Wings","DET","5",
"2000-10-21","Carolina Hurricanes","CAR","2","Montreal Canadiens","MTL","5",
"2000-10-21","Tampa Bay Lightning","TBL","2","New Jersey Devils","NJD","7",
"2000-10-21","San Jose Sharks","SJS","5","Nashville Predators","NSH","3",
"2000-10-21","Atlanta Thrashers","ATL","6","Ottawa Senators","OTT","6",
"2000-10-21","Mighty Ducks of Anaheim","MDA","4","Philadelphia Flyers","PHI","3",
"2000-10-21","Columbus Blue Jackets","CBJ","2","Pittsburgh Penguins","PIT","5",
"2000-10-21","Chicago Blackhawks","CHI","0","St. Louis Blues","STL","1",
"2000-10-21","Phoenix Coyotes","PHX","3","Vancouver Canucks","VAN","2",
"2000-10-21","New York Islanders","NYI","4","Washington Capitals","WSH","4",
"2000-10-22","Detroit Red Wings","DET","2","Columbus Blue Jackets","CBJ","1",
"2000-10-22","Phoenix Coyotes","PHX","3","Edmonton Oilers","EDM","3",
"2000-10-22","Florida Panthers","FLA","0","Minnesota Wild","MIN","0",
"2000-10-22","Tampa Bay Lightning","TBL","4","New York Rangers","NYR","2",
"2000-10-23","Los Angeles Kings","LAK","5","Mighty Ducks of Anaheim","MDA","4",
"2000-10-24","San Jose Sharks","SJS","3","Carolina Hurricanes","CAR","2",
"2000-10-24","Phoenix Coyotes","PHX","2","Calgary Flames","CGY","2",
"2000-10-24","Minnesota Wild","MIN","2","Montreal Canadiens","MTL","2",
"2000-10-24","Vancouver Canucks","VAN","4","Nashville Predators","NSH","4",
"2000-10-24","Philadelphia Flyers","PHI","5","New York Rangers","NYR","4",
"2000-10-25","Carolina Hurricanes","CAR","1","Buffalo Sabres","BUF","4",
"2000-10-25","San Jose Sharks","SJS","3","Columbus Blue Jackets","CBJ","1",
"2000-10-25","Nashville Predators","NSH","1","Colorado Avalanche","COL","2",
"2000-10-25","Vancouver Canucks","VAN","6","Dallas Stars","DAL","2",
"2000-10-25","Tampa Bay Lightning","TBL","1","Detroit Red Wings","DET","5",
"2000-10-25","Atlanta Thrashers","ATL","3","Edmonton Oilers","EDM","1",
"2000-10-25","New Jersey Devils","NJD","2","Florida Panthers","FLA","1",
