rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","David Aebischer","22","COL","26","","12","7","3","52","538","486",".903","2.24","3","1393","","","","100","0.04","0","1","1","0"
"2","Jean-Sebastien Aubin","23","PIT","36","","20","14","1","107","973","866",".890","3.13","0","2050","","","","114","-12.87","0","1","1","4"
"3","Ed Belfour","35","DAL","63","","35","20","7","144","1508","1364",".905","2.34","8","3687","","","","99","1.88","0","1","1","4"
"4","Zac Bierk","24","MIN","1","","0","1","0","6","27","21",".778","6.00","0","60","","","","","","0","0","0","2"
"5","Craig Billington","34","WSH","12","","3","5","2","27","317","290",".915","2.45","0","660","","","","","","0","1","1","0"
"6","Martin Biron","23","BUF","18","","7","7","1","39","427","388",".909","2.55","2","918","","","","94","2.31","0","0","0","0"
"7","Brian Boucher","24","PHI","27","","8","12","5","80","644","564",".876","3.27","1","1470","","","","128","-17.70","0","0","0","2"
"8","Fred Brathwaite","28","CGY","49","","15","17","10","106","1181","1075",".910","2.32","5","2742","","","","93","8.25","0","1","1","2"
"9","Martin Brodeur","28","NJD","72","","42","17","11","166","1762","1596",".906","2.32","9","4297","","","","97","4.45","0","1","1","14"
"10","Sean Burke","34","PHX","62","","25","22","13","138","1766","1628",".922","2.27","4","3644","","","","81","32.84","0","1","1","16"
"11","Roman Cechmanek","29","PHI","59","","35","15","6","115","1464","1349",".921","2.01","10","3431","","","","81","26.62","0","1","1","4"
"12","Dan Cloutier","24","TOT","40","","7","19","8","96","889","793",".892","3.00","1","1919","","","","112","-10.00","0","0","0","4"
"13","Byron Dafoe","29","BOS","45","","22","14","7","101","1076","975",".906","2.39","2","2536","","","","97","3.09","0","2","2","6"
"14","Marc Denis","23","CBJ","32","","6","20","4","99","940","841",".895","3.25","0","1830","","","","109","-8.07","0","0","0","2"
"15","Rick DiPietro","19","NYI","20","","3","15","1","63","515","452",".878","3.49","0","1083","","","","126","-13.18","0","2","2","6"
"16","Mike Dunham","28","NSH","48","","21","21","4","107","1381","1274",".923","2.28","4","2810","","","","80","26.59","0","0","0","2"
"17","Robert Esche","23","PHX","25","","10","8","4","68","657","589",".896","3.02","2","1350","","","","107","-4.44","0","3","3","2"
"18","Bob Essensa","36","VAN","39","","18","12","3","92","854","762",".892","2.68","1","2059","","","","111","-9.39","0","0","0","4"
"19","Scott Fankhouser","25","ATL","7","","2","1","0","16","160","144",".900","3.69","0","260","","","","","","0","0","0","2"
"20","Manny Fernandez","26","MIN","42","","19","17","4","92","1147","1055",".920","2.24","4","2461","","","","83","18.96","0","0","0","6"
"21","Eric Fichaud","25","MTL","2","","0","2","0","4","32","28",".875","3.87","0","62","","","","","","0","0","0","0"
