date,vistor,vistorAbrv,vistorGoals,home,homeAbrv,homeGoals,notes
"1933-11-09","New York Americans","NYA","2","Chicago Black Hawks","CBH","2",
"1933-11-09","Detroit Red Wings","DET","1","Montreal Canadiens","MTL","2",
"1933-11-09","Boston Bruins","BOS","1","Toronto Maple Leafs","TOR","6",
"1933-11-11","Boston Bruins","BOS","2","Montreal Maroons","MTM","3",
"1933-11-11","Montreal Canadiens","MTL","0","Ottawa Senators","OTS","2",
"1933-11-11","New York Rangers","NYR","3","Toronto Maple Leafs","TOR","4",
"1933-11-12","New York Rangers","NYR","0","Chicago Black Hawks","CBH","1",
"1933-11-12","New York Americans","NYA","2","Detroit Red Wings","DET","5",
"1933-11-14","Detroit Red Wings","DET","4","Boston Bruins","BOS","2",
"1933-11-14","Chicago Black Hawks","CBH","1","Montreal Canadiens","MTL","3",
"1933-11-14","Montreal Maroons","MTM","2","Ottawa Senators","OTS","4",
"1933-11-16","New York Americans","NYA","2","Montreal Maroons","MTM","2",
"1933-11-16","Detroit Red Wings","DET","1","New York Rangers","NYR","2",
"1933-11-16","Chicago Black Hawks","CBH","2","Ottawa Senators","OTS","1",
"1933-11-18","Boston Bruins","BOS","2","Montreal Canadiens","MTL","1",
"1933-11-18","Ottawa Senators","OTS","1","Toronto Maple Leafs","TOR","4",
"1933-11-19","Ottawa Senators","OTS","1","Chicago Black Hawks","CBH","2",
"1933-11-19","New York Rangers","NYR","1","Detroit Red Wings","DET","4",
"1933-11-19","Montreal Maroons","MTM","2","New York Americans","NYA","2",
"1933-11-21","Chicago Black Hawks","CBH","0","Boston Bruins","BOS","2",
"1933-11-21","Montreal Maroons","MTM","0","Montreal Canadiens","MTL","5",
"1933-11-21","Toronto Maple Leafs","TOR","1","New York Rangers","NYR","1",
"1933-11-21","Detroit Red Wings","DET","3","Ottawa Senators","OTS","2",
"1933-11-23","Boston Bruins","BOS","6","Detroit Red Wings","DET","0",
"1933-11-23","Ottawa Senators","OTS","0","Montreal Canadiens","MTL","1",
"1933-11-23","Chicago Black Hawks","CBH","2","New York Americans","NYA","0",
"1933-11-25","New York Rangers","NYR","0","Montreal Maroons","MTM","1",
"1933-11-25","New York Americans","NYA","3","Ottawa Senators","OTS","2",
"1933-11-25","Montreal Canadiens","MTL","1","Toronto Maple Leafs","TOR","0",
"1933-11-26","Boston Bruins","BOS","0","Chicago Black Hawks","CBH","1",
"1933-11-26","Montreal Canadiens","MTL","2","Detroit Red Wings","DET","4",
"1933-11-28","Ottawa Senators","OTS","1","Boston Bruins","BOS","2",
"1933-11-28","Montreal Canadiens","MTL","1","Montreal Maroons","MTM","4",
"1933-11-28","New York Americans","NYA","3","Toronto Maple Leafs","TOR","7",
"1933-11-30","Chicago Black Hawks","CBH","1","Detroit Red Wings","DET","2",
"1933-11-30","Toronto Maple Leafs","TOR","1","Montreal Maroons","MTM","0",
"1933-11-30","Boston Bruins","BOS","1","Ottawa Senators","OTS","2",
"1933-12-02","New York Rangers","NYR","3","Boston Bruins","BOS","0",
"1933-12-02","New York Americans","NYA","1","Montreal Canadiens","MTL","3",
"1933-12-02","Montreal Maroons","MTM","3","Toronto Maple Leafs","TOR","8",
"1933-12-03","Toronto Maple Leafs","TOR","3","Detroit Red Wings","DET","0",
"1933-12-03","Chicago Black Hawks","CBH","0","New York Rangers","NYR","1",
"1933-12-05","Montreal Canadiens","MTL","2","Boston Bruins","BOS","5",
"1933-12-05","Detroit Red Wings","DET","1","Montreal Maroons","MTM","1",
"1933-12-05","Toronto Maple Leafs","TOR","9","New York Americans","NYA","1",
