rank,teamName,teamAbrv,gamesPlayed,wins,losses,ties,points,pointsPercentage,goalsFor,goalsAgainst,simpleRatingSystem,strengthOfSchedule,totalGoalsPerGame,powerPlayGoals,powerPlayChances,powerPlayPercentage,powerPlayGoalsAgainst,powerPlayChancesAgainst,penaltyKillingPercentage,shortHandedGoals,shortHandedGoalsAgainst,shots,shootingPercentage,shotsAgainst,savePercentage,pdo
"1"0,"Toronto Maple Leafs"1,"TOR","48"2,"26"3,"13"4,"9"5,"61"6,".635"7,"174"8,"119"9,"1.02"10,"-0.13"11,"6.10"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"2"0,"Detroit Red Wings"1,"DET","48"2,"24"3,"14"4,"10"5,"58"6,".604"7,"113"8,"98"9,"0.28"10,"-0.04"11,"4.40"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"3"0,"Chicago Black Hawks"1,"CBH","48"2,"20"3,"17"4,"11"5,"51"6,".531"7,"88"8,"83"9,"0.09"10,"-0.01"11,"3.56"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"4"0,"Montreal Canadiens"1,"MTL","48"2,"22"3,"20"4,"6"5,"50"6,".521"7,"99"8,"101"9,"-0.04"10,"0.01"11,"4.17"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"5"0,"New York Rangers"1,"NYR","48"2,"21"3,"19"4,"8"5,"50"6,".521"7,"120"8,"113"9,"0.13"10,"-0.02"11,"4.85"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"6"0,"Montreal Maroons"1,"MTM","48"2,"19"3,"18"4,"11"5,"49"6,".510"7,"117"8,"122"9,"-0.09"10,"0.01"11,"4.98"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"7"0,"Boston Bruins"1,"BOS","48"2,"18"3,"25"4,"5"5,"41"6,".427"7,"111"8,"130"9,"-0.35"10,"0.04"11,"5.02"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"8"0,"New York Americans"1,"NYA","48"2,"15"3,"23"4,"10"5,"40"6,".417"7,"104"8,"132"9,"-0.52"10,"0.07"11,"4.92"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
"9"0,"Ottawa Senators"1,"OTS","48"2,"13"3,"29"4,"6"5,"32"6,".333"7,"115"8,"143"9,"-0.52"10,"0.07"11,"5.38"12,""13,""14,""15,""16,""17,""18,""19,""20,""21,""22,""23,""24,""
