rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","David Aebischer","29","PHX","1","1","0","1","0","3","33","30",".909","3.00","0","60","0",".000","0","","","0","0","0","0"
"2","Craig Anderson","26","FLA","17","13","8","6","1","35","535","500",".935","2.25","2","935","9",".692","1","72","13.60","0","1","1","2"
"3","Jean-Sebastien Aubin","30","LAK","19","12","5","6","1","44","385","341",".886","3.19","0","828","5",".417","4","126","-9.03","0","0","0","0"
"4","Alex Auld","27","TOT","32","28","12","13","5","77","827","750",".907","2.68","3","1722","12",".429","6","102","-1.87","0","0","0","0"
"5","Niklas Backstrom","29","MIN","58","56","33","13","8","131","1629","1498",".920","2.31","4","3409","33",".589","5","89","16.98","0","0","0","2"
"6","Chris Beckford-Tseu","23","STL","1","0","0","0","0","1","9","8",".889","2.22","0","27","0","","0","","","0","0","0","0"
"7","Jonathan Bernier","19","LAK","4","4","1","3","0","16","118","102",".864","4.03","0","238","1",".250","1","","","0","0","0","0"
"8","Martin Biron","30","PHI","62","59","30","20","9","153","1865","1712",".918","2.59","5","3539","33",".559","8","90","16.42","0","1","1","8"
"9","Brian Boucher","31","SJS","5","3","3","1","1","7","103","96",".932","1.76","1","238","3","1.000","0","","","0","0","0","0"
"10","Martin Brodeur","35","NJD","77","77","44","27","6","168","2089","1921",".920","2.17","4","4635","50",".649","6","89","21.77","0","4","4","6"
"11","Ilya Bryzgalov","27","TOT","64","62","28","25","6","147","1829","1682",".920","2.44","3","3614","37",".597","5","88","19.15","0","0","0","2"
"12","Peter Budaj","25","COL","35","30","16","10","4","82","849","767",".903","2.57","0","1912","12",".400","6","106","-4.87","0","1","1","2"
"13","Scott Clemmensen","30","TOR","3","2","1","1","0","10","62","52",".839","3.90","0","154","0",".000","1","","","0","0","0","0"
"14","Dan Cloutier","31","LAK","9","9","2","4","1","28","247","219",".887","3.44","0","489","4",".444","3","","","0","0","0","2"
"15","Ty Conklin","31","PIT","33","30","18","8","5","78","1013","935",".923","2.51","2","1866","17",".567","5","85","14.02","0","1","1","4"
"16","Corey Crawford","23","CHI","5","3","1","2","0","8","112","104",".929","2.14","1","224","2",".667","0","","","0","0","0","0"
"17","Marc Denis","30","TBL","10","4","1","5","0","28","199","171",".859","4.05","0","415","1",".250","0","","","0","0","0","2"
"18","Rick DiPietro","26","NYI","63","63","26","28","7","174","1779","1605",".902","2.82","3","3707","25",".397","11","108","-12.39","0","6","6","18"
"19","Wade Dubielewicz","29","NYI","20","17","9","9","1","51","627","576",".919","2.70","0","1132","11",".647","1","90","5.96","0","0","0","0"
"20","Brian Elliott","22","OTT","1","1","1","0","0","1","29","28",".966","1.00","0","60","1","1.000","0","","","0","0","0","0"
"21","Dan Ellis","27","NSH","44","37","23","10","3","87","1147","1060",".924","2.34","6","2229","23",".622","8","83","17.20","0","0","0","0"
"22","Ray Emery","25","OTT","31","26","12","13","4","88","800","712",".890","3.13","0","1689","11",".423","5","121","-15.33","0","0","0","6"
"23","Erik Ersberg","25","LAK","14","13","6","5","3","33","452","419",".927","2.48","2","799","8",".615","2","80","8.06","0","0","0","0"
"24","Manny Fernandez","33","BOS","4","4","2","2","0","16","95","79",".832","3.93","1","244","1",".250","3","","","0","0","0","0"
"25","Marc-Andre Fleury","23","PIT","35","33","19","10","2","72","909","837",".921","2.33","4","1857","22",".667","7","87","10.58","0","1","1","0"
"26","Mathieu Garon","30","EDM","47","44","26","18","1","118","1359","1241",".913","2.66","4","2658","25",".568","9","96","5.46","0","0","0","8"
"27","Martin Gerber","33","OTT","57","55","30","18","4","145","1619","1474",".910","2.72","2","3197","27",".491","11","99","2.07","0","2","2","6"
"28","Jean-Sebastien Giguere","30","ANA","58","57","35","17","6","117","1508","1391",".922","2.12","4","3310","38",".667","8","85","19.99","0","0","0","4"
"29","John Grahame","32","CAR","17","12","5","7","1","53","424","371",".875","3.75","0","848","3",".250","4","138","-14.48","0","1","1","4"
"30","Thomas Greiss","22","SJS","3","2","0","1","1","7","50","43",".860","3.26","0","129","0",".000","0","","","0","0","0","0"
"31","Jaroslav Halak","22","MTL","6","4","2","1","1","10","151","141",".934","2.11","1","285","2",".500","0","","","0","0","0","0"
"32","Josh Harding","23","MIN","29","25","11","15","2","77","838","761",".908","2.94","1","1571","12",".480","4","101","-0.87","0","1","1","0"
"33","Dominik Hasek","43","DET","41","40","27","10","3","84","855","771",".902","2.14","5","2350","19",".475","6","108","-6.33","0","1","1","12"
"34","Johan Hedberg","34","ATL","36","32","14","15","3","111","1026","915",".892","3.46","1","1927","12",".375","8","119","-17.80","0","1","1","16"
"35","Jonas Hiller","25","ANA","23","18","10","7","1","42","578","536",".927","2.06","0","1223","12",".667","1","80","10.51","0","1","1","0"
"36","Johan Holmqvist","29","TOT","47","47","21","16","6","129","1164","1035",".889","3.04","2","2549","19",".404","17","122","-23.26","0","1","1","0"
"37","Jimmy Howard","23","DET","4","2","0","2","0","7","95","88",".926","2.13","0","197","1",".500","0","","","0","0","0","0"
"38","Cristobal Huet","32","TOT","52","51","32","14","6","118","1479","1361",".920","2.32","4","3049","31",".608","6","88","16.36","0","2","2","0"
"39","Brent Johnson","30","WSH","19","17","7","8","2","46","500","454",".908","2.67","0","1032","8",".471","3","101","-0.58","0","0","0","0"
"40","Curtis Joseph","40","CGY","9","5","3","2","0","17","181","164",".906","2.55","0","400","3",".600","2","","","0","0","0","2"
"41","Matt Keetley","21","CGY","1","0","0","0","0","0","2","2","1.000","0.00","0","9","0","","0","","","0","0","0","0"
"42","Nikolai Khabibulin","35","CHI","50","48","23","20","6","127","1389","1262",".909","2.63","2","2892","24",".500","8","101","-0.82","0","2","2","4"
"43","Miikka Kiprusoff","31","CGY","76","76","39","26","10","197","2096","1899",".906","2.69","2","4398","38",".500","16","103","-6.59","0","2","2","8"
"44","Olaf Kolzig","37","WSH","54","52","25","21","6","153","1423","1270",".892","2.91","1","3154","23",".442","11","118","-23.73","0","2","2","8"
"45","Jason LaBarbera","28","LAK","45","42","17","23","2","121","1341","1220",".910","3.00","1","2421","20",".476","9","99","0.82","0","0","0","2"
"46","Dan LaCosta","21","CBJ","1","0","0","0","0","0","5","5","1.000","0.00","0","13","0","","0","","","0","0","0","0"
"47","Patrick Lalime","33","CHI","32","30","16","12","2","86","835","749",".897","2.82","1","1828","14",".467","5","113","-10.15","0","0","0","8"
"48","Pascal Leclaire","25","CBJ","54","52","24","17","6","112","1379","1267",".919","2.25","9","2986","30",".577","6","89","13.27","0","2","2","2"
"49","Manny Legace","34","STL","66","65","27","25","8","147","1648","1501",".911","2.41","5","3666","39",".600","12","98","2.71","0","2","2","4"
"50","Kari Lehtonen","24","ATL","48","45","17","22","5","131","1560","1429",".916","2.90","4","2707","27",".600","6","92","10.71","0","2","2","4"
"51","Michael Leighton","26","CAR","3","3","1","1","0","7","68","61",".897","2.66","0","158","1",".333","0","","","0","0","0","0"
"52","Henrik Lundqvist","25","NYR","72","72","37","24","10","160","1823","1663",".912","2.23","10","4305","41",".569","11","97","5.61","0","0","0","2"
"53","Roberto Luongo","28","VAN","73","73","35","29","9","168","2029","1861",".917","2.38","6","4233","42",".575","12","91","16.32","0","3","3","4"
"54","Joey MacDonald","27","NYI","2","2","0","1","1","6","73","67",".918","3.00","0","120","1",".500","1","","","0","0","0","0"
"55","Drew MacIntyre","24","VAN","2","0","0","1","0","3","22","19",".864","2.95","0","61","0","","0","","","0","0","0","0"
"56","Chris Mason","31","NSH","51","45","18","22","6","130","1278","1148",".898","2.90","4","2692","22",".489","15","112","-13.90","0","1","1","0"
"57","Curtis McElhinney","24","CGY","5","1","0","2","0","5","51","46",".902","2.00","0","150","0",".000","0","","","0","0","0","0"
"58","Ryan Miller","27","BUF","76","74","36","27","10","197","2104","1907",".906","2.64","3","4474","37",".500","12","103","-5.87","0","1","1","6"
"59","Evgeni Nabokov","32","SJS","77","76","46","21","8","163","1802","1639",".910","2.14","6","4561","47",".618","11","100","0.70","0","2","2","12"
"60","Antero Niittymaki","27","PHI","28","23","12","9","2","69","739","670",".907","2.91","1","1424","13",".565","5","103","-1.87","0","0","0","0"
"61","Fredrik Norrena","34","CBJ","37","30","10","19","6","89","856","767",".896","2.72","2","1960","12",".400","7","114","-11.24","0","1","1","0"
"62","Chris Osgood","35","DET","43","40","27","9","4","84","976","892",".914","2.09","4","2409","26",".650","8","95","4.66","0","3","3","0"
"63","Dimitri Patzold","24","SJS","3","0","0","0","0","4","20","16",".800","5.45","0","44","0","","0","","","0","0","0","0"
"64","Ondrej Pavelec","20","ATL","7","5","3","3","0","18","190","172",".905","3.11","0","347","2",".400","0","","","0","0","0","2"
"65","Carey Price","20","MTL","41","40","24","12","3","103","1282","1179",".920","2.56","3","2413","24",".600","4","88","13.46","0","2","2","0"
"66","Jonathan Quick","22","LAK","3","2","1","2","0","9","62","53",".855","3.83","0","141","0",".000","1","","","0","0","0","0"
"67","Karri Ramo","21","TBL","22","20","7","11","3","64","632","568",".899","3.03","0","1269","9",".450","4","111","-6.59","0","1","1","4"
"68","Tuukka Rask","20","BOS","4","3","2","1","1","10","88","78",".886","3.26","0","184","1",".333","0","","","0","0","0","0"
"69","Andrew Raycroft","27","TOR","19","16","2","9","5","63","509","446",".876","3.92","1","965","4",".250","5","136","-16.76","0","0","0","0"
